0	Index      	 *	Score 	Summary	Detail	
1	53211 35131	 * 	246.66	ACR|2VULN|3DMG|2ASPD|1AART|1AAC	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78aDMG|8BPWR|9AAC
2	53211 35111	   	238.36	ACR|2VULN|3DMG|2ASPD|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78aDMG|8BPWR|9RMIN
3	53211 35124	   	238.36	ACR|2VULN|3DMG|2ASPD|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78aDMG|8BPWR|9LHND
4	53211 35161	   	238.26	ACR|2VULN|3DMG|2ASPD|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78aDMG|8BPWR|9AME
5	53211 35152	   	236.35	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9CDMG|aZMB
6	53211 35153	   	236.35	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9CDMG|aDUR
7	53211 35143	   	234.12	ACR|2VULN|2ASPD|2DMG|1BEXP|1AART	19DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|aBEXP
8	53211 35163	   	234.02	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9AME|aBEXP
9	53111 11623	 * 	229.11	ACR|3VULN|2ASPD|2DMG|1BEXP	1DMSP|2RCR|3aASPD|4LWND|5aDMG|6BEXP|7FEWX|89aVULN|aBPWR
10	53211 35114	   	228.77	ACR|2VULN|2ASPD|2DMG|1AART|1AAC	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9RMIN|aAAC
11	53211 35133	   	228.77	ACR|2VULN|2ASPD|2DMG|1AART|1AAC	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9AAC|aFEWX
12	53211 35135	   	228.77	ACR|2VULN|2ASPD|2DMG|1AART|1AAC	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9AAC|aRMIN
13	53211 35134	   	228.67	ACR|2VULN|2ASPD|2DMG|1AART|1AAC	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9AAC|aMDPS
14	53252 21437	 * 	224.47	ACR|3ASPD|3DMG|1AART|1AAC	1DMSP|2RCR|3AART|48aFLTFST|58aASPD|6MBVNT|78aDMG|8aBPWR|9AAC
15	53211 35113	   	220.47	ACR|2VULN|2ASPD|2DMG|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9RMIN|aFEWX
16	53211 35115	   	220.47	ACR|2VULN|2ASPD|2DMG|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9aRMIN
17	53211 35116	   	220.47	ACR|2VULN|2ASPD|2DMG|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9RMIN|aZMB
18	53211 35121	   	220.47	ACR|2VULN|2ASPD|2DMG|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9LHND|aRPLT
19	53211 35125	   	220.47	ACR|2VULN|2ASPD|2DMG|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9LHND|aRMIN
20	53211 35123	   	220.37	ACR|2VULN|2ASPD|2DMG|1AART	1DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|9LHND|aMBVNT
21	53211 35141	   	220.37	ACR|2VULN|2ASPD|2DMG|1AART	19DMSP|2RCR|3AART|4BELT|58VULN|68ASPD|78DMG|8BPWR|aTLV
22	53211 23533	 * 	219.95	ACR|3VULN|2ASPD|2BEXP|1AART	1DMSP|2RCR|3AART|4BELT|56aVULN|7FEWX|8aASPD|9aBEXP|aBPWR
23	53211 21633	   	219.85	ACR|3VULN|2ASPD|2BEXP|1AART	1DMSP|2RCR|3AART|4BELT|56aVULN|7MBVNT|8aASPD|9aBEXP|aBPWR
24	53252 21472	 * 	217.31	ACR|2ASPD|2DMG|2AART|1VULN	1DMSP|2RCR|39AART|48FLTFST|58ASPD|6MBVNT|78DMG|8BPWR|aVULN
