0	Index      	 *	Score 	Summary	Detail	
1	33345 33632	 * 	192.39	ACR|2ASPD|2DMG|1VULN|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|89ASPD|aVULN
2	22321 36522	 * 	190.68	DCR|2VULN|1BASARM|3BEXP|1DMG|2AAC	19AAC|235BEXP|45VULN|5BPWR|6DMG|7FEWX|8BASARM|aRCR
3	33343 16533	 * 	189.33	ACR|1BASARM|1VULN|1DMG|2CDMG	16CGEN|2ZMB|37CDMG|4RCR|5VULN|8BASARM|9DUR|aDMG
4	31443 42212	 * 	187.08	DCR|2VULN|3ASPD|1BASICY|1CDMG|1AART	1CGEN|25VULN|3AART|457ASPD|5BPWR|6BASICY|8ZMB|9CDMG|aRCR
5	33343 66113	 * 	186.71	ACR|3VULN|3CDMG|1BEXP|1AART	168CGEN|2ZMB|378CDMG|4RCR|568VULN|68BPWR|9BEXP|aAART
6	33343 16512	 * 	183.61	ACR|1BASARM|1VULN|3CDMG|1AAC	16CGEN|2ZMB|37aCDMG|4RCR|5VULN|8BASARM|9AAC
7	33345 23512	 * 	183.12	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|89BEXP|aVULN
8	33345 13512	   	183.02	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|89BEXP|aVULN
9	33345 23412	 * 	181.82	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8aVULN|9BEXP
10	33345 13412	   	181.72	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8aVULN|9BEXP
11	22115 41631	 * 	181.61	DCR|3DMG|3BEXP|2ASPD	1AAC|269BEXP|3RPLT|4MDPS|567DMG|69BPWR|89ASPD|aRCR
12	15154 21221	 * 	180.78	ACR|1BASARM|2BEXP|1ASPD	18SNIHEL|28BEXP|3BASARM|4RCVC|5RCR|6aLIT|78DUR|8BPWR|9ASPD
13	15154 21222	   	180.78	ACR|1BASARM|2BEXP|1ASPD	18SNIHEL|28BEXP|3BASARM|4RCVC|5RCR|6LIT|78DUR|8BPWR|9ASPD|aMLV
14	15154 21223	   	180.78	ACR|1BASARM|2BEXP|1ASPD	18SNIHEL|28BEXP|3BASARM|4RCVC|5RCR|6LIT|78DUR|8BPWR|9ASPD|aLWND
15	15154 23221	   	180.78	ACR|1BASARM|2BEXP|1ASPD	18SNIHEL|28BEXP|3BASARM|4RCVC|5RCR|6aLIT|78LHND|8BPWR|9ASPD
16	15154 23222	   	180.78	ACR|1BASARM|2BEXP|1ASPD	18SNIHEL|28BEXP|3BASARM|4RCVC|5RCR|6LIT|78LHND|8BPWR|9ASPD|aMLV
17	15154 23223	   	180.78	ACR|1BASARM|2BEXP|1ASPD	18SNIHEL|28BEXP|3BASARM|4RCVC|5RCR|6LIT|78LHND|8BPWR|9ASPD|aLWND
18	15154 21333	 * 	179.39	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6LIT|7DUR|8MDPS|9ASPD|aCDMG
19	33345 32162	 * 	178.14	ACR|3VULN|2DMG|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|89aVULN
20	15154 22332	 * 	178.07	ACR|1BASARM|1DMG|1VULN|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|68LIT|7ERES|9DMG|aVULN
21	15154 33212	 * 	178.07	ACR|1BASARM|1ASPD|1VULN|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aRMIN
22	15154 33211	   	177.97	ACR|1BASARM|1ASPD|1VULN|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aTLV
23	15154 33213	   	177.97	ACR|1BASARM|1ASPD|1VULN|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9VULN|aERES
24	11351 16333	 * 	177.81	ACR|1BASARM|1VULN|1DMG|1AART	1SNIHEL|2LEGI|3VULN|4BELT|5RCR|6AART|7DMG|8LIT|9CGEN|aBASARM
25	33343 32531	 * 	177.75	ACR|2VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6MLV|7BEXP|8AART|9ASPD
26	33343 32561	 * 	177.75	ACR|2VULN|1DMG|1BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6MLV|7BEXP|8AART|9DMG
27	11351 16343	   	177.71	ACR|1BASARM|1VULN|1DMG|1AART	1SNIHEL|2LEGI|3VULN|4BELT|5RCR|6AART|7DMG|8LIT|9AME|aBASARM
28	34343 32531	   	177.65	ACR|2VULN|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5aVULN|6MLV|7BEXP|8AART|9ASPD
29	34345 31231	 * 	177.13	ACR|2DMG|1ASPD|2CDMG|1BEXP	1CGEN|2AAC|36CDMG|4RCR|56DMG|6BPWR|7FEWX|8LSRICY|9BEXP|aASPD
