0	Index      	 *	Score 	Summary	Detail	
1	33413 23311	 * 	225.78	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aCDMG
2	33554 13123	 * 	223.98	ACR|1BASARM|1ASPD|1DMG|2CDMG|1AART	1LHND|2RCR|3AEFBLL|4DMG|5AART|6ASPD|79CDMG|8FEWX|aBASARM
3	33431 33426	 * 	220.94	ACR|2BASARM|2DMG|1BEXP|1AAC	16aLHND|2RCR|3BEXP|4aDMG|5RPLT|7RCVC|8aBASARM|9AAC|aBPWR
4	33413 23512	 * 	219.44	ACR|3BEXP|2ASPD|1VULN|1DMG|1AAC	1LHND|2RCR|35aBEXP|4VULN|6DMG|79ASPD|8AAC
5	33413 23552	   	219.44	ACR|3BEXP|2ASPD|1VULN|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7aASPD|8AAC
6	33431 32426	   	218.73	ACR|2BASARM|2DMG|1BEXP|1AAC	167aLHND|2RCR|3BEXP|4aDMG|5RPLT|8aBASARM|9AAC|aBPWR
7	33413 23553	   	215.50	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7ASPD|8AAC|aCDMG
8	33221 36162	 * 	213.46	ACR|3AART|1BASARM|1VULN	1LHND|2RCR|3CGEN|4MDPS|57aAART|6VULN|8AME|9BASARM
9	33554 13231	 * 	212.71	ACR|2ASPD|2DMG|1AART|1CDMG|1AAC	1LHND|2RCR|3AEFBLL|4aDMG|5AART|68ASPD|7CDMG|9AAC
10	33221 36163	 * 	212.64	ACR|1BASARM|2VULN|2AART	1LHND|2RCR|3CGEN|4MDPS|57AART|6aVULN|8AME|9BASARM
11	33413 23414	 * 	212.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	18LHND|2RCR|35BEXP|4aVULN|6DMG|7ASPD|9AART
12	33221 32362	   	212.56	ACR|1BASARM|3AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|58aAART|6VULN|7MLV|9BASARM
13	33414 23314	   	212.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|38BEXP|4aVULN|5AEMAG|6DMG|7ASPD|9AART
14	33221 34362	   	212.46	ACR|1BASARM|3AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|58aAART|6VULN|7AME|9BASARM
15	33221 32363	   	211.74	ACR|1BASARM|2VULN|2AART	1LHND|2RCR|3CGEN|4MDPS|58AART|6aVULN|7MLV|9BASARM
16	33221 34363	   	211.64	ACR|1BASARM|2VULN|2AART	1LHND|2RCR|3CGEN|4MDPS|58AART|6aVULN|7AME|9BASARM
17	33413 23312	   	211.13	ACR|3BEXP|2DMG|1VULN|1ASPD	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aFEWX
18	33413 23315	   	211.13	ACR|3BEXP|2DMG|1VULN|1ASPD	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aRPLT
19	33413 23342	   	211.13	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|358BEXP|4VULN|6DMG|7aASPD|9CGEN
20	33413 23641	   	211.13	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|35aBEXP|4VULN|6DMG|7aASPD|8DUR|9aVENICY|aBPWR
21	33413 23212	   	211.03	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|35aBEXP|4VULN|6DMG|79ASPD|8AME
22	33413 23141	   	211.03	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|35aBEXP|4VULN|6DMG|7aASPD|8DUST|9aVENICY|aBPWR
23	33413 23252	   	211.03	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|359BEXP|4VULN|6DMG|7aASPD|8AME
24	33413 23314	   	211.03	ACR|3BEXP|2DMG|1VULN|1ASPD	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aAME
25	33413 23355	   	211.03	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|358BEXP|4VULN|6DMG|7aASPD|9MDPS
26	33413 23364	   	211.03	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2RCR|358BEXP|4VULN|6DMG|7aASPD|9FLTFST
27	33413 23313	   	210.89	ACR|3BEXP|2DMG|1VULN|1ASPD|1SELL	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aSELL
28	33413 23332	   	210.89	ACR|3BEXP|2DMG|1VULN|1ASPD|1SELL	1LHND|2RCR|358BEXP|4VULN|6aDMG|7ASPD|9SELL
29	33221 32565	   	209.76	ACR|1BASARM|2AART|1VULN|1BEXP	1LHND|2RCR|3CGEN|4MDPS|5aAART|6VULN|7MLV|8BEXP|9BASARM
30	33413 33313	   	209.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART	1LHND|2RCR|358BEXP|4VULN|6ERES|7ASPD|9DMG|aAART
31	33413 23514	   	208.17	ACR|2ASPD|1VULN|2BEXP|1DMG|1AAC	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AAC|aLWND
32	33413 23516	   	208.17	ACR|2ASPD|1VULN|2BEXP|1DMG|1AAC	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AAC|aMLV
33	33413 23511	   	208.07	ACR|2ASPD|1VULN|2BEXP|1DMG|1AAC	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AAC|aAEMAG
34	33413 23513	   	208.07	ACR|2ASPD|1VULN|2BEXP|1DMG|1AAC	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AAC|aERES
35	33414 23512	   	208.07	ACR|2ASPD|1VULN|2BEXP|1DMG|1AAC	1LHND|2RCR|3aBEXP|4VULN|5AEMAG|6DMG|79ASPD|8AAC
36	33114 31214	 * 	208.03	ACR|2VULN|1ASPD|1BASICY|1AART|1BEXP|1AAC	1LHND|2RCR|3AAC|4CGEN|5AART|68VULN|7ASPD|9BASICY|aBEXP
37	33631 33426	   	207.29	ACR|2BASARM|2DMG|1AAC	16aLHND|2RCR|3FEWX|4aDMG|5RPLT|7RCVC|8aBASARM|9AAC|aBPWR
38	33413 23321	   	207.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	19LHND|2RCR|358BEXP|4VULN|6DMG|7ASPD|aCDMG
