0	Index      	 *	Score 	Summary	Detail	
1	13111 53134	 * 	229.57	ACR|2VULN|3ASPD|2DMG|2CDMG	19aASPD|2ERES|3aDMG|47VULN|5RCR|6LWND|8aCDMG|aBPWR
2	13111 42114	 * 	225.16	ACR|2ASPD|2DMG|1VULN|2BEXP|2CDMG	1aASPD|2ERES|3aDMG|4VULN|5RCR|69BEXP|7RCVC|8aCDMG|aBPWR
3	13111 53363	 * 	216.80	ACR|2VULN|2ASPD|2DMG|2BEXP	1aASPD|2ERES|3aDMG|47VULN|5RCR|6LWND|8RCVC|9aBEXP|aBPWR
4	13111 53653	   	215.62	ACR|2VULN|2ASPD|2DMG|2BEXP	1aASPD|2ERES|3aDMG|47VULN|5RCR|69LWND|8aBEXP|aBPWR
5	13111 53633	   	215.52	ACR|2VULN|2ASPD|2DMG|2BEXP	1aASPD|29ERES|3aDMG|47VULN|5RCR|6LWND|8aBEXP|aBPWR
6	11534 61322	 * 	213.99	ACR|3ASPD|2VULN|2BEXP|1DMG	179ASPD|29LWND|3RPLT|47BEXP|5RCR|67VULN|79BPWR|89CGEN|aDMG
7	13111 32134	   	213.59	ACR|3ASPD|2DMG|1VULN|2CDMG	19aASPD|2ERES|3aDMG|4VULN|5RCR|6FEWX|7RCVC|8aCDMG|aBPWR
8	13111 53154	   	211.58	ACR|2VULN|2ASPD|2DMG|2CDMG	1aASPD|29ERES|3aDMG|47VULN|5RCR|6LWND|8aCDMG|aBPWR
9	13111 42124	   	211.05	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1aASPD|2ERES|3aDMG|4VULN|5RCR|6BEXP|79RCVC|8aCDMG|aBPWR
10	62333 32523	 * 	210.34	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1SPLREG|29DMG|3AART|4ERES|5RCR|6MLV|7VULN|8BEXP|aBASARM
11	63333 13523	   	210.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1SPLREG|2CGEN|3AART|4ERES|5RCR|6VULN|79DMG|8BEXP|aBASARM
12	63353 13523	   	210.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1SPLREG|2CGEN|3AART|4TLV|5RCR|6VULN|79DMG|8BEXP|aBASARM
13	35333 13523	   	210.24	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1TLV|2FLTARM|3AART|4ERES|5RCR|6VULN|79DMG|8BEXP|aBASARM
14	61333 13523	   	210.24	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1SPLREG|2AME|3AART|4ERES|5RCR|6VULN|79DMG|8BEXP|aBASARM
15	61353 13523	   	210.24	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1SPLREG|2AME|3AART|4TLV|5RCR|6VULN|79DMG|8BEXP|aBASARM
16	13111 42154	   	210.23	ACR|2ASPD|2DMG|1VULN|2CDMG|1BEXP	1aASPD|29ERES|3aDMG|4VULN|5RCR|6BEXP|7RCVC|8aCDMG|aBPWR
17	13111 32363	   	203.79	ACR|2ASPD|2DMG|1VULN|2BEXP	1aASPD|2ERES|3aDMG|4VULN|5RCR|6FEWX|78RCVC|9aBEXP|aBPWR
18	13111 32633	   	202.55	ACR|2ASPD|2DMG|1VULN|2BEXP	1aASPD|29ERES|3aDMG|4VULN|5RCR|6FEWX|7RCVC|8aBEXP|aBPWR
