0	Index      	 *	Score 	Summary	Detail	
1	42253 23213	 * 	213.19	ACR|3ASPD|3BEXP|1DMG|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9DMG|aVULN
2	42253 33213	 * 	213.19	ACR|3DMG|3BEXP|1ASPD|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9ASPD|aVULN
3	11312 11442	 * 	212.41	ACR|1BASARM|2DMG|1AART|1VULN	1LHND|2LIT|3AART|4RCR|5aDMG|6CGEN|7RPLT|8BASARM|9VULN
4	41212 11442	   	212.41	ACR|1BASARM|2DMG|1AART|1VULN	1DUR|2LIT|3AART|4RCR|5aDMG|6CGEN|7RPLT|8BASARM|9VULN
5	11312 21144	 * 	209.72	ACR|2DMG|2AART|1VULN|1BEXP|1CDMG	1LHND|2LIT|38AART|4RCR|59DMG|6CDMG|7VULN|aBEXP
6	11312 21244	 * 	206.90	ACR|2VULN|2DMG|1AART|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|78VULN|aBEXP
7	26621 24332	   	206.48	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	13ERES|2VULN|4RCR|5DUST|6AAC|7DMG|8CDMG|9BEXP|aBASARM
8	12123 31514	   	205.62	ACR|1BASARM|2DMG|1VULN|1BEXP|1AAC	1LHND|2BEXP|3DUR|4AAC|5RCR|69DMG|7DUST|8VULN|aBASARM
9	12413 31514	   	205.62	ACR|1BASARM|2DMG|1VULN|1BEXP|1AAC	1LHND|2BEXP|3AAC|4DUR|5RCR|69DMG|7DUST|8VULN|aBASARM
10	13145 22631	 * 	203.92	ACR|2DMG|2BEXP|1ASPD|2CDMG|1AART	1LHND|2aCDMG|3DUR|4LWND|5RCR|6aDMG|7ASPD|8AART|9aBEXP|aBPWR
11	11312 24143	 * 	203.09	ACR|3DMG|2BEXP|1AART|1CDMG	1aLHND|2LIT|3AART|4RCR|59aDMG|6CDMG|7AEFBLL|8aBEXP|aBPWR
12	41212 24143	   	203.09	ACR|3DMG|2BEXP|1AART|1CDMG	1aDUR|2LIT|3AART|4RCR|59aDMG|6CDMG|7AEFBLL|8aBEXP|aBPWR
13	11312 21444	 * 	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8aBEXP
14	11312 21452	   	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|89BEXP
15	41212 21452	   	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|89BEXP
16	43255 12322	 * 	200.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	16DUR|2CDMG|3FEWX|4VULN|5RCR|7ASPD|8DMG|9CGEN|aBASARM
17	43255 32322	   	200.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUR|2CDMG|3FEWX|4VULN|5RCR|6AEFBLL|7ASPD|8DMG|9CGEN|aBASARM
18	11312 21454	 * 	199.78	ACR|3BEXP|1VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89aBEXP
19	12463 14122	   	199.46	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG|1AAC	1LHND|28BEXP|3AAC|46VULN|5RCR|7CDMG|9AART|aDMG
20	12463 36322	   	199.46	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG|1AAC	1LHND|26BEXP|3AAC|47VULN|5RCR|8CDMG|9AART|aDMG
21	41212 21341	 * 	198.58	ACR|2DMG|1VULN|1AART|1BASICY|1CDMG	1DUR|2LIT|3AART|4RCR|5aDMG|6CDMG|7VULN|8MDPS|9BASICY
22	11312 22661	 * 	198.45	ACR|2AART|1VULN|1ASPD|1DMG|1CDMG	1LHND|2LIT|38AART|4RCR|5DMG|6CDMG|7MDPS|9ASPD|aVULN
23	13125 21514	   	198.41	ACR|1BASARM|2DMG|1VULN|1CDMG	1LHND|2CDMG|3DUR|4FEWX|5RCR|69DMG|7VULN|8RPLT|aBASARM
24	36313 14162	 * 	197.88	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CGEN|26VULN|3LWND|4DUR|5RCR|7CDMG|89BEXP|aBASARM
25	36323 14162	   	197.88	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CGEN|26VULN|3LWND|4LHND|5RCR|7CDMG|89BEXP|aBASARM
26	36363 14112	   	197.88	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CGEN|26VULN|3LWND|48BEXP|5RCR|7CDMG|9DUR|aBASARM
27	26313 14162	   	197.78	ACR|2VULN|1BASARM|2BEXP|1CDMG	1ERES|26VULN|3LWND|4DUR|5RCR|7CDMG|89BEXP|aBASARM
28	26323 14162	   	197.78	ACR|2VULN|1BASARM|2BEXP|1CDMG	1ERES|26VULN|3LWND|4LHND|5RCR|7CDMG|89BEXP|aBASARM
29	26363 14112	   	197.78	ACR|2VULN|1BASARM|2BEXP|1CDMG	1ERES|26VULN|3LWND|48BEXP|5RCR|7CDMG|9DUR|aBASARM
30	11312 21442	 * 	197.32	ACR|3VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|79aVULN|8BEXP
31	41212 21442	   	197.32	ACR|3VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|79aVULN|8BEXP
32	42253 31314	   	197.31	ACR|1BASARM|2DMG|1VULN|1BEXP	1DUR|2BEXP|3ZMB|4FEWX|5RCR|69DMG|7DUST|8VULN|aBASARM
33	11312 11451	 * 	196.12	ACR|1BASARM|1AART|1ASPD|1DMG	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ZMB|aASPD
34	41212 11451	   	196.12	ACR|1BASARM|1AART|1ASPD|1DMG	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ZMB|aASPD
35	11312 21141	   	196.07	ACR|2DMG|2AART|1VULN|1CDMG	1LHND|2LIT|38AART|4RCR|59DMG|6CDMG|7VULN|aMLV
36	11312 21142	   	196.07	ACR|2DMG|2AART|1VULN|1CDMG	1LHND|2LIT|38AART|4RCR|59DMG|6CDMG|7VULN|aLWND
37	11312 21143	   	196.07	ACR|2DMG|2AART|1VULN|1CDMG	1aLHND|2LIT|38AART|4RCR|59DMG|6CDMG|7VULN
38	11312 21145	   	196.07	ACR|2DMG|2AART|1VULN|1CDMG	1LHND|2LIT|38AART|4RCR|59DMG|6CDMG|7VULN|aBELT
39	11312 21146	   	196.07	ACR|2DMG|2AART|1VULN|1CDMG	1LHND|2LIT|38AART|4RCR|59DMG|6CDMG|7VULN|aCGEN
40	11312 11421	   	196.02	ACR|1BASARM|1AART|1ASPD|1DMG	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ERES|aASPD
41	11312 11431	   	196.02	ACR|1BASARM|1AART|1ASPD|1DMG	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9NUKE|aASPD
42	41212 11421	   	196.02	ACR|1BASARM|1AART|1ASPD|1DMG	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ERES|aASPD
43	41212 11431	   	196.02	ACR|1BASARM|1AART|1ASPD|1DMG	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9NUKE|aASPD
44	26621 14331	 * 	195.89	ACR|2VULN|2DMG|2BEXP|1CDMG	13ERES|2aVULN|4RCR|5DUST|6AME|7aDMG|8CDMG|9aBEXP|aBPWR
45	42453 23213	   	195.39	ACR|3ASPD|1DMG|1VULN|1BEXP|1AAC	178DUR|2BEXP|3AAC|478FEWX|5RCR|678ASPD|78BPWR|9DMG|aVULN
46	42453 33213	   	195.39	ACR|3DMG|1ASPD|1VULN|1BEXP|1AAC	178DUR|2BEXP|3AAC|478FEWX|5RCR|678DMG|78BPWR|9ASPD|aVULN
47	43115 15313	   	195.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	13DUR|2CDMG|4MDPS|5RCR|6AART|7BEXP|8BASARM|9ERES|aASPD
