0	Index      	 *	Score 	Summary	Detail	
1	22443 12336	 * 	258.39	ACR|2BASARM|2ASPD|2VULN|1DMG|2AAC	1BELT|27AAC|3RCR|4RMIN|59BASARM|69ASPD|89VULN|9BPWR|aDMG
2	22443 12332	 * 	253.98	ACR|2BASARM|3ASPD|2VULN|2AAC	1BELT|27AAC|3RCR|4RMIN|59BASARM|69aASPD|89VULN|9BPWR
3	22443 36332	 * 	249.71	ACR|3BASARM|3VULN|2DMG	1BELT|2AAC|3RCR|4RMIN|569BASARM|69BPWR|79DMG|89aVULN
4	22453 36332	   	249.61	ACR|3BASARM|3VULN|2DMG	1BELT|2AAC|3RCR|4NUKE|569BASARM|69BPWR|79DMG|89aVULN
5	22443 36333	   	241.71	ACR|3BASARM|2DMG|2VULN	1BELT|2AAC|3RCR|4RMIN|569BASARM|69BPWR|79DMG|89VULN|aDUR
6	22443 36331	   	241.61	ACR|3BASARM|2DMG|2VULN	1BELT|2AAC|3RCR|4RMIN|569BASARM|69BPWR|79DMG|89VULN|aERES
7	22453 36333	   	241.61	ACR|3BASARM|2DMG|2VULN	1BELT|2AAC|3RCR|4NUKE|569BASARM|69BPWR|79DMG|89VULN|aDUR
8	22453 36331	   	241.51	ACR|3BASARM|2DMG|2VULN	1BELT|2AAC|3RCR|4NUKE|569BASARM|69BPWR|79DMG|89VULN|aERES
9	22443 12331	   	237.63	ACR|2BASARM|2ASPD|2VULN|2AAC	1BELT|27AAC|3RCR|4RMIN|59BASARM|69ASPD|89VULN|9BPWR|aRCVC
10	22443 12333	   	236.32	ACR|2BASARM|2ASPD|2VULN|2AAC	1BELT|27AAC|3RCR|4RMIN|59BASARM|69ASPD|89VULN|9BPWR|aFEWX
11	22443 12334	   	236.22	ACR|2BASARM|2ASPD|2VULN|2AAC	1BELT|27AAC|3RCR|4RMIN|59BASARM|69ASPD|89VULN|9BPWR|aAME
12	22443 12335	   	236.22	ACR|2BASARM|2ASPD|2VULN|2AAC	1BELT|27AAC|3RCR|4RMIN|59BASARM|69ASPD|89VULN|9BPWR|aMBVNT
13	22443 11253	   	234.37	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1BELT|2AAC|3RCR|4RMIN|5BASARM|69ASPD|7BEXP|8AART|aVULN
14	22453 11253	   	234.27	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1BELT|2AAC|3RCR|4NUKE|5BASARM|69ASPD|7BEXP|8AART|aVULN
15	22443 11252	   	231.26	ACR|3ASPD|1BASARM|1AART|1BEXP	1BELT|2AAC|3RCR|4RMIN|5BASARM|69aASPD|7BEXP|8AART
16	22453 11252	   	231.16	ACR|3ASPD|1BASARM|1AART|1BEXP	1BELT|2AAC|3RCR|4NUKE|5BASARM|69aASPD|7BEXP|8AART
17	35333 55132	 * 	230.11	ACR|3BEXP|2ASPD|2DMG|1AART	15aBEXP|25DUR|3RCR|4AAC|5aBPWR|6aASPD|7aDMG|8MDPS|9AART
