0	Index      	 *	Score 	Summary	Detail	
1	43361 12212	 * 	213.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2CGEN|3RCR|4DMG|5LIT|6VULN|7BEXP|8ASPD|9BASARM|aCDMG
2	24142 22531	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BELT|2RMIN|3DMG|4RCR|5AART|6ASPD|7BEXP|8ERES|9LIT|aBASARM
3	43361 12213	   	199.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2CGEN|3RCR|4DMG|5LIT|6VULN|7BEXP|8ASPD|9BASARM|aZMB
4	43361 12215	   	199.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2CGEN|3RCR|4DMG|5LIT|6VULN|7BEXP|8ASPD|9BASARM|aRCVC
5	43361 12214	   	199.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2CGEN|3RCR|4DMG|5LIT|6VULN|7BEXP|8ASPD|9BASARM|aAEMAG
6	43361 12216	   	199.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2CGEN|3RCR|4DMG|5LIT|6VULN|7BEXP|8ASPD|9BASARM|aERES
7	24143 21253	 * 	198.10	ACR|2ASPD|2DMG|2BEXP|1AAC	1BELT|2RMIN|3aDMG|4RCR|5aASPD|6RCVC|7aBEXP|8MDPS|9AAC|aBPWR
8	33125 42241	 * 	197.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	17LHND|24BEXP|347FLTFST|47BPWR|5RCR|67ERES|8ASPD|9DMG|aBASARM
9	23643 22631	 * 	197.10	ACR|1BASARM|4VULN|1DMG	1BELT|2NUKE|3TLV|4RCR|567aVULN|8DMG|9BASARM
10	43333 23561	 * 	193.62	ACR|1BASARM|2AART|1DMG|1AAC	1MDPS|2CGEN|3RCR|4RCVC|5AME|6DMG|78AART|9BASARM|aAAC
11	43361 21241	 * 	190.44	ACR|1BASARM|2DMG|1AART	1MDPS|2CGEN|3RCR|49DMG|5LIT|6ZMB|7DUST|8AART|aBASARM
12	24142 22226	 * 	186.57	ACR|3ASPD|1DMG|1AART|1BEXP	1BELT|2RMIN|3DMG|4RCR|5AART|69aASPD|7BEXP|8LWND
13	33125 31231	   	186.20	ACR|1BASARM|2BEXP|1ASPD|1AAC	17LHND|24BEXP|347FLTFST|47BPWR|5RCR|67FEWX|8BASARM|9AAC|aASPD
14	33525 31231	   	186.20	ACR|1BASARM|2BEXP|1ASPD|1AAC	17LHND|24BEXP|347VENICY|47BPWR|5RCR|67FEWX|8BASARM|9AAC|aASPD
15	23643 22632	   	186.10	ACR|1BASARM|3VULN|1DMG	1BELT|2NUKE|3TLV|4RCR|567VULN|8DMG|9BASARM|aLWND
16	23643 22633	   	186.10	ACR|1BASARM|3VULN|1DMG	1BELT|2NUKE|3TLV|4RCR|567VULN|8DMG|9BASARM|aLIT
17	23643 21631	   	186.10	ACR|1BASARM|3VULN|1DMG	1BELT|2NUKE|3TLV|4RCR|56aVULN|7RCVC|8DMG|9BASARM
18	24143 13313	 * 	185.26	ACR|3ASPD|2DMG|1AAC	1BELT|2RMIN|3aDMG|4RCR|59aASPD|6aFEWX|7AAC|8MDPS|aBPWR
19	43333 23562	   	185.21	ACR|1BASARM|2AART|1DMG	1MDPS|2CGEN|3RCR|4RCVC|5AME|6DMG|78AART|9BASARM|aAEMAG
20	43333 23563	   	185.21	ACR|1BASARM|2AART|1DMG	1MDPS|2CGEN|3RCR|4RCVC|5AME|6DMG|78AART|9BASARM|aDUST
21	43336 22321	   	185.20	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|47RCVC|5AAC|69DMG|8DUR|aBASARM
22	43336 22421	   	185.20	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|47RCVC|5AAC|69DMG|8FEWX|aBASARM
23	43336 23321	   	185.20	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|4RCVC|5AAC|69DMG|7DMSP|8DUR|aBASARM
24	43336 23421	   	185.20	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|4RCVC|5AAC|69DMG|7DMSP|8FEWX|aBASARM
25	43336 25121	   	185.20	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|4RCVC|5AAC|69DMG|78FEWX|aBASARM
26	43336 22221	   	185.10	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|47RCVC|5AAC|69DMG|8DUST|aBASARM
27	43336 23221	   	185.10	ACR|1BASARM|2DMG|1AAC	1MDPS|2CGEN|3RCR|4RCVC|5AAC|69DMG|7DMSP|8DUST|aBASARM
28	43343 38321	   	185.10	ACR|1BASARM|2DMG|1AAC	1MDPS|256CGEN|3RCR|4MBVNT|79DMG|8AAC|aBASARM
29	24143 43313	   	185.06	ACR|3ASPD|2DMG|1AAC	1BELT|2RMIN|3aDMG|4RCR|59aASPD|6aDUST|7AAC|8MDPS|aBPWR
30	33125 31245	   	184.83	ACR|1BASARM|2BEXP|1DMG	17LHND|24BEXP|347FLTFST|47BPWR|5RCR|67FEWX|8BASARM|9VULN|aDMG
