0	Index      	 *	Score 	Summary	Detail	
1	11361 42115	 * 	221.98	ACR|2VULN|3DMG|1ASPD|1AART|1BEXP	1AART|26VULN|3FEWX|4RCR|58aDMG|7ASPD|9BEXP
2	55431 31121	 * 	218.24	ACR|1BASARM|3BEXP|3BASICY|1VULN	134BEXP|234BASICY|34BPWR|5RCR|6VULN|7RCVC|8LHND|9LEGI|aBASARM
3	13561 32125	 * 	218.02	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1AART|2BEXP|3DUR|4RCR|5DMG|6LIT|7LWND|8ASPD|9VULN|aBASARM
4	11361 43523	 * 	213.26	ACR|4VULN|3DMG|1AART	1AART|267aVULN|37FEWX|4RCR|57aDMG|7aBPWR|8BELT|9aLHND
5	11361 42114	   	212.36	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART|1AAC	1AART|26VULN|3FEWX|4RCR|58DMG|7ASPD|9BEXP|aAAC
6	11361 42141	 * 	210.27	ACR|2VULN|2ASPD|2DMG|1AART	1AART|26VULN|3FEWX|4RCR|58DMG|7aASPD|9MLV
7	11361 42121	   	210.17	ACR|2VULN|2ASPD|2DMG|1AART	1AART|26VULN|3FEWX|4RCR|58DMG|7aASPD|9TLV
8	11361 42131	   	210.17	ACR|2VULN|2ASPD|2DMG|1AART	1AART|26VULN|3FEWX|4RCR|58DMG|7aASPD|9ERES
9	11651 25321	 * 	209.93	ACR|3VULN|1ASPD|1DMG|2CDMG|1AART	1AART|257VULN|35CDMG|4RCR|5BPWR|6RPLT|8DMG|9TLV|aASPD
10	11651 25331	   	209.93	ACR|3VULN|1ASPD|1DMG|2CDMG|1AART	1AART|257VULN|35CDMG|4RCR|5BPWR|6RPLT|8DMG|9ERES|aASPD
11	13361 12145	 * 	209.65	ACR|3VULN|2DMG|2BEXP|1AART	1AART|2aBEXP|3DUST|4RCR|5aDMG|6ERES|7FLTARM|89aVULN|aBPWR
12	51443 21113	 * 	209.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	1BEXP|2AAC|39VULN|4MDPS|5RCR|6DMG|7DUR|8ASPD|aBASARM
13	51443 31113	   	209.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	1BEXP|2AAC|39VULN|4MDPS|5RCR|6ASPD|7DUR|8DMG|aBASARM
14	11651 31411	 * 	207.55	ACR|3VULN|2DMG|2CDMG|1AART	1AART|259VULN|35CDMG|4RCR|5BPWR|6CGEN|78DMG|aZMB
15	11651 31412	   	207.55	ACR|3VULN|2DMG|2CDMG|1AART	1AART|259VULN|35CDMG|4RCR|5BPWR|6CGEN|78DMG|aRMIN
16	11651 31413	   	207.45	ACR|3VULN|2DMG|2CDMG|1AART	1AART|259VULN|35CDMG|4RCR|5BPWR|6CGEN|78DMG|aERES
17	11651 12226	   	207.45	ACR|3VULN|2DMG|2CDMG|1AART	1AART|259VULN|35CDMG|4RCR|5BPWR|6LHND|7aDMG|8MDPS
18	11651 22222	 * 	206.43	ACR|2VULN|1ASPD|1BASICY|2CDMG|1AART|1BEXP	1AART|25VULN|35CDMG|4RCR|5BPWR|6RPLT|7ERES|8BASICY|9ASPD|aBEXP
19	11262 51522	 * 	206.36	ACR|2VULN|2DMG|2AART|1ASPD	19AART|2aVULN|3DUR|4RCR|5aLHND|6FEWX|7ASPD|8aDMG|aBPWR
20	11362 31522	   	206.36	ACR|2VULN|2DMG|2AART|1ASPD	19AART|2aVULN|3FEWX|4RCR|5aLHND|6DUR|7ASPD|8aDMG|aBPWR
21	11651 31433	   	206.23	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	1AART|25VULN|35CDMG|4RCR|5BPWR|6CGEN|78DMG|9MDPS|aBEXP
22	11364 52131	 * 	206.16	ACR|2VULN|2ASPD|2AART|1DMG	15AART|2aVULN|38FEWX|4RCR|67ASPD|9DMG
23	11361 12536	   	206.06	ACR|2VULN|2DMG|2AART|1ASPD	19AART|27VULN|3FEWX|4RCR|57DMG|678ERES|7BPWR|aASPD
24	11364 52331	   	206.06	ACR|2VULN|2ASPD|2AART|1DMG	15AART|2aVULN|3FEWX|4RCR|67ASPD|8AEMAG|9DMG
25	11361 43215	 * 	204.67	ACR|3VULN|2DMG|1ASPD|1AART	1AART|267VULN|37FEWX|4RCR|57DMG|7BPWR|8DUR|9ZMB|aASPD
26	11361 43225	   	204.67	ACR|3VULN|2DMG|1ASPD|1AART	1AART|267VULN|37FEWX|4RCR|57DMG|7BPWR|8DUR|9LIT|aASPD
27	11361 43631	   	204.67	ACR|3VULN|2DMG|1ASPD|1AART	1AART|267VULN|37FEWX|4RCR|57DMG|7BPWR|89LHND|aASPD
28	55431 22231	 * 	204.66	ACR|3BEXP|3BASICY|1DMG|1AART|1CDMG	134BEXP|234BASICY|34BPWR|5RCR|6LIT|7AART|8CGEN|9CDMG|aDMG
29	11361 43325	   	204.57	ACR|3VULN|2DMG|1ASPD|1AART	1AART|267VULN|37FEWX|4RCR|57DMG|7BPWR|8AEMAG|9DMSP|aASPD
30	11261 32135	   	204.37	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AART|2VULN|3DUR|4RCR|5DMG|6LIT|7LWND|8ASPD|9LHND|aBASARM
31	11361 32135	   	204.37	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AART|2VULN|3FEWX|4RCR|5DMG|6LIT|7LWND|8ASPD|9LHND|aBASARM
32	11361 12415	   	204.06	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	1AART|27VULN|38FEWX|4RCR|57DMG|67ERES|7BPWR|9BEXP|aASPD
33	11361 42112	   	204.06	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	1AART|26VULN|3FEWX|4RCR|58DMG|7ASPD|9BEXP|aLHND
34	11361 42113	   	204.06	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1AART|26VULN|3FEWX|4RCR|58DMG|7ASPD|9BEXP|aRPLT
35	55336 22231	 * 	204.01	ACR|2VULN|2BEXP|2BASICY|1ASPD|1DMG	16BEXP|24BASICY|34AEFBLL|4BPWR|5RCR|79VULN|8DMG|aASPD
36	11261 42115	   	203.96	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	1AART|26VULN|3DUR|4RCR|58DMG|7ERES|9BEXP|aASPD
37	11361 42111	   	203.96	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1AART|26VULN|3FEWX|4RCR|58DMG|7ASPD|9BEXP|aDUST
38	13366 33631	 * 	203.95	ACR|2VULN|3BEXP|1ASPD|1AART|1CDMG	1AART|278BEXP|3DUST|4RCR|57VULN|67DUR|7BPWR|9CDMG|aASPD
39	11651 43321	 * 	203.43	ACR|2VULN|3CDMG|1ASPD|1DMG|1AART	1AART|25VULN|359CDMG|4RCR|5BPWR|6ZMB|7BELT|8DMG|aASPD
40	13362 14532	 * 	203.39	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1AART|2aBEXP|3DUST|4RCR|59aLHND|6ASPD|7VULN|8aDMG|aBPWR
41	11651 12211	   	203.36	ACR|2VULN|1ASPD|1DMG|2CDMG|1AART|1AAC	1AART|25VULN|35CDMG|4RCR|5BPWR|6LHND|7DMG|8MDPS|9AAC|aASPD
42	11651 22115	   	203.36	ACR|2VULN|1ASPD|1DMG|2CDMG|1AART|1AAC	1AART|25VULN|35CDMG|4RCR|5BPWR|6RPLT|7ERES|8DMG|9AAC|aASPD
43	11651 53211	   	203.36	ACR|2VULN|1ASPD|1DMG|2CDMG|1AART|1AAC	1AART|25VULN|35CDMG|4RCR|5BPWR|6MDPS|7FEWX|8DMG|9AAC|aASPD
44	11264 52222	 * 	203.34	ACR|1VULN|2AART|1ASPD|1DMG|1BASICY|1BEXP	15AART|2VULN|3DUR|4RCR|6ASPD|7ERES|8BASICY|9DMG|aBEXP
45	11651 12335	   	203.33	ACR|2VULN|3CDMG|1ASPD|1DMG|1AART	1AART|25VULN|359CDMG|4RCR|5BPWR|6LHND|7DMG|8AME|aASPD
46	13362 14512	   	203.29	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1AART|2aBEXP|39DUST|4RCR|5aLHND|6ASPD|7VULN|8aDMG|aBPWR
47	11651 52211	   	203.26	ACR|2VULN|1ASPD|1DMG|2CDMG|1AART|1AAC	1AART|25VULN|35CDMG|4RCR|5BPWR|6MDPS|7DUST|8DMG|9AAC|aASPD
48	13361 24331	   	203.09	ACR|2DMG|2BEXP|1ASPD|1VULN|1AART	1AART|26BEXP|37DUST|4RCR|58DMG|9ASPD|aVULN
49	13361 24351	   	203.09	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1AART|26BEXP|37DUST|4RCR|58DMG|9VULN|aASPD
50	11261 12151	 * 	202.51	ACR|2VULN|3DMG|2AART	1aAART|27VULN|3DUR|4RCR|578DMG|67ERES|7BPWR|9RCVC
