0	Index      	 *	Score 	Summary	Detail	
1	15535 12131	 * 	196.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUR|2VULN|3BASARM|4BEXP|5RCR|6LWND|7ERES|8ASPD|9LEGI|aDMG
2	33126 62252	 * 	196.30	ACR|3ASPD|1BASARM|1BEXP	1DMSP|2BEXP|36LWND|4FEWX|5RCR|78aASPD|9BASARM
3	33226 22252	   	196.30	ACR|3ASPD|1BASARM|1BEXP	1DMSP|2BEXP|36LHND|4FEWX|5RCR|78aASPD|9BASARM
4	33166 62332	 * 	195.79	ACR|2VULN|2ASPD|2BEXP|1DMG	1DMSP|28BEXP|36LWND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aDUR
5	33166 62333	   	195.79	ACR|2VULN|2ASPD|2BEXP|1DMG	1DMSP|28BEXP|36LWND|48VULN|5RCR|78ASPD|8BPWR|9DMG|aLIT
6	33146 22252	 * 	195.48	ACR|1BASARM|2ASPD|2BEXP	1DMSP|2aBEXP|3LWND|46LHND|5RCR|78ASPD|9BASARM
7	33226 22452	   	195.48	ACR|1BASARM|2ASPD|2BEXP	1DMSP|28BEXP|36LHND|4FEWX|5RCR|7aASPD|9BASARM
8	33146 22253	 * 	194.29	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1DMSP|2BEXP|3LWND|46LHND|5RCR|78ASPD|9BASARM|aCDMG
9	33226 22255	 * 	194.29	ACR|1BASARM|2ASPD|1VULN|1BEXP	1DMSP|2BEXP|36LHND|4FEWX|5RCR|78ASPD|9BASARM|aVULN
10	15535 12132	   	194.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	1DUR|2VULN|3BASARM|4BEXP|5RCR|6LWND|7ERES|8aASPD|9LEGI
11	15535 22223	 * 	191.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	17DUR|2VULN|3BASARM|4BEXP|5RCR|6MULARM|8ASPD|9TLV|aAART
12	15535 11221	 * 	190.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	1DUR|2VULN|3BASARM|48BEXP|5RCR|67LWND|9ASPD|aZMB
13	15535 11223	   	190.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	1DUR|2VULN|3BASARM|48BEXP|5RCR|67LWND|9ASPD|aCGEN
14	11626 12363	 * 	189.59	ACR|3DMG|2ASPD|1VULN	18DUR|289DMG|36CGEN|4FEWX|5RCR|78ASPD|8BPWR|aVULN
