0	Index      	 *	Score 	Summary	Detail	
1	61223 51342	 * 	226.39	ACR|1BASARM|2DMG|2BEXP|2AART	16AART|2ERES|38BEXP|4RCR|5DUST|7aDMG|9BASARM
2	63226 42133	 * 	216.41	ACR|1BASARM|2BEXP|2VULN|1ASPD|1AART	1AART|2CGEN|36BEXP|4RCR|59VULN|7AME|8ASPD|aBASARM
3	61222 42133	   	216.31	ACR|1BASARM|2BEXP|2VULN|1ASPD|1AART	1AART|2ERES|36BEXP|4RCR|59VULN|7AME|8ASPD|aBASARM
4	63226 52133	 * 	214.02	ACR|1BASARM|2AART|2VULN|1ASPD|1BEXP	16AART|2CGEN|3BEXP|4RCR|59VULN|7AME|8ASPD|aBASARM
5	61222 52133	   	213.92	ACR|1BASARM|2AART|2VULN|1ASPD|1BEXP	16AART|2ERES|3BEXP|4RCR|59VULN|7AME|8ASPD|aBASARM
6	61223 31342	   	213.83	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|2ERES|38BEXP|4RCR|56DUST|7aDMG|9BASARM
7	61223 61342	   	213.83	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|26ERES|38BEXP|4RCR|5DUST|7aDMG|9BASARM
8	61223 51343	   	208.80	ACR|1BASARM|2BEXP|2AART|1DMG	16AART|2ERES|38BEXP|4RCR|5DUST|7DMG|9BASARM|aFEWX
9	61223 51341	   	208.70	ACR|1BASARM|2BEXP|2AART|1DMG	16AART|2ERES|38BEXP|4RCR|5aDUST|7DMG|9BASARM
10	61226 15133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2ERES|3BEXP|4RCR|5DMSP|6CGEN|79VULN|8ASPD|aBASARM
11	61621 15133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2ERES|35CGEN|4RCR|6BEXP|79VULN|8ASPD|aBASARM
12	63221 45133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|26CGEN|3BEXP|4RCR|5ERES|79VULN|8ASPD|aBASARM
13	63224 15133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|25CGEN|3BEXP|4RCR|6ERES|79VULN|8ASPD|aBASARM
14	63226 22133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP	1AART|2CGEN|3BEXP|4RCR|59VULN|6RCVC|7AME|8ASPD|aBASARM
15	63226 25133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2CGEN|3BEXP|4RCR|59VULN|6RCVC|7ERES|8ASPD|aBASARM
16	63622 15133	   	201.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|23CGEN|4RCR|5ERES|6BEXP|79VULN|8ASPD|aBASARM
17	61323 15133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2ERES|3AEMAG|4RCR|5BEXP|6CGEN|79VULN|8ASPD|aBASARM
18	61221 15133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|25ERES|3BEXP|4RCR|6CGEN|79VULN|8ASPD|aBASARM
19	61222 22133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2ERES|3BEXP|4RCR|59VULN|6RCVC|7AME|8ASPD|aBASARM
20	61224 35133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|26ERES|3BEXP|4RCR|5CGEN|79VULN|8ASPD|aBASARM
21	61326 16133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2ERES|3AEMAG|4RCR|59VULN|6CGEN|7BEXP|8ASPD|aBASARM
22	61622 36133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|26ERES|3CGEN|4RCR|59VULN|7BEXP|8ASPD|aBASARM
