0	Index      	 *	Score 	Summary	Detail	
1	13315 45211	 * 	233.57	ACR|1BASARM|3BEXP|2AART|1DMG|1AAC	18AART|2FEWX|3RCR|4AAC|5DMG|679BEXP|aBASARM
2	13324 32522	   	222.13	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LWND|8BASARM|9VULN|aDMG
3	13324 32524	 * 	222.13	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LWND|8BASARM|9VULN|aASPD
4	13324 42522	   	222.13	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LHND|8BASARM|9VULN|aDMG
5	13324 62522	   	222.03	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LEGI|8BASARM|9VULN|aDMG
6	13351 34522	   	221.04	ACR|1BASARM|2BEXP|2AART|1DMG	17AART|26FEWX|3RCR|4RPLT|56BEXP|6BPWR|8BASARM|9VULN|aDMG
7	13351 52522	   	220.94	ACR|1BASARM|2BEXP|2AART|1DMG	16AART|2FEWX|3RCR|4RPLT|57BEXP|8BASARM|9VULN|aDMG
8	14217 34273	 * 	218.17	ACR|2BASARM|2BEXP|1DMG|1AART	1AART|2MBVNT|3aDUR|4RCR|5VULN|6aBASARM|7LHND|8DMG|9aBEXP|aBPWR
9	14217 31273	 * 	216.51	ACR|1BASARM|2BEXP|2VULN|1DMG|1AART	1AART|2MBVNT|3aDUR|4RCR|5aVULN|6BASARM|7DMG|8LEGI|9aBEXP|aBPWR
10	13324 32542	   	215.19	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LWND|8BASARM|9LHND|aDMG
11	13324 32532	   	215.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LWND|8BASARM|9DUST|aDMG
12	13324 32534	   	215.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LWND|8BASARM|9DUST|aASPD
13	13324 42532	   	215.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LHND|8BASARM|9DUST|aDMG
14	13324 62532	   	214.99	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57BEXP|6LEGI|8BASARM|9DUST|aDMG
15	13351 34532	   	214.00	ACR|1BASARM|2BEXP|2AART|1DMG	17AART|26FEWX|3RCR|4RPLT|56BEXP|6BPWR|8BASARM|9DUST|aDMG
16	13351 52532	   	213.90	ACR|1BASARM|2BEXP|2AART|1DMG	16AART|2FEWX|3RCR|4RPLT|57BEXP|8BASARM|9DUST|aDMG
17	13354 12522	   	208.48	ACR|1BASARM|2BEXP|1DMG|1AART	1AART|2FEWX|3RCR|45RPLT|67BEXP|8BASARM|9VULN|aDMG
18	13355 12522	   	208.48	ACR|1BASARM|2BEXP|1DMG|1AART	1AART|2FEWX|3RCR|4RPLT|5RCVC|67BEXP|8BASARM|9VULN|aDMG
19	13324 32535	   	206.30	ACR|1BASARM|3BEXP|1AART|1CDMG	1AART|2FEWX|3RCR|4CDMG|57aBEXP|6LWND|8BASARM|9DUST
20	14217 31311	 * 	206.13	ACR|1BASARM|2DMG|1AART|1BEXP	1AART|2MBVNT|3DUR|4RCR|5VULN|6BASARM|7aDMG|8MLV|9BEXP
21	14217 31611	   	206.13	ACR|1BASARM|2DMG|1BEXP|1AART	1AART|2MBVNT|3DUR|4RCR|5VULN|6BASARM|7aDMG|8RMIN|9BEXP
22	14217 31741	   	206.13	ACR|1BASARM|2DMG|1AART|1CDMG	1AART|2MBVNT|3DUR|4RCR|5VULN|6BASARM|79DMG|8LIT|aCDMG
23	14717 31311	   	206.13	ACR|1BASARM|2DMG|1AART|1BEXP	1AART|2MBVNT|3FEWX|4RCR|5VULN|6BASARM|7aDMG|8MLV|9BEXP
24	13323 52522	   	206.10	ACR|1BASARM|2AART|1DMG|1CDMG	15AART|2FEWX|3RCR|4CDMG|6DUR|7LHND|8BASARM|9VULN|aDMG
25	13323 52524	 * 	206.10	ACR|1BASARM|2AART|1ASPD|1CDMG	15AART|2FEWX|3RCR|4CDMG|6DUR|7LHND|8BASARM|9VULN|aASPD
26	14717 31443	   	206.03	ACR|1BASARM|2DMG|1BEXP|1AART	1AART|2MBVNT|3FEWX|4RCR|5VULN|6BASARM|7aDMG|8MSLFST|9BEXP
27	14817 31411	   	206.03	ACR|1BASARM|2DMG|1AART|1BEXP	1AART|2MBVNT|3LHND|4RCR|5VULN|6BASARM|7aDMG|8ERES|9BEXP
28	55263 33231	 * 	205.68	ACR|2BASARM|2BEXP|2VULN|1AAC	1AAC|2aBEXP|3CGEN|4RCR|5aVULN|6AIRHEL|7ERES|8RPLT|9aBASARM|aBPWR
29	14717 31142	 * 	205.51	ACR|1BASARM|2DMG|2VULN|1AART	1AART|2MBVNT|3FEWX|4RCR|5aVULN|6BASARM|79DMG|8DMSP
30	14217 31743	 * 	204.94	ACR|1BASARM|2DMG|2AART	1aAART|2MBVNT|3DUR|4RCR|5VULN|6BASARM|79DMG|8LIT
31	14817 31141	   	204.94	ACR|1BASARM|2DMG|2AART	18AART|2MBVNT|3LHND|4RCR|5VULN|6BASARM|79DMG|aFEWX
32	14817 31142	   	204.94	ACR|1BASARM|2DMG|2AART	18AART|2MBVNT|3LHND|4RCR|5VULN|6BASARM|79DMG|aDMSP
33	14817 31143	   	204.94	ACR|1BASARM|2DMG|2AART	18AART|2MBVNT|3LHND|4RCR|5VULN|6BASARM|79DMG|aCGEN
34	14817 31144	   	204.94	ACR|1BASARM|2DMG|2AART	18AART|2MBVNT|3LHND|4RCR|5VULN|6BASARM|79DMG|aRCVC
