0	Index      	 *	Score 	Summary	Detail	
1	23223 51241	 * 	243.34	ACR|1BASARM|2ASPD|2AART|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9aAART
2	23223 51264	 * 	238.19	ACR|3ASPD|1BASARM|2BEXP|1CDMG|1AAC	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aAAC
3	23223 51244	 * 	236.20	ACR|1BASARM|2ASPD|2BEXP|2CDMG|1AART	17ZMB|27BEXP|3SPLARM|4RCR|5aCDMG|67ASPD|7BPWR|8BASARM|9AART
4	23223 51216	 * 	232.00	ACR|1BASARM|2ASPD|2BEXP|1VULN|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX|aVULN
5	23223 51262	   	231.19	ACR|3ASPD|1BASARM|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aRCVC
6	23223 51261	   	229.89	ACR|3ASPD|1BASARM|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aLHND
7	23223 51266	   	229.89	ACR|3ASPD|1BASARM|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aRPLT
8	23223 51243	   	229.88	ACR|1BASARM|2ASPD|2BEXP|1AART|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9AART|aLHND
9	23223 51245	   	229.88	ACR|1BASARM|2ASPD|2BEXP|1AART|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9AART|aCGEN
10	23223 51246	   	229.88	ACR|1BASARM|2ASPD|2BEXP|1AART|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9AART|aLIT
11	23223 51263	   	229.79	ACR|3ASPD|1BASARM|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aTLV
12	23223 51233	   	228.88	ACR|1BASARM|2ASPD|2BEXP|1AART|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN|aAART
13	23223 51253	   	228.78	ACR|1BASARM|2ASPD|2BEXP|1AART|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE|aAART
14	26123 51241	   	228.40	ACR|1BASARM|2ASPD|2AART|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9aAART
15	23223 52241	   	228.30	ACR|1BASARM|2ASPD|2AART|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9aAART
16	26123 52241	   	228.30	ACR|1BASARM|2ASPD|2AART|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|67ASPD|8BASARM|9aAART
17	26123 31253	 * 	225.91	ACR|1BASARM|2BEXP|1DMG|2CDMG|1AART|1AAC	17ZMB|2SPLREG|37BEXP|4RCR|57CDMG|6AAC|7BPWR|8BASARM|9DMG|aAART
18	23223 51211	 * 	225.50	ACR|1BASARM|3BEXP|2ASPD|1CDMG	17ZMB|27aBEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX
19	23223 51234	   	225.50	ACR|1BASARM|3BEXP|2ASPD|1CDMG	17ZMB|27aBEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN
20	23223 51254	   	225.40	ACR|1BASARM|3BEXP|2ASPD|1CDMG	17ZMB|27aBEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE
21	23223 52264	   	223.16	ACR|3ASPD|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|679ASPD|8BASARM|aAAC
22	26123 31254	 * 	222.53	ACR|1BASARM|3BEXP|1DMG|2CDMG|1AAC	17ZMB|2SPLREG|37aBEXP|4RCR|57CDMG|6AAC|7BPWR|8BASARM|9DMG
23	23223 52244	   	221.16	ACR|1BASARM|2ASPD|2CDMG|1AART|1BEXP	1ZMB|2BEXP|3SPLARM|4RCR|5aCDMG|67ASPD|8BASARM|9AART
24	26123 31241	 * 	220.30	ACR|1BASARM|2AART|2BEXP|2CDMG|1AAC	17ZMB|2SPLREG|37BEXP|4RCR|57CDMG|6AAC|7BPWR|8BASARM|9aAART
25	12421 65321	 * 	219.53	ACR|2VULN|2ASPD|1DMG|2CDMG|1BEXP	17VULN|2MDPS|3RCR|47ASPD|5RCVC|67CDMG|7BPWR|8FEWX|9DMG|aBEXP
26	11164 41231	 * 	217.25	ACR|1BASARM|2VULN|2DMG|1ASPD	19VULN|2MSLREG|3LIT|46DMG|5RCR|7MDPS|8BASARM|aASPD
27	26123 51216	   	217.06	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX|aVULN
28	23223 52216	   	216.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9FEWX|aVULN
29	26123 52216	   	216.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|67ASPD|8BASARM|9FEWX|aVULN
