0	Index      	 *	Score 	Summary	Detail	
1	13132 56223	 * 	203.44	ACR|2ASPD|2DMG|2BEXP|1AART	1DUR|2aBEXP|3LIT|4RCR|5DUST|6aDMG|7CGEN|8AART|9aASPD|aBPWR
2	31267 43243	 * 	200.22	DCR|3VULN|3ASPD|3CDMG|1AART	138ASPD|289VULN|4MBVNT|5MDPS|689CDMG|7AART|89BPWR|aRCR
3	31641 14232	 * 	198.39	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9RMIN|aDMG
4	31341 65212	 * 	198.37	ACR|2ASPD|1VULN|2AART|1DMG|1CDMG	17ASPD|2VULN|3LWND|4MDPS|5RCR|69AART|8CDMG|aDMG
5	31641 14212	   	198.29	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9ERES|aDMG
6	31641 16212	   	198.29	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9ERES|aDMG
7	31341 34412	 * 	198.19	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	1ASPD|2VULN|3LWND|4MDPS|5RCR|68BEXP|7aDMG|9AART
8	31641 11212	   	198.09	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9ERES|aDMG
9	34233 35233	 * 	195.06	DCR|3ASPD|2VULN|3BEXP|1DMG	137ASPD|259BEXP|47LIT|67VULN|7BPWR|8DMG|aRCR
10	31641 11251	 * 	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	18ASPD|29VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|aRMIN
11	31641 11252	   	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	18ASPD|29VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|aDMSP
12	31641 11253	   	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	18ASPD|29VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|aLHND
13	31641 11236	   	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	18ASPD|2aVULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9RMIN
14	31641 11216	   	191.32	ACR|2VULN|2ASPD|2BEXP|1AART	18ASPD|2aVULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9ERES
15	31641 16231	 * 	190.84	ACR|2ASPD|1VULN|2BEXP|2AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6aAART|78FEWX|8BPWR|9RMIN
16	31341 65232	 * 	190.71	ACR|2ASPD|1VULN|2AART|1BEXP|1CDMG	17ASPD|2VULN|3LWND|4MDPS|5RCR|6aAART|8CDMG|9BEXP
17	31641 11231	   	190.64	ACR|2ASPD|1VULN|2BEXP|2AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6aAART|78DUST|8BPWR|9RMIN
18	13133 61228	   	188.35	ACR|2ASPD|1DMG|1VULN|1BEXP|1AART	1DUR|2BEXP|3LIT|4RCR|5MBVNT|6DMG|79ASPD|8AART|aVULN
19	13133 61248	   	188.35	ACR|2DMG|1ASPD|1VULN|1BEXP|1AART	1DUR|2BEXP|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aVULN
20	66133 61224	   	188.35	ACR|2DMG|1VULN|1ASPD|1BEXP|1AART	1VULN|2FEWX|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aBEXP
21	31341 25432	 * 	186.94	ACR|2VULN|2ASPD|2DMG	1aASPD|2aVULN|38LWND|4MDPS|5RCR|6TLV|7AAC|9aDMG|aBPWR
22	31341 21432	   	186.84	ACR|2VULN|2ASPD|2DMG	1aASPD|2aVULN|3LWND|47MDPS|5RCR|6TLV|8aDMG|9NUKE|aBPWR
23	31314 56311	 * 	185.62	DCR|2VULN|2ASPD|2DMG|2BEXP	19ASPD|28VULN|3LWND|4FEWX|58BEXP|6DUST|78DMG|8BPWR|aRCR
24	31641 11234	   	185.15	ACR|2ASPD|1VULN|2BEXP|1AART|1AAC	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9RMIN|aAAC
25	31641 11214	   	185.05	ACR|2ASPD|1VULN|2BEXP|1AART|1AAC	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9ERES|aAAC
26	31341 65231	 * 	184.52	ACR|2ASPD|1VULN|2CDMG|1AART|1BEXP	17ASPD|2VULN|3LWND|4MDPS|5RCR|6AART|8aCDMG|9BEXP
27	13132 51254	   	184.32	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1DUR|2aBEXP|3LIT|4RCR|5DUST|6DMG|7ASPD|8AART|9VULN
28	31641 23422	   	183.76	ACR|2ASPD|1VULN|2BEXP|1DMG	1aASPD|2VULN|3aBEXP|4MDPS|5RCR|6ZMB|7RCVC|8DMG|9aCGEN|aBPWR
29	31341 34112	   	183.35	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1ASPD|2VULN|38LWND|4MDPS|5RCR|6BEXP|7aDMG|9AART
30	13133 61684	 * 	183.28	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1DUR|2BEXP|3LIT|4RCR|5MBVNT|6DMG|7ASPD|8VULN|9aAART
31	31641 15132	   	183.25	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	17ASPD|2VULN|3BEXP|4MDPS|5RCR|6AART|8LEGI|9RMIN|aDMG
32	31641 15213	   	183.25	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	17ASPD|2VULN|3BEXP|4MDPS|5RCR|6AART|8BELT|9DLOT|aDMG
33	31641 15312	   	183.25	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	17ASPD|2VULN|3BEXP|4MDPS|5RCR|6AART|8FEWX|9ERES|aDMG
34	31641 15112	   	183.15	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	17ASPD|2VULN|3BEXP|4MDPS|5RCR|6AART|8LEGI|9ERES|aDMG
35	31341 34343	 * 	183.13	ACR|1VULN|2BEXP|1ASPD|1DMG|1BASICY	1ASPD|2VULN|3LWND|4MDPS|5RCR|6aBEXP|7DMG|8DUR|9BASICY
36	34341 22241	 * 	183.11	ACR|2ASPD|2BEXP|2CDMG|1VULN|1SELL	19ASPD|29BEXP|3LWND|4MDPS|5RCR|6ZMB|79CDMG|8SELL|9BPWR|aVULN
37	34534 11233	   	181.98	DCR|3ASPD|3BEXP|1VULN|1DMG	138ASPD|239BEXP|3BPWR|4LIT|5VULN|6DMG|7RCVC|aRCR
38	31141 46312	 * 	181.55	ACR|2VULN|3ASPD|2DMG|1AART|1MSE	189ASPD|28VULN|3MSE|4MDPS|5RCR|6AEMAG|78DMG|8BPWR|aAART
39	31341 13536	 * 	181.10	ACR|3ASPD|2VULN|1AART	18aASPD|2aVULN|3LWND|4MDPS|5RCR|6DUR|7aFEWX|9AART|aBPWR
40	31341 34336	 * 	180.65	ACR|2VULN|2DMG|1ASPD|1BEXP	1ASPD|2aVULN|3LWND|4MDPS|5RCR|6BEXP|79DMG|8DUR
