0	Index      	 *	Score 	Summary	Detail	
1	51226 21231	 * 	300.95	ACR|DCR|5VULN|1DMG	1368aVULN|29RCR|4DMG|5ERES|7LWND
2	51226 21234	   	300.83	ACR|DCR|4VULN|1DMG|1MLV	1368VULN|29RCR|4DMG|5ERES|7LWND|aMLV
3	51226 63231	   	300.83	ACR|DCR|4VULN|1DMG|1MLV	138aVULN|29RCR|4DMG|5ERES|6CGEN|7MLV
4	35522 21253	 * 	300.45	DCR|DCR|4VULN	1MDPS|2TLV|3DUR|4LIT|578aVULN|69RCR
5	51243 21252	   	298.52	ACR|DCR|5VULN|1MLV	1378aVULN|29RCR|4MLV|5BBNT|6LIT
6	51236 21231	   	294.54	ACR|DCR|5VULN|1ASPD	1368aVULN|29RCR|4ASPD|5ERES|7LWND
7	51236 21234	   	294.42	ACR|DCR|4VULN|1MLV|1ASPD	1368VULN|29RCR|4ASPD|5ERES|7LWND|aMLV
8	51236 63231	   	294.42	ACR|DCR|4VULN|1MLV|1ASPD	138aVULN|29RCR|4ASPD|5ERES|6CGEN|7MLV
9	51226 32343	 * 	290.11	ACR|DCR|3VULN|2DMG|2ZMB	139VULN|27RCR|49DMG|5ERES|6LIT|89ZMB|9BPWR|aRPLT
10	35522 21251	   	286.85	DCR|DCR|3VULN|2DUR	1MDPS|2TLV|3aDUR|4LIT|578VULN|69RCR
11	52512 12331	   	286.46	DCR|DCR|2VULN|1DMG	15VULN|2VENFST|3DUR|4LWND|6AART|7DMG|8MDPS|9aRCR
12	52522 12331	   	286.46	DCR|DCR|2VULN|1DMG	15VULN|2VENFST|3DUR|4LHND|6AART|7DMG|8MDPS|9aRCR
13	56333 13432	   	285.40	DCR|DCR|3VULN|1ASPD|1ZMB	13aVULN|2TBNT|4ASPD|5DUST|6LWND|7ZMB|89RCR
14	51226 11231	   	283.30	ACR|DCR|4VULN|1DMG	138aVULN|29RCR|4DMG|5ERES|6RCVC|7LWND
15	51226 21233	   	283.30	ACR|DCR|4VULN|1DMG	1368VULN|29RCR|4DMG|5ERES|7LWND|aBEXP
16	51226 21235	   	283.30	ACR|DCR|4VULN|1DMG	1368VULN|29RCR|4DMG|5ERES|7LWND|aAAC
17	51226 21236	   	283.30	ACR|DCR|4VULN|1DMG	1368VULN|29RCR|4DMG|5ERES|7LWND|aLHND
18	51526 21231	   	283.30	ACR|DCR|4VULN|1DMG	168aVULN|29RCR|3DMSP|4DMG|5ERES|7LWND
19	51226 21232	   	283.20	ACR|DCR|4VULN|1DMG	1368VULN|29RCR|4DMG|5ERES|7LWND|aMDPS
20	51226 32621	   	281.12	ACR|DCR|3VULN|1DMG	13aVULN|27RCR|4DMG|5ERES|6LIT|8DUR|9AART
21	51262 22341	   	281.12	ACR|DCR|3VULN|1DMG	134VULN|2aRCR|5AART|6TBNT|7BLASTR|8DMG|9DUR
