0	Index      	 *	Score 	Summary	Detail	
1	53236 63223	 * 	281.25	DCR|DCR|2VULN|1DMG|1MLV|1ZMB	13VULN|2DMSP|4BBNT|5LWND|69RCR|7DMG|8ZMB|aMLV
2	53236 63221	 * 	273.38	DCR|DCR|2VULN|1DMG|1AART|1ZMB	13VULN|2DMSP|4BBNT|5LWND|69RCR|7DMG|8ZMB|aAART
3	26211 62423	 * 	273.36	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1BEXP|2LHND|3FEWX|4DUR|5VULN|69RCR|7ASPD|8DMG|aCDMG
4	23531 62423	   	273.26	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1BEXP|2LEGI|3DUR|4LHND|5VULN|69RCR|7ASPD|8DMG|aCDMG
5	42333 21551	 * 	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1TBNT|2CGEN|3RCVC|4FRZICY|5ASPD|67VULN|8aRCR|9CDMG
6	43333 21551	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1TBNT|2AME|3RCVC|4FRZICY|5ASPD|67VULN|8aRCR|9CDMG
7	52231 12425	 * 	265.69	DCR|DCR|3VULN|1ZMB	178VULN|2ZMB|3FEWX|4LWND|5DUST|6aRCR|9CGEN
8	36231 63221	   	264.50	DCR|DCR|1VULN|1DMG|1MLV|1AART|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5VULN|69RCR|7DMG|8ZMB|aAART
9	36233 16421	   	264.50	DCR|DCR|1VULN|1DMG|1MLV|1AART|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5ZMB|69RCR|7VULN|8DMG|aAART
10	53236 63222	 * 	263.71	DCR|DCR|2VULN|1DMG|1ZMB	13VULN|2DMSP|4BBNT|5aLWND|69RCR|7DMG|8ZMB
11	36231 63335	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	19ERES|2AELOIC|3MLV|4BBNT|5VULN|6aRCR|7DMG|8DUR
12	26211 62422	   	259.71	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2aLHND|3FEWX|4DUR|5VULN|69RCR|7ASPD|8DMG
13	26211 63423	   	259.71	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2LHND|3FEWX|4DUR|5VULN|69RCR|7AAC|8DMG|aCDMG
14	23531 62421	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2LEGI|3DUR|4LHND|5VULN|69RCR|7ASPD|8DMG|aDMSP
15	23531 63423	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2LEGI|3DUR|4LHND|5VULN|69RCR|7AAC|8DMG|aCDMG
16	26211 62421	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2LHND|3FEWX|4DUR|5VULN|69RCR|7ASPD|8DMG|aLEGI
17	23531 62422	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2LEGI|3DUR|4LHND|5VULN|69RCR|7ASPD|8DMG|aMDPS
18	32531 21221	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2VULN|3DUR|4DMG|5CDMG|6BEXP|7LHND|8aRCR|9TSLFST
19	32531 61221	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2VULN|3DUR|4DMG|5CDMG|6FEWX|7LHND|8aRCR|9TSLFST
20	32532 41221	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2VULN|3DUR|4DMG|5BEXP|6CDMG|7LHND|8aRCR|9TSLFST
21	32536 41221	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2VULN|3DUR|4DMG|5LWND|6CDMG|7LHND|8aRCR|9TSLFST
22	26213 12423	   	259.47	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2LHND|3FEWX|4DUR|5ZMB|69RCR|7VULN|8DMG|aCDMG
23	26523 12423	   	259.47	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2LHND|3DUR|4FEWX|5ZMB|69RCR|7VULN|8DMG|aCDMG
24	23533 12423	   	259.37	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1BEXP|2LEGI|3DUR|4LHND|5ZMB|69RCR|7VULN|8DMG|aCDMG
25	52321 53423	   	259.37	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1VULN|2ZMB|3LHND|4DUR|5DUST|6FEWX|79RCR|8DMG|aCDMG
26	52325 33423	   	259.37	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1VULN|2ZMB|3LHND|4DUR|5BEXP|6DUST|79RCR|8DMG|aCDMG
27	26211 62135	   	257.18	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2LHND|3FEWX|4DUR|5VULN|6aRCR|7ASPD|8MLV|9CGEN
28	23531 62135	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2LEGI|3DUR|4LHND|5VULN|6aRCR|7ASPD|8MLV|9CGEN
29	36231 63222	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5VULN|69RCR|7DMG|8ZMB|aLWND
30	36231 63223	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5VULN|69RCR|7DMG|8ZMB|aFEWX
31	36231 63226	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5VULN|69RCR|7DMG|8ZMB|aRCVC
32	36233 16422	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5ZMB|69RCR|7VULN|8DMG|aLWND
33	36233 16423	   	254.84	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5ZMB|69RCR|7VULN|8DMG|aFEWX
34	36231 63224	   	254.74	DCR|DCR|1VULN|1DMG|1MLV|1SELL|1ZMB	1ERES|2AELOIC|3MLV|4BBNT|5VULN|69RCR|7DMG|8ZMB|aSELL
35	36231 63225	   	254.74	DCR|DCR|1VULN|1DMG|1MLV|1ZMB|1MSE	1ERES|2AELOIC|3MLV|4BBNT|5VULN|69RCR|7DMG|8ZMB|aMSE
36	26213 12426	   	252.37	DCR|DCR|1VULN|1DMG|2DUR|1ZMB	1BEXP|2LHND|3FEWX|4aDUR|5ZMB|69RCR|7VULN|8DMG
37	56261 13223	 * 	252.34	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	14VULN|2TBNT|39RCR|5LWND|6RCVC|7DMG|8ZMB|aMLV
38	22361 12426	   	252.27	DCR|DCR|1VULN|1DMG|2DUR|1ZMB	1BEXP|2ZMB|3aDUR|4LWND|5DUST|69RCR|7VULN|8DMG
39	23213 12426	   	252.27	DCR|DCR|1VULN|1DMG|2DUR|1ZMB	1BEXP|2LEGI|3FEWX|4aDUR|5ZMB|69RCR|7VULN|8DMG
40	23523 12426	   	252.27	DCR|DCR|1VULN|1DMG|2DUR|1ZMB	1BEXP|2LEGI|3aDUR|4FEWX|5ZMB|69RCR|7VULN|8DMG
41	23321 63265	   	252.10	DCR|DCR|2VULN	1BEXP|2LEGI|3LWND|4FEWX|58VULN|6aRCR|7AAC|9DUR
42	26211 22225	   	252.10	DCR|DCR|2VULN	1BEXP|2LHND|3FEWX|4DUR|56VULN|7DUST|8aRCR|9AAC
43	26521 22225	   	252.10	DCR|DCR|2VULN	1BEXP|2LHND|3DUR|4FEWX|56VULN|7DUST|8aRCR|9AAC
44	54213 22225	   	252.10	DCR|DCR|2VULN	16VULN|2BEXP|3FEWX|4DUR|5LHND|7DUST|8aRCR|9AAC
45	31413 12426	   	252.07	DCR|DCR|1VULN|1DMG|2DUR|1ZMB	1ERES|2AME|3MDPS|4aDUR|5ZMB|69RCR|7VULN|8DMG
46	23211 22225	   	252.00	DCR|DCR|2VULN	1BEXP|2LEGI|3FEWX|4DUR|56VULN|7DUST|8aRCR|9AAC
47	23521 22225	   	252.00	DCR|DCR|2VULN	1BEXP|2LEGI|3DUR|4FEWX|56VULN|7DUST|8aRCR|9AAC
48	23531 22225	   	252.00	DCR|DCR|2VULN	1BEXP|2LEGI|3DUR|4LHND|56VULN|7DUST|8aRCR|9AAC
49	26323 12265	   	251.96	DCR|DCR|2VULN|1ZMB	1BEXP|2LHND|3LWND|4FEWX|5ZMB|6aRCR|78VULN|9DUR
50	23323 12265	   	251.86	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3LWND|4FEWX|5ZMB|6aRCR|78VULN|9DUR
51	23333 12265	   	251.86	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3LWND|4LHND|5ZMB|6aRCR|78VULN|9DUR
52	26211 22255	   	251.86	DCR|DCR|2VULN|1ZMB	1BEXP|2LHND|3FEWX|4DUR|56VULN|7DUST|8aRCR|9ZMB
53	26243 12225	   	251.86	DCR|DCR|2VULN|1ZMB	1BEXP|2LHND|3FEWX|4DUST|5ZMB|6aRCR|78VULN|9DUR
54	26343 12225	   	251.86	DCR|DCR|2VULN|1ZMB	1BEXP|2LHND|3LWND|4DUST|5ZMB|6aRCR|78VULN|9DUR
55	52231 12525	   	251.86	DCR|DCR|2VULN|1ZMB	17VULN|2ZMB|3FEWX|4LWND|5DUST|6aRCR|8BEXP|9DUR
56	52231 43215	   	251.86	DCR|DCR|2VULN|1ZMB	18VULN|2ZMB|3FEWX|4LWND|5DUST|6DUR|7aRCR|9BEXP
57	52236 33215	   	251.86	DCR|DCR|2VULN|1ZMB	18VULN|2ZMB|3FEWX|4LWND|5DUR|6DUST|7aRCR|9BEXP
58	52321 53215	   	251.86	DCR|DCR|2VULN|1ZMB	18VULN|2ZMB|3LHND|4DUR|5DUST|6FEWX|7aRCR|9BEXP
59	52324 33215	   	251.86	DCR|DCR|2VULN|1ZMB	18VULN|2ZMB|3LHND|4DUR|5LWND|6DUST|7aRCR|9BEXP
60	23211 22255	   	251.76	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3FEWX|4DUR|56VULN|7DUST|8aRCR|9ZMB
61	23521 22255	   	251.76	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3DUR|4FEWX|56VULN|7DUST|8aRCR|9ZMB
62	23531 22255	   	251.76	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3DUR|4LHND|56VULN|7DUST|8aRCR|9ZMB
63	35413 12215	   	251.76	DCR|DCR|2VULN|1ZMB	1ERES|2TLV|3MDPS|4DUR|5ZMB|6aRCR|78VULN|9BEXP
64	23243 12225	   	251.76	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3FEWX|4DUST|5ZMB|6aRCR|78VULN|9DUR
65	23343 12225	   	251.76	DCR|DCR|2VULN|1ZMB	1BEXP|2LEGI|3LWND|4DUST|5ZMB|6aRCR|78VULN|9DUR
66	31413 12215	   	251.66	DCR|DCR|2VULN|1ZMB	1ERES|2AME|3MDPS|4DUR|5ZMB|6aRCR|78VULN|9BEXP
67	31463 12225	   	251.66	DCR|DCR|2VULN|1ZMB	1ERES|2AME|3MDPS|4BEXP|5ZMB|6aRCR|78VULN|9DUR
68	23321 63423	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1BEXP|2LEGI|3LWND|4FEWX|5VULN|69RCR|7AAC|8DMG|aCDMG
