0	Index      	 *	Score 	Summary	Detail	
1	22553 26312	 * 	292.05	DCR|DCR|3VULN|1DMG	1AIRHEA|2AAC|35BEXP|49aVULN|68RCR|7DMG
2	53342 32613	 * 	286.66	ACR|DCR|3VULN|1DMG|1CDMG|1RPLT	137FEWX|237VULN|37BPWR|48RCR|57ERES|6RPLT|9CDMG|aDMG
3	22334 26341	   	282.24	DCR|DCR|2VULN|1DMG|1CDMG	1AIRHEA|2AAC|35LWND|4aVULN|68RCR|7DMG|9CDMG
4	22334 26314	   	276.90	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35LWND|49VULN|68RCR|7DMG|aDUR
5	23324 26341	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AIRHEA|2RCVC|3ASPD|4BEXP|5DUR|68RCR|7DMG|9CDMG|aVULN
6	22334 26316	   	275.53	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35LWND|49VULN|68RCR|7DMG|aNUKE
7	23324 26313	 * 	274.92	DCR|DCR|1VULN|2ASPD|1DMG	1AIRHEA|2RCVC|3aASPD|4BEXP|5DUR|68RCR|7DMG|9VULN
8	23354 26313	   	274.92	DCR|DCR|1VULN|2ASPD|1DMG	1AIRHEA|2RCVC|3aASPD|4LHND|5DUR|68RCR|7DMG|9VULN
9	23324 26314	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1AIRHEA|2RCVC|3ASPD|4BEXP|5DUR|68RCR|7DMG|9VULN|aRPLT
10	53242 11433	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1FEWX|2VULN|3BBNT|4MLV|5DMG|6MBVNT|7aRCR|8BLASTR|9CDMG
11	22334 26311	   	268.59	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35LWND|49VULN|68RCR|7DMG|aFEWX
12	22553 26311	   	268.59	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35BEXP|49VULN|68RCR|7DMG|aBELT
13	22553 26313	   	268.59	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35BEXP|49VULN|68RCR|7DMG|aLIT
14	22334 26312	   	268.49	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35LWND|49VULN|68RCR|7DMG|aERES
15	22334 26313	   	268.49	DCR|DCR|2VULN|1DMG	1AIRHEA|2AAC|35LWND|49VULN|68RCR|7DMG|aMDPS
16	23323 26341	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AIRHEA|2RCVC|3ASPD|4BEXP|5LWND|68RCR|7DMG|9CDMG|aVULN
17	23353 26341	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AIRHEA|2RCVC|3ASPD|4LHND|5LWND|68RCR|7DMG|9CDMG|aVULN
18	23323 26313	   	266.62	DCR|DCR|1VULN|2ASPD|1DMG	1AIRHEA|2RCVC|3aASPD|4BEXP|5LWND|68RCR|7DMG|9VULN
19	23353 26313	   	266.62	DCR|DCR|1VULN|2ASPD|1DMG	1AIRHEA|2RCVC|3aASPD|4LHND|5LWND|68RCR|7DMG|9VULN
20	53342 32612	   	266.60	ACR|DCR|3VULN|1CDMG|1RPLT	137FEWX|237VULN|37BPWR|48RCR|57ERES|6RPLT|9CDMG|aBEXP
21	53342 32611	   	266.50	ACR|DCR|3VULN|1CDMG|1RPLT	137FEWX|237VULN|37BPWR|48RCR|57aERES|6RPLT|9CDMG
22	14215 11483	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1TBNT|2ASPD|3MLV|4BEXP|5VULN|6MBVNT|7aRCR|8BLASTR|9CDMG
23	53313 31154	 * 	264.95	DCR|4VULN|2DMG|1CDMG|1RPLT	13FEWX|2368VULN|3BPWR|45DMG|7RCR|9RPLT|aCDMG
24	22334 26342	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1AIRHEA|2AAC|35LWND|4VULN|68RCR|7DMG|9CDMG|aRPLT
25	23323 26314	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1AIRHEA|2RCVC|3ASPD|4BEXP|5LWND|68RCR|7DMG|9VULN|aRPLT
26	23353 26314	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1AIRHEA|2RCVC|3ASPD|4LHND|5LWND|68RCR|7DMG|9VULN|aRPLT
27	22553 26322	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1AIRHEA|2AAC|35BEXP|4VULN|68RCR|7DMG|9AART|aCDMG
28	23324 26331	 * 	262.64	DCR|DCR|2DMG|1MLV|1ASPD	1AIRHEA|2RCVC|3ASPD|4BEXP|5DUR|68RCR|7aDMG|9MLV
29	23354 26331	   	262.64	DCR|DCR|2DMG|1MLV|1ASPD	1AIRHEA|2RCVC|3ASPD|4LHND|5DUR|68RCR|7aDMG|9MLV
