0	Index      	 *	Score 	Summary	Detail	
1	62332 41235	 * 	282.97	DCR|DCR|1VULN|2MLV|1DMG|1AART|1RPLT|1SELL	1VULN|2AART|3SELL|4DMG|59MLV|6RPLT|7DUST|8aRCR
2	12226 12213	 * 	280.40	DCR|DCR|3VULN	1FLTHEA|2DUR|3LIT|479VULN|5LHND|6aRCR|8CGEN
3	12243 12213	   	280.40	DCR|DCR|3VULN	1FLTHEA|2DUR|3LIT|4LHND|579VULN|6aRCR|8CGEN
4	12253 12213	   	280.40	DCR|DCR|3VULN	1FLTHEA|2DUR|3LIT|4BEXP|579VULN|6aRCR|8CGEN
5	62231 25213	 * 	272.81	DCR|3VULN|2MLV|2ASPD|1DMG|1AART	179VULN|2AART|3AAC|4ERES|59ASPD|69MLV|8RCR|9BPWR|aDMG
6	62241 26213	   	272.81	DCR|3VULN|2MLV|2ASPD|1DMG|1AART	179VULN|2AART|3AAC|4AME|59ASPD|69MLV|8RCR|9BPWR|aDMG
7	62431 25213	   	272.81	DCR|3VULN|2MLV|2ASPD|1DMG|1AART	179VULN|2AART|3RMIN|4ERES|59ASPD|69MLV|8RCR|9BPWR|aDMG
8	21321 66122	 * 	272.15	DCR|4VULN|2MLV|1DMG|2DUR	1BELT|27DUR|379aVULN|4FEWX|5DMG|67MLV|7BPWR|8RCR
9	11253 12213	   	272.09	DCR|DCR|3VULN	1FLTHEA|2LHND|3LIT|4FEWX|579VULN|6aRCR|8CGEN
10	15114 51113	   	272.09	DCR|DCR|3VULN	1FLTHEA|259VULN|3CGEN|4LIT|6aRCR|7BEXP|8FEWX
11	15236 12213	   	272.09	DCR|DCR|3VULN	1FLTHEA|279VULN|3LIT|4LWND|5LHND|6aRCR|8CGEN
12	15256 12213	   	272.09	DCR|DCR|3VULN	1FLTHEA|279VULN|3LIT|4BEXP|5LHND|6aRCR|8CGEN
13	15263 12213	   	271.99	DCR|DCR|3VULN	1FLTHEA|279VULN|3LIT|4MDPS|5RCVC|6aRCR|8CGEN
14	61136 12213	   	271.99	DCR|DCR|3VULN	179VULN|2BEXP|3LIT|4LHND|5VENTOX|6aRCR|8CGEN
15	64136 12213	   	271.99	DCR|DCR|3VULN	179VULN|2FEWX|3LIT|4LHND|5VENTOX|6aRCR|8CGEN
16	62234 21125	   	271.84	DCR|DCR|2VULN|1ASPD|1AART	15VULN|2AART|3AAC|4ERES|6ASPD|7CGEN|8TBNT|9aRCR
17	21321 66126	 * 	269.59	DCR|3VULN|2DMG|2MLV|2DUR	1BELT|27DUR|379VULN|4FEWX|5aDMG|67MLV|7BPWR|8RCR
18	51244 11332	 * 	269.40	ACR|3VULN|3DMG|3MLV|1ASPD	179DMG|2RMIN|3ASPD|4RCR|579MLV|679VULN|79BPWR|8BBNT|aDMSP
19	51244 11331	   	269.30	ACR|3VULN|3DMG|3MLV|1ASPD	179DMG|2RMIN|3ASPD|4RCR|579MLV|679VULN|79BPWR|8BBNT|aERES
20	51244 11333	   	269.30	ACR|3VULN|3DMG|3MLV|1ASPD	179DMG|2RMIN|3ASPD|4RCR|579MLV|679VULN|79BPWR|8BBNT|aAME
21	25314 15643	 * 	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1BELT|2DMG|3LIT|4MBVNT|5VULN|6aRCR|7MLV|8LHND|9AART
22	62332 41225	   	267.26	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT|1SELL	1VULN|2AART|3SELL|4DMG|5MLV|6RPLT|7DUST|8aRCR|9AELOIC
23	62321 25335	   	266.01	DCR|DCR|1VULN|1DMG|2AART|1RPLT|1SELL	1VULN|26AART|3SELL|4DUR|5RPLT|7CGEN|8aRCR|9DMG
24	21261 23222	   	265.71	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1BELT|2DUR|3BEXP|4RPLT|5MLV|6AART|7VULN|8aRCR|9TBNT
25	21261 23262	   	265.71	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1BELT|2DUR|3BEXP|4RPLT|5MLV|6AART|7VULN|8aRCR|9BBNT
26	62231 25215	 * 	264.19	DCR|3VULN|3ASPD|2MLV|1AART	179VULN|2AART|3AAC|4ERES|59aASPD|69MLV|8RCR|9BPWR
27	25221 66121	   	263.04	DCR|3VULN|2DMG|2MLV	1BELT|27DMG|379VULN|4DUR|5BEXP|67MLV|7BPWR|8RCR|aFEWX
28	25221 66122	   	263.04	DCR|3VULN|2DMG|2MLV	1BELT|27DMG|379VULN|4DUR|5BEXP|67MLV|7BPWR|8RCR|aLIT
29	25221 66123	   	263.04	DCR|3VULN|2DMG|2MLV	1BELT|27DMG|379VULN|4DUR|5BEXP|67MLV|7BPWR|8RCR|aAAC
30	21321 66116	   	261.66	DCR|3VULN|2MLV|1DMG|2DUR|1RPLT	1BELT|27DUR|37aVULN|4FEWX|5DMG|67MLV|7BPWR|8RCR|9RPLT
31	62231 22625	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1VULN|2AART|39AAC|4ERES|5ASPD|6MLV|7BBNT|8aRCR
32	53243 43132	 * 	260.48	ACR|DCR|2DMG|1VULN|1MLV|1ASPD	16DMG|2MLV|3ASPD|49RCR|5CGEN|7TBNT|8BBNT|aVULN
33	25252 63322	 * 	258.97	DCR|4VULN|2DMG|1MLV	1BELT|24DMG|389aVULN|5DUST|6MLV|7RCR
34	62335 22225	   	258.14	DCR|DCR|1VULN|1DMG|1AART|1RPLT|1SELL	1VULN|2AART|3SELL|4DMG|5RPLT|6DUR|7RMIN|8aRCR|9AELOIC
35	23321 66122	   	257.29	DCR|4VULN|2MLV|1DMG	1BELT|27LHND|379aVULN|4FEWX|5DMG|67MLV|7BPWR|8RCR
36	11256 12333	   	256.93	DCR|DCR|2VULN	1FLTHEA|2LHND|3LIT|4FEWX|5LWND|6aRCR|78VULN|9DUR
37	12226 12643	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|47VULN|58LHND|6aRCR|9CGEN
38	12226 12663	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|47VULN|58LHND|6aRCR|9DMSP
39	12243 12643	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|48LHND|57VULN|6aRCR|9CGEN
40	12243 12663	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|48LHND|57VULN|6aRCR|9DMSP
41	12246 12323	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4LHND|5LWND|6aRCR|78VULN|9BEXP
42	12253 12143	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|48BEXP|57VULN|6aRCR|9CGEN
43	12253 12163	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|48BEXP|57VULN|6aRCR|9DMSP
44	12256 12363	   	256.93	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4BEXP|5LWND|6aRCR|78VULN|9LHND
45	15111 51513	   	256.93	DCR|DCR|2VULN	1FLTHEA|29VULN|3CGEN|45LIT|6aRCR|7BEXP|8DUR
46	15114 52223	   	256.93	DCR|DCR|2VULN	1FLTHEA|25VULN|38CGEN|4LIT|6aRCR|7RMIN|9DUR
47	15236 12143	   	256.93	DCR|DCR|2VULN	1FLTHEA|27VULN|3LIT|4LWND|5LHND|6aRCR|8BEXP|9DUR
48	12226 12223	   	256.83	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|47VULN|5LHND|6aRCR|8CGEN|9AELOIC
49	12236 12363	   	256.83	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4DUST|5LWND|6aRCR|78VULN|9LHND
50	12243 12223	   	256.83	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4LHND|57VULN|6aRCR|8CGEN|9AELOIC
51	12253 12223	   	256.83	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4BEXP|57VULN|6aRCR|8CGEN|9AELOIC
52	11236 12343	   	256.83	DCR|DCR|2VULN	1FLTHEA|2LHND|3LIT|4DUST|5LWND|6aRCR|78VULN|9DUR
53	12246 12313	   	256.83	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4LHND|5LWND|6aRCR|78VULN|9DUST
54	12256 12313	   	256.83	DCR|DCR|2VULN	1FLTHEA|2DUR|3LIT|4BEXP|5LWND|6aRCR|78VULN|9DUST
55	51344 11332	   	255.75	ACR|3VULN|3DMG|3MLV	179DMG|2RMIN|3AAC|4RCR|579MLV|679VULN|79BPWR|8BBNT|aDMSP
56	51344 11331	   	255.65	ACR|3VULN|3DMG|3MLV	179DMG|2RMIN|3AAC|4RCR|579MLV|679VULN|79BPWR|8BBNT|aERES
57	51344 11333	   	255.65	ACR|3VULN|3DMG|3MLV	179DMG|2RMIN|3AAC|4RCR|579MLV|679VULN|79BPWR|8BBNT|aAME
58	23321 66126	   	254.73	DCR|3VULN|2DMG|2MLV	1BELT|27LHND|379VULN|4FEWX|5aDMG|67MLV|7BPWR|8RCR
59	25231 36262	 * 	254.67	DCR|3VULN|3DMG|1MLV	1BELT|256DMG|379VULN|47CGEN|7BPWR|8MLV|aRCR
60	62131 26263	   	254.29	DCR|4VULN|1MLV|1ASPD|1AART|1RPLT	1479VULN|2AART|34DUST|4BPWR|5ASPD|6MLV|8RCR|aRPLT
61	12222 16433	   	254.01	ACR|DCR|2DMG|1VULN|2DUR|1AART	1aFLTHEA|2aDUR|3LIT|4VULN|58RCR|6AAC|7aDMG|9AART|aBPWR
62	24323 35623	   	253.98	DCR|3VULN|2DMG|1MLV|2DUR	1BELT|2BBNT|37DMG|4FEWX|578VULN|67DUR|7BPWR|9MLV|aRCR
63	24313 35623	   	253.88	DCR|3VULN|2DMG|1MLV|2DUR	1BELT|2BBNT|37DMG|4DUST|578VULN|67DUR|7BPWR|9MLV|aRCR
64	62261 31225	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1VULN|2AART|3AAC|4RPLT|5CGEN|6CDMG|7DUST|8aRCR|9AELOIC
65	62262 31225	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1VULN|2AART|3AAC|4RPLT|5TLV|6CDMG|7DUST|8aRCR|9AELOIC
66	62263 31225	   	253.22	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1VULN|2AART|3AAC|4RPLT|5ERES|6CDMG|7DUST|8aRCR|9AELOIC
67	55332 12114	 * 	253.21	DCR|2VULN|3ASPD|2DMG|1MLV	19DMG|2LIT|369ASPD|4FEWX|5RCVC|7MLV|89VULN|9BPWR|aRCR
68	32241 35335	 * 	253.09	ACR|DCR|2VULN|1DMG|1ASPD|1ZMB	1TLV|2ZMB|3ASPD|4aRCR|5LHND|68VULN|7DMG|9DUST
