0	Index      	 *	Score 	Summary	Detail	
1	26323 22523	 * 	272.89	DCR|3VULN|3ASPD|1DMG|2CDMG|1MLV	145ASPD|2LEGI|345VULN|45BPWR|6RCR|7MLV|89CDMG|aDMG
2	26323 22333	 * 	271.35	DCR|4VULN|3ASPD|1MLV|1AART|1RPLT	145ASPD|2LEGI|345aVULN|45BPWR|6RCR|7MLV|8RPLT|9AART
3	11261 13535	 * 	269.36	DCR|DCR|2MLV|2ASPD|2DUR|1AART	1CANSTR|24MLV|34DUR|4BPWR|5aASPD|69RCR|7BBNT|8AART
4	11122 26124	 * 	268.64	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1CANSTR|2MLV|3BBNT|4ASPD|59CDMG|67RCR|8VENFST|aVULN
5	11122 26524	   	268.64	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1CANSTR|2MLV|3BBNT|4ASPD|59CDMG|67RCR|8MSLFST|aVULN
6	11531 47437	 * 	268.60	DCR|DCR|2MLV|1VULN|1RPLT	1CANSTR|28MLV|3MBVNT|4DUR|5FRZICY|6RPLT|7VULN|9aRCR
7	26323 22653	 * 	267.64	DCR|4VULN|3ASPD|2MLV	145ASPD|2LEGI|3459VULN|45BPWR|6RCR|7aMLV|8TBNT
8	26323 22533	   	265.68	DCR|4VULN|3ASPD|1MLV|1CDMG	145ASPD|2LEGI|345aVULN|45BPWR|6RCR|7MLV|8CDMG|9LWND
9	11161 26121	 * 	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1CANSTR|2MLV|3BBNT|4VULN|5DLOT|6DMG|7RPLT|8aRCR|9TBNT
10	11514 21356	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1AART	1CANSTR|2MLV|3MBVNT|49RCVC|5DMG|6VULN|7AART|8aRCR
11	11261 13531	   	263.85	DCR|DCR|2MLV|2DUR|1ASPD|1AART	1CANSTR|24MLV|34DUR|4BPWR|5ASPD|69RCR|7BBNT|8AART|aNUKE
12	31524 53322	 * 	263.00	DCR|DCR|2DMG|3CDMG|1ASPD	136CDMG|2TBNT|36BPWR|4RMIN|56DMG|7LHND|89RCR|aASPD
13	31524 52322	   	262.90	DCR|DCR|2DMG|3CDMG|1ASPD	136CDMG|2TBNT|36BPWR|4RMIN|56DMG|7LEGI|89RCR|aASPD
14	26323 22363	   	262.59	DCR|3VULN|3ASPD|1DMG|1MLV|1RPLT	145ASPD|2LEGI|345VULN|45BPWR|6RCR|7MLV|8RPLT|9BBNT|aDMG
