0	Index      	 *	Score 	Summary	Detail	
1	42222 11463	 * 	316.26	DCR|DCR|2VULN|2ASPD|1AAC|2DUR|1CDMG	1TBNT|2AAC|38DUR|48ASPD|5CDMG|6FEWX|78VULN|8BPWR|9aRCR
2	41515 22333	 * 	310.27	DCR|DCR|1VULN|1TLV|2ASPD|1DMG|1CDMG	1TBNT|2VULN|39ASPD|4BBNT|5TLV|6CDMG|7aRCR|8DMG
3	42315 22433	   	307.10	DCR|DCR|1VULN|1TLV|2ASPD|1AAC|1CDMG	1TBNT|2AAC|3VULN|4BBNT|5TLV|6CDMG|7aRCR|89ASPD
4	13132 23263	   	304.53	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1FEWX|2DMG|3TLV|4LEGI|5VULN|6CDMG|7AAC|8DUR|9aRCR
5	42315 22313	   	296.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1TBNT|2AAC|3VULN|4BBNT|5TLV|6CDMG|7aRCR|8DMG|9RCVC
6	42345 22313	   	296.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1TBNT|2AAC|3VULN|4TLV|5BBNT|6CDMG|7aRCR|8DMG|9RCVC
7	42342 52313	   	296.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1TBNT|2AAC|3VULN|4TLV|5CDMG|6BBNT|7aRCR|8DMG|9RCVC
8	41515 22313	   	295.68	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1TBNT|2VULN|3ASPD|4BBNT|5TLV|6CDMG|7aRCR|8DMG|9RCVC
9	16832 43436	 * 	293.14	DCR|DCR|2VULN|2TLV	148FEWX|2MBVNT|3RAT|5RCVC|68TLV|78VULN|8BPWR|9aRCR
10	16833 43436	   	293.14	DCR|DCR|2VULN|2TLV	148FEWX|2MBVNT|3RAT|58TLV|6RCVC|78VULN|8BPWR|9aRCR
11	42315 22413	   	292.51	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1TBNT|2AAC|3VULN|4BBNT|5TLV|6CDMG|7aRCR|8ASPD|9RCVC
12	13132 53263	   	290.64	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1SELL	1FEWX|2DMG|3TLV|4LEGI|5VULN|6SELL|7AAC|8DUR|9aRCR
13	16352 23353	 * 	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1FEWX|2MBVNT|3ERES|4CGEN|5VULN|6CDMG|7aRCR|8TLV|9MLV
14	13152 26313	   	287.74	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1FEWX|2DMG|3TLV|4DUR|5VULN|6CDMG|7aRCR|8ZMB|9CGEN
15	13152 26323	   	287.74	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1FEWX|2DMG|3TLV|4DUR|5VULN|6CDMG|7aRCR|8ZMB|9LWND
16	13152 26333	   	287.74	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1FEWX|2DMG|3TLV|4DUR|5VULN|6CDMG|7aRCR|8ZMB|9LHND
17	36352 23353	   	287.66	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1BEXP|2MBVNT|3ERES|4CGEN|5VULN|6CDMG|7aRCR|8TLV|9MLV
18	13132 22263	   	287.64	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1FEWX|2DMG|3TLV|4LEGI|5VULN|6CDMG|7ZMB|8DUR|9aRCR
19	13132 26353	   	287.64	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1FEWX|2DMG|3TLV|4LEGI|5VULN|6CDMG|7aRCR|8ZMB|9DUR
20	42343 23411	   	287.17	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TBNT|2AAC|3VULN|4TLV|5AART|6BBNT|7ASPD|8aRCR|9LHND
21	42343 23431	   	287.17	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TBNT|2AAC|3VULN|4TLV|5AART|6BBNT|7ASPD|8aRCR|9LWND
22	42343 23421	   	287.07	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TBNT|2AAC|3VULN|4TLV|5AART|6BBNT|7ASPD|8aRCR|9BEXP
