0	Index      	 *	Score 	Summary	Detail	
1	12513 46844	 * 	304.97	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1ASPD|2MBVNT|3BELT|4FEWX|5AAC|6aRCR|79VULN|8TLV
2	11352 43121	 * 	294.16	DCR|3MLV|2VULN|3ASPD|1DMG	158ASPD|2DMG|389CGEN|456MLV|58BPWR|78VULN|aRCR
3	11352 43111	   	294.06	DCR|3MLV|2VULN|3ASPD|1DMG	158ASPD|2DMG|38CGEN|456MLV|58BPWR|78VULN|9AEFRZ|aRCR
4	11352 43161	   	294.06	DCR|3MLV|2VULN|3ASPD|1DMG	158ASPD|2DMG|38CGEN|456MLV|58BPWR|78VULN|9AEBURN|aRCR
5	34222 48264	 * 	291.08	DCR|3MLV|2VULN|2DMG|1AAC|1SELL	1SELL|23aMLV|4MBVNT|5RAT|6aDMG|7RCR|8AAC|9aVULN|aBPWR
6	11152 41243	 * 	287.54	DCR|3VULN|2MLV|2ASPD|1DMG	16ASPD|2DMG|34MLV|569VULN|6BPWR|7AART|8ERES|aRCR
7	12547 64314	 * 	286.01	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	18ASPD|2MBVNT|3BELT|4LEGI|5TLV|68VULN|78MLV|8BPWR|9RCR|aAAC
8	12573 44315	 * 	285.56	DCR|2MLV|2TLV|1VULN|2ASPD|1DMG	18ASPD|2MBVNT|3BELT|48TLV|5VULN|6DUR|78MLV|8BPWR|9RCR|aDMG
9	41122 43121	 * 	283.24	DCR|3MLV|2VULN|3DMG	189CGEN|258DMG|356MLV|4NUKE|58BPWR|78VULN|aRCR
10	41122 43111	   	283.14	DCR|3MLV|2VULN|3DMG	18CGEN|258DMG|356MLV|4NUKE|58BPWR|78VULN|9AEFRZ|aRCR
11	11152 41263	 * 	282.98	DCR|2VULN|2MLV|2DMG|2ASPD	16ASPD|29DMG|34MLV|56VULN|6BPWR|7AART|8ERES|aRCR
12	12573 44314	   	282.39	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2MBVNT|3BELT|48TLV|5VULN|6DUR|78MLV|8BPWR|9RCR|aAAC
13	12253 45421	 * 	281.23	ACR|DCR|3ASPD|1VULN|1TLV|1MLV	145ASPD|2MBVNT|39RCR|45BPWR|6CGEN|7TLV|8VULN|aMLV
14	12255 45421	   	281.23	ACR|DCR|3ASPD|1VULN|1TLV|1MLV	145ASPD|2MBVNT|39RCR|4BPWR|6CGEN|7TLV|8VULN|aMLV
15	12283 45421	   	281.23	ACR|DCR|3ASPD|1VULN|1TLV|1MLV	145ASPD|2MBVNT|39RCR|5BPWR|6CGEN|7TLV|8VULN|aMLV
16	12285 45421	   	281.23	ACR|DCR|3ASPD|1VULN|1TLV|1MLV	145ASPD|2MBVNT|39RCR|6CGEN|7TLV|8VULN|aMLV
17	12573 44318	   	279.15	DCR|2MLV|2TLV|1VULN|2ASPD|1CDMG	18ASPD|2MBVNT|3BELT|48TLV|5VULN|6DUR|78MLV|8BPWR|9RCR|aCDMG
18	12741 61121	 * 	278.51	DCR|DCR|2DMG|2ASPD|1MLV	15ASPD|2MBVNT|3RPLT|46DMG|79RCR|8AME|aMLV
19	12741 61821	   	278.51	DCR|DCR|2DMG|2ASPD|1MLV	15ASPD|2MBVNT|3RPLT|46DMG|79RCR|8CGEN|aMLV
20	12741 61721	   	278.41	DCR|DCR|2DMG|2ASPD|1MLV	15ASPD|2MBVNT|3RPLT|46DMG|79RCR|8ERES|aMLV
21	22234 51621	 * 	277.98	DCR|DCR|3VULN|1ASPD|1SELL	1FEWX|2VENICY|3SELL|45aVULN|69RCR|7LHND|8ASPD
22	21234 51621	 * 	277.88	DCR|DCR|3VULN|1ASPD|1SELL	1FEWX|2MULARM|3SELL|45aVULN|69RCR|7LHND|8ASPD
23	12573 14315	   	277.25	DCR|2MLV|2TLV|1VULN|2ASPD|1DMG	18ASPD|2MBVNT|3BELT|48TLV|5VULN|6FEWX|78MLV|8BPWR|9RCR|aDMG
24	12573 24315	   	277.25	DCR|2MLV|2TLV|1VULN|2ASPD|1DMG	18ASPD|2MBVNT|3BELT|48TLV|5VULN|6LWND|78MLV|8BPWR|9RCR|aDMG
25	12573 34315	   	277.15	DCR|2MLV|2TLV|1VULN|2ASPD|1DMG	18ASPD|2MBVNT|3BELT|48TLV|5VULN|6BEXP|78MLV|8BPWR|9RCR|aDMG
26	22234 51622	   	275.90	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1FEWX|2VENICY|3SELL|45VULN|69RCR|7LHND|8ASPD|aDMG
27	13615 54112	   	275.85	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2BEXP|3MBVNT|4LHND|5DMG|67VULN|8BASARM|9aRCR
28	13682 54112	   	275.85	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2BEXP|3MBVNT|4DMG|5LHND|67VULN|8BASARM|9aRCR
29	13683 54112	   	275.85	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2BEXP|3MBVNT|4DMG|5LWND|67VULN|8BASARM|9aRCR
30	21234 51622	   	275.80	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1FEWX|2MULARM|3SELL|45VULN|69RCR|7LHND|8ASPD|aDMG
31	12722 27813	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ASPD|2MBVNT|3RPLT|4VULN|5TLV|6CDMG|7FEWX|8aRCR|9BEXP
