0	Index      	 *	Score 	Summary	Detail	
1	41132 63631	 * 	296.69	DCR|4VULN|2MLV|2TLV	13TLV|278aVULN|45MLV|6MDPS|9RCR
2	41132 63632	 * 	296.61	DCR|3VULN|2MLV|2TLV|1DMG	13TLV|278VULN|45MLV|6MDPS|9RCR|aDMG
3	41432 11315	 * 	292.06	DCR|3MLV|2VULN|2TLV|1ASPD	17TLV|23VULN|457MLV|67CGEN|7BPWR|8LWND|9ASPD|aRCR
4	41432 11115	   	291.96	DCR|3MLV|2VULN|2TLV|1ASPD	17TLV|23VULN|457MLV|67CGEN|7BPWR|8BEXP|9ASPD|aRCR
5	41411 41232	 * 	290.11	DCR|3VULN|2TLV|2DMG|1MLV	19TLV|239VULN|4CANARM|5BEXP|6DMSP|7RCR|89DMG|9BPWR|aMLV
6	41432 13511	 * 	286.74	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	1TLV|23VULN|45MLV|6CGEN|79ASPD|8AAC|aRCR
7	41132 23631	 * 	285.56	DCR|3VULN|3TLV|2MLV	137TLV|28aVULN|45MLV|6AEFBLL|9RCR
8	41132 35631	   	284.85	DCR|3VULN|2MLV|2TLV	13TLV|28aVULN|45MLV|6AETHUN|7DUR|9RCR
9	41432 31631	   	282.52	DCR|4VULN|2MLV|1TLV	1TLV|238aVULN|45MLV|6AETHUN|7LHND|9RCR
10	41432 53131	   	282.52	DCR|4VULN|2MLV|1TLV	1TLV|237aVULN|45MLV|6DUST|8LHND|9RCR
11	41432 31632	   	282.43	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|238VULN|45MLV|6AETHUN|7LHND|9RCR|aDMG
12	41432 53132	   	282.43	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|237VULN|45MLV|6DUST|8LHND|9RCR|aDMG
13	41432 22431	   	282.42	DCR|4VULN|2MLV|1TLV	1TLV|237aVULN|45MLV|6AEFBLL|8MDPS|9RCR
14	41432 33131	   	282.42	DCR|4VULN|2MLV|1TLV	1TLV|237aVULN|45MLV|6AETHUN|8LEGI|9RCR
15	41432 33431	   	282.42	DCR|4VULN|2MLV|1TLV	1TLV|237aVULN|45MLV|6AETHUN|8BEXP|9RCR
16	41432 22432	   	282.33	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|237VULN|45MLV|6AEFBLL|8MDPS|9RCR|aDMG
17	41432 33132	   	282.33	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|237VULN|45MLV|6AETHUN|8LEGI|9RCR|aDMG
18	41432 33432	   	282.33	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|237VULN|45MLV|6AETHUN|8BEXP|9RCR|aDMG
19	41422 16211	   	282.33	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|23aVULN|4ERES|57MLV|6RCR|8MBVNT|9DMG
