0	Index      	 *	Score 	Summary	Detail	
1	42647 11141	 * 	297.32	DCR|DCR|2VULN|2TLV|1SELL	1AETHUN|27TLV|3MBVNT|4SELL|5RAT|6aRCR|89VULN
2	11431 31663	 * 	296.99	DCR|DCR|2DMG|1VULN|1MLV|1AAC|1SELL	1SELL|2RMIN|3AAC|4LHND|56DMG|7VULN|89RCR|aMLV
3	35513 81234	 * 	291.76	DCR|DCR|3VULN|1AAC	1AAC|23aVULN|4MBVNT|5LHND|6RAT|7AME|89RCR
4	11431 31662	 * 	285.88	DCR|DCR|2DMG|1VULN|2AAC|1SELL	1SELL|2RMIN|3aAAC|4LHND|56DMG|7VULN|89RCR
5	33226 13663	 * 	282.53	DCR|DCR|2MLV|1DMG|1AAC|1CDMG	1AAC|2CDMG|3CGEN|4aMLV|5DMG|6RMIN|7LWND|89RCR
6	23414 21121	 * 	274.58	DCR|3VULN|2DMG|2ASPD|1MLV	19AEWIND|26DMG|3NUKE|459VULN|7RCR|89ASPD|9BPWR|aMLV
7	33226 13662	 * 	273.45	DCR|DCR|2AAC|1MLV|1DMG|1CDMG	1aAAC|2CDMG|3CGEN|4MLV|5DMG|6RMIN|7LWND|89RCR
8	35513 38331	 * 	271.70	DCR|4VULN|2TLV|1AAC	1AAC|2389VULN|4MBVNT|58LHND|68TLV|7RCR|8BPWR|aDUR
9	35551 32331	   	271.60	DCR|4VULN|2TLV|1AAC	1AAC|2389VULN|4LHND|58DUST|68TLV|7RCR|8BPWR|aDUR
10	35561 32331	   	271.60	DCR|4VULN|2TLV|1AAC	1AAC|2389VULN|4LWND|58DUST|68TLV|7RCR|8BPWR|aDUR
11	34431 23333	 * 	271.07	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1AAC|2DMSP|3RAT|4CDMG|5BBNT|6DMG|7aRCR|8TLV|9ERES
12	26631 23333	   	270.97	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1AEWIND|2RAT|3AAC|4CDMG|5BBNT|6DMG|7aRCR|8TLV|9ERES
13	56631 23333	   	270.97	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1AEPOI|2RAT|3AAC|4CDMG|5BBNT|6DMG|7aRCR|8TLV|9ERES
14	11431 31661	 * 	270.78	DCR|DCR|2DMG|1VULN|1AAC|1SELL	1SELL|2RMIN|3AAC|4LHND|56DMG|7VULN|89RCR|aBBNT
15	35513 81232	   	268.29	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7aAME|89RCR
16	35513 82232	   	268.29	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7CGEN|89RCR|aAME
17	35513 82233	   	268.29	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7CGEN|89RCR|aLIT
18	35513 82234	   	268.29	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7CGEN|89RCR|aRPLT
19	35613 81234	   	268.29	DCR|DCR|2VULN|1AAC	1AAC|2aVULN|3DMSP|4MBVNT|5LHND|6RAT|7AME|89RCR
20	35513 81231	   	268.19	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7AME|89RCR|aAEFRZ
21	35513 81233	   	268.19	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7AME|89RCR|aBEXP
22	35513 82231	   	268.19	DCR|DCR|2VULN|1AAC	1AAC|23VULN|4MBVNT|5LHND|6RAT|7CGEN|89RCR|aAEWIND
