0	Index      	 *	Score 	Summary	Detail	
1	44242 22222	 * 	298.98	橙橙2易伤3攻速1矿等	1a易伤246攻速3金币生成5矿等7低血量敌人89核
2	42341 52322	 * 	281.39	橙橙2易伤1伤害1矿等	1a易伤2伤害3最后敌人45金币生成68核7双倍秒伤9矿等
3	42553 12222	 * 	280.66	橙橙3伤害1易伤	1易伤234伤害5等级6最后敌人7金币生成89核a平台
4	42553 32222	   	280.56	橙橙3伤害1易伤	1易伤234伤害5等级6掉矿7低血量敌人89核a平台
5	42232 52341	   	273.42	橙橙2易伤1伤害	1a易伤2伤害3金币生成4等级5掉矿68核7双倍秒伤9全技能
6	44242 22221	   	272.78	橙橙3攻速1易伤1矿等	1易伤246攻速3金币生成5矿等7低血量敌人89核a等级
7	44242 22223	   	272.78	橙橙3攻速1易伤1矿等	1易伤246攻速3金币生成5矿等7低血量敌人89核a随机矿
8	42553 12221	   	271.00	橙橙3伤害1易伤	1易伤234伤害5a等级6最后敌人7金币生成89核
9	42553 12223	   	271.00	橙橙3伤害1易伤	1易伤234伤害5等级6最后敌人7金币生成89核a基地爆炸
10	42553 32221	   	270.90	橙橙3伤害1易伤	1易伤234伤害5a等级6掉矿7低血量敌人89核
11	42553 32223	   	270.90	橙橙3伤害1易伤	1易伤234伤害5等级6掉矿7低血量敌人89核a基地爆炸
12	63322 13224	 * 	269.84	橙橙3攻速2矿等1暴击	157攻速2等级36矿等4双倍秒伤89核a暴击
13	42612 37234	   	269.03	橙橙1易伤1伤害1暴击1策反	1易伤2伤害3加一4策反5全技能6暴击7赏金邻近8时间9a核
