0	Index      	 *	Score 	Summary	Detail	
1	42313 42122	 * 	266.45	紫2基础对甲3基地爆炸2攻速1易伤1伤害	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a伤害
2	42313 42162	   	266.45	紫2基础对甲3基地爆炸2攻速1易伤1伤害	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9金币生成a伤害
3	42313 42226	 * 	266.23	紫2基础对甲2易伤2攻速2基地爆炸1基础对冰	1技能27基础对甲3核4a易伤57基地爆炸67攻速7序列升级8加一9基础对冰
4	42313 42512	 * 	265.72	紫2基础对甲3攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8最后敌人9暴击
5	42313 42212	   	265.62	紫2基础对甲3攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8加一9暴击
6	42313 42214	   	264.90	紫2基础对甲2攻速1易伤2基地爆炸1全技能1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9暴击a全技能
7	42313 42222	   	261.62	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1a技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9基础对冰
8	42313 42125	   	260.04	紫2基础对甲3基地爆炸2攻速1易伤1暴击	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a暴击
9	42313 42361	   	258.62	紫2基础对甲3攻速1易伤2基地爆炸	1a技能27基础对甲3核4易伤57基地爆炸679攻速7序列升级8策反
10	42313 42112	 * 	257.54	紫2基础对甲2易伤3基地爆炸2攻速	1技能27基础对甲3核4a易伤578基地爆炸67攻速7序列升级9最后敌人
11	42313 42132	   	257.54	紫2基础对甲2易伤3基地爆炸2攻速	1技能27基础对甲3核4a易伤578基地爆炸67攻速7序列升级9低血量敌人
12	42313 42142	   	257.44	紫2基础对甲2易伤3基地爆炸2攻速	1技能27基础对甲3核4a易伤578基地爆炸67攻速7序列升级9挖尘
13	42313 44113	 * 	257.35	紫3攻速1基础对甲1易伤2基地爆炸1伤害	1技能2基础对甲3核4易伤58基地爆炸67a攻速9伤害
14	42313 42532	   	255.19	紫2基础对甲2攻速1易伤2基地爆炸1伤害	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8最后敌人9时间a伤害
15	42313 42232	   	255.09	紫2基础对甲2攻速1易伤2基地爆炸1伤害	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9时间a伤害
16	42313 42272	   	255.09	紫2基础对甲2攻速1易伤2基地爆炸1伤害	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9低血量敌人a伤害
17	42313 42323	   	255.09	紫2基础对甲2攻速1易伤2基地爆炸1伤害	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8策反9双倍秒伤a伤害
18	42313 42343	   	255.09	紫2基础对甲2攻速1易伤2基地爆炸1伤害	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8策反9狙击对直升a伤害
19	42313 42353	   	255.09	紫2基础对甲2攻速1易伤2基地爆炸1伤害	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8策反9毒液对黄a伤害
20	42311 22311	 * 	254.27	紫3基础对甲3基地爆炸1易伤1伤害1暴击	1技能278基础对甲3核4易伤578掉矿678基地爆炸78序列升级9暴击a伤害
21	42311 22316	 * 	254.27	紫3基础对甲3基地爆炸1易伤1攻速1暴击	1技能278基础对甲3核4易伤578掉矿678基地爆炸78序列升级9暴击a攻速
22	42313 42227	   	254.11	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9基础对冰a立即金币
23	42313 42522	   	253.88	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8最后敌人9基础对冰a策反
24	42313 42523	   	253.88	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8最后敌人9基础对冰a敌人爆炸
25	42313 42224	   	253.78	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9基础对冰a雷电
26	42313 42521	   	253.78	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8最后敌人9基础对冰a挖尘
27	42313 42221	   	253.68	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9基础对冰a挖尘
28	42313 42223	   	253.68	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9基础对冰a掉矿
29	42313 42225	   	253.68	紫2基础对甲2攻速1易伤2基地爆炸1基础对冰	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9基础对冰a等级
30	42313 44131	   	252.22	紫3攻速1基础对甲1易伤2基地爆炸1全技能	1技能2基础对甲3核4易伤58基地爆炸67a攻速9全技能
31	42312 42125	   	251.50	紫2基础对甲2易伤2攻速1基础对冰1基地爆炸	1技能27基础对甲3核4a易伤57低血量敌人67攻速7序列升级8基地爆炸9基础对冰
