0	Index      	 *	Score 	Summary	Detail	
1	11642 11136	 * 	229.81	紫2易伤1基础对甲1攻速1伤害1全技能1暴击	1暴击2伤害37易伤4金币生成5核6全技能8攻速9掉矿a基础对甲
2	11342 11632	 * 	216.12	紫4易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能789a易伤8序列升级
3	11356 11632	   	216.02	紫4易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4掉矿5核6全技能789a易伤8序列升级
4	51632 61213	 * 	213.08	紫1基础对甲1易伤1基础对冰1攻速1伤害	124低血量敌人3核5易伤6伤害7火球减费8基础对甲9基础对冰a攻速
5	51632 62213	   	213.08	紫1基础对甲1易伤1基础对冰1攻速1伤害	124低血量敌人3核5易伤6伤害7磁铁减费8基础对甲9基础对冰a攻速
6	52632 62213	   	212.98	紫1基础对甲1易伤1攻速1伤害1基础对冰	14低血量敌人2火球减费3核5易伤6伤害7磁铁减费8基础对甲9基础对冰a攻速
7	11642 12336	 * 	211.63	紫1基础对甲2伤害1易伤1全技能1暴击	1暴击28伤害3易伤4金币生成5核6全技能7技能9掉矿a基础对甲
8	11342 11661	 * 	210.08	紫2易伤2伤害1攻速2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9攻速a时间
9	11342 11662	   	209.98	紫2易伤2伤害1攻速2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9攻速a技能点
10	11342 11663	   	209.98	紫2易伤2伤害1攻速2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9攻速a挖尘
11	11642 12236	   	207.44	紫2易伤1基础对甲1伤害1全技能1暴击	1暴击2伤害39易伤4金币生成5核6全技能7技能8矿等a基础对甲
12	11642 21136	   	207.44	紫2易伤1基础对甲1伤害1暴击1全技能	1暴击2伤害37易伤4金币生成5核6随机矿8全技能9掉矿a基础对甲
13	51632 61221	   	206.67	紫1基础对甲1易伤1攻速1伤害1基地爆炸	124低血量敌人3核5易伤6伤害7火球减费8基础对甲9基地爆炸a攻速
14	51632 62221	   	206.67	紫1基础对甲1易伤1攻速1伤害1基地爆炸	124低血量敌人3核5易伤6伤害7磁铁减费8基础对甲9基地爆炸a攻速
15	52632 62221	   	206.57	紫1基础对甲1易伤1伤害1攻速1基地爆炸	14低血量敌人2火球减费3核5易伤6伤害7磁铁减费8基础对甲9基地爆炸a攻速
16	11342 21661	 * 	205.99	紫3易伤2伤害1攻速2暴击	18暴击28伤害3敌人爆炸4金币生成5核6随机矿789易伤8序列升级a攻速
17	51632 61211	   	205.35	紫1基础对甲1易伤1基础对冰1伤害1基地爆炸	124低血量敌人3核5易伤6伤害7火球减费8基础对甲9基础对冰a基地爆炸
18	51632 62211	   	205.35	紫1基础对甲1易伤1基础对冰1伤害1基地爆炸	124低血量敌人3核5易伤6伤害7磁铁减费8基础对甲9基础对冰a基地爆炸
19	52632 62211	   	205.25	紫1基础对甲1易伤1基础对冰1伤害1基地爆炸	14低血量敌人2火球减费3核5易伤6伤害7磁铁减费8基础对甲9基础对冰a基地爆炸
20	62146 21123	   	203.58	紫2易伤1基础对甲1基地爆炸1暴击1全技能	1技能点2技能37易伤4核5暴击6随机矿8全技能9基础对甲a基地爆炸
21	11342 11635	   	202.65	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能789易伤8序列升级a最后敌人
22	11342 11636	   	202.65	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能789易伤8序列升级a矿等
23	11342 11631	   	202.55	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能789易伤8序列升级a火球减费
24	11342 11633	   	202.55	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能789易伤8序列升级a掉矿
25	11342 11634	   	202.55	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能789易伤8序列升级a等级
26	11356 11631	   	202.45	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4掉矿5核6全技能789易伤8序列升级a火球减费
27	11356 11633	   	202.45	紫3易伤2伤害2暴击1全技能	18暴击28伤害3敌人爆炸4a掉矿5核6全技能789易伤8序列升级
28	12436 13623	 * 	201.50	紫1基础对甲2全技能1伤害1基地爆炸1暴击	1暴击2技能点3伤害4敌人爆炸5核67全技能8基地爆炸9雷电a基础对甲
29	11342 11611	   	201.43	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9基地爆炸a低血量敌人
30	11342 11613	   	201.43	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9基地爆炸a策反
31	11342 11614	   	201.43	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9基地爆炸a最后敌人
32	11342 11612	   	201.33	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9基地爆炸a技能点
33	11342 11615	   	201.33	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9基地爆炸a挖尘
34	11342 11616	   	201.33	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9基地爆炸a磁铁减费
35	11342 11623	   	201.33	紫2易伤2伤害2暴击1基地爆炸1全技能	18暴击28伤害3敌人爆炸4金币生成5核6全技能78易伤8序列升级9狙击对直升a基地爆炸
36	11356 11611	   	201.33	紫2易伤2伤害2暴击1全技能1基地爆炸	18暴击28伤害3敌人爆炸4掉矿5核6全技能78易伤8序列升级9基地爆炸a低血量敌人
37	11356 11613	   	201.33	紫2易伤2伤害2暴击1全技能1基地爆炸	18暴击28伤害3敌人爆炸4掉矿5核6全技能78易伤8序列升级9基地爆炸a策反
38	11356 11612	   	201.23	紫2易伤2伤害2暴击1全技能1基地爆炸	18暴击28伤害3敌人爆炸4掉矿5核6全技能78易伤8序列升级9基地爆炸a技能点
39	66413 31222	 * 	200.70	紫2基础对甲1易伤1攻速1全技能1技能	1技能点26基础对甲3防空对直升4低血量敌人5核7易伤8全技能9攻速a技能
40	11543 42444	 * 	200.61	紫1基础对甲2伤害2暴击1基地爆炸	18暴击28伤害3雷电4技能点5核6加一78最后敌人8序列升级9基地爆炸a基础对甲
