0	Index      	 *	Score 	Summary	Detail	
1	33613 13256	 * 	222.57	紫3攻速1基础对甲1易伤1全技能	17敌人爆炸2立即金币3易伤4核5全技能689攻速a基础对甲
2	33611 15313	 * 	209.52	紫2易伤2攻速2伤害1基地爆炸	1敌人爆炸2立即金币3a易伤4核5掉矿6最后敌人7a伤害8基地爆炸9a攻速a序列升级
3	33611 25313	   	209.52	紫2易伤2攻速2伤害1基地爆炸	1敌人爆炸2立即金币3a易伤4核5掉矿6低血量敌人7a伤害8基地爆炸9a攻速a序列升级
4	33613 11516	   	208.71	紫1基础对甲1易伤1攻速1基地爆炸1全技能1技能	1敌人爆炸2立即金币3易伤4核5全技能6攻速7随机矿8基地爆炸9技能a基础对甲
5	33613 31516	 * 	208.71	紫1基础对甲1易伤1伤害1基地爆炸1全技能1技能	1敌人爆炸2立即金币3易伤4核5全技能6伤害7随机矿8基地爆炸9技能a基础对甲
6	33342 11513	 * 	204.78	紫2攻速2伤害1易伤2基地爆炸	1敌人爆炸2立即金币3a伤害4易伤5核6最后敌人7a基地爆炸8掉矿9a攻速a序列升级
7	43615 31233	 * 	204.43	紫2易伤2攻速2基础对冰1伤害	1挖尘2立即金币3a易伤4核5矿等6伤害7a攻速8金币生成9a基础对冰a序列升级
8	43611 31233	   	204.33	紫2易伤2攻速2基础对冰1伤害	1挖尘2立即金币3a易伤4核5掉矿6伤害7a攻速8金币生成9a基础对冰a序列升级
9	43611 31533	   	204.23	紫2易伤2攻速2基础对冰1伤害	1挖尘2立即金币3a易伤4核5掉矿6伤害7a攻速8等级9a基础对冰a序列升级
10	33613 33461	 * 	204.00	紫3易伤3伤害1全技能	179敌人爆炸2立即金币389易伤4核5全技能69a伤害9序列升级
11	33613 11426	   	201.69	紫1基础对甲1易伤1攻速1全技能1暴击	1敌人爆炸2立即金币3易伤4核5全技能6攻速7随机矿8暴击9平台a基础对甲
12	33613 31426	   	201.69	紫1基础对甲1易伤1伤害1全技能1暴击	1敌人爆炸2立即金币3易伤4核5全技能6伤害7随机矿8暴击9平台a基础对甲
13	42213 52251	   	200.83	紫1基础对甲2攻速1易伤1暴击	138挖尘28最后敌人4核5易伤6暴击78攻速8序列升级9基础对甲a立即金币
14	42213 52252	   	200.50	紫1基础对甲2攻速1易伤1暴击	138挖尘28最后敌人4核5易伤6暴击78攻速8序列升级9基础对甲a时间
15	42213 52253	   	200.50	紫1基础对甲2攻速1易伤1暴击	138挖尘28最后敌人4核5易伤6暴击78攻速8序列升级9基础对甲a金币生成
16	33613 22222	 * 	200.18	紫2易伤1基础对甲1攻速1全技能	1敌人爆炸2立即金币39易伤4核5全技能6随机矿7掉矿8基础对甲a攻速
17	43613 22222	   	200.08	紫2易伤1基础对甲1攻速1全技能	1挖尘2立即金币39易伤4核5全技能6随机矿7掉矿8基础对甲a攻速
18	34613 43222	   	197.95	紫1基础对甲2易伤1攻速1全技能	1敌人爆炸2技能3等级4核5全技能69易伤7立即金币8基础对甲a攻速
19	33611 15613	   	195.87	紫2易伤2攻速2伤害	1敌人爆炸2立即金币3a易伤4核5掉矿6最后敌人7a伤害8时间9a攻速a序列升级
20	33611 25613	   	195.87	紫2易伤2攻速2伤害	1敌人爆炸2立即金币3a易伤4核5掉矿6低血量敌人7a伤害8时间9a攻速a序列升级
21	33612 42513	   	195.87	紫2易伤2攻速2伤害	1敌人爆炸2立即金币3a易伤4核5最后敌人6时间7a伤害8掉矿9a攻速a序列升级
22	33611 15213	   	195.77	紫2易伤2攻速2伤害	1敌人爆炸2立即金币3a易伤4核5掉矿6最后敌人7a伤害8挖尘9a攻速a序列升级
23	33611 25213	   	195.77	紫2易伤2攻速2伤害	1敌人爆炸2立即金币3a易伤4核5掉矿6低血量敌人7a伤害8挖尘9a攻速a序列升级
24	33613 11616	   	195.06	紫1基础对甲1易伤1攻速1全技能1技能	1敌人爆炸2立即金币3易伤4核5全技能6攻速7随机矿8时间9技能a基础对甲
25	33613 31616	   	195.06	紫1基础对甲1易伤1伤害1全技能1技能	1敌人爆炸2立即金币3易伤4核5全技能6伤害7随机矿8时间9技能a基础对甲
26	33613 15422	   	194.15	紫2易伤2攻速1伤害1全技能	1敌人爆炸2立即金币38易伤4核5全技能67攻速9伤害a额外掉落
27	33613 15423	   	194.15	紫2易伤2攻速1伤害1全技能	1敌人爆炸2立即金币38易伤4核5全技能67攻速9伤害a低血量敌人
28	33613 15421	   	194.05	紫2易伤2攻速1伤害1全技能	1敌人爆炸2立即金币38易伤4核5全技能67攻速9伤害a挖尘
29	33613 13224	   	193.46	紫2攻速1易伤1伤害1暴击1全技能	17敌人爆炸2立即金币3易伤4核5全技能68攻速9伤害a暴击
