0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16123 12241	1	 * 	279.27	DCR|4VULN|3DUR|3LIT|2CDMG	1RPLT|27aLIT|357DUR|467aVULN|7aBPWR|8RCR|9aCDMG
2	51113 31412	1	 * 	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1BEXP|24aVULN|3AART|59DUR|6DMG|7RCR|8TLV
3	12332 12561	10	 * 	260.69	DCR|3VULN|3DUR|2TLV	1RPLT|249DUST|39aVULN|5LIT|6RCR|7aTLV|89aDUR|9aBPWR
4	32112 11566	9	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1ERES|2TLV|34DUR|5DMG|68aVULN|7ASPD|9RCR
5	16123 12225	1	   	259.11	DCR|4VULN|3DUR|3LIT	1RPLT|27aLIT|357DUR|4679VULN|7BPWR|8RCR
6	32126 12362	7	   	256.48	DCR|3VULN|2TLV|2DUR|2AART	19ERES|24TLV|39DUR|569VULN|78AART|9BPWR|aRCR
7	16123 12246	1	   	256.36	DCR|3VULN|3DUR|2LIT|1CDMG|1AART	1RPLT|27LIT|357DUR|467VULN|7BPWR|8RCR|9CDMG|aAART
8	41113 32635	1	   	254.28	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1FEWX|247VULN|3AART|56DUR|8RCR|9CDMG|aTLV
9	41522 22243	1	 * 	254.14	DCR|3VULN|2DMG|1TLV|1DUR	19FEWX|239VULN|4MLV|5TLV|6RCR|79DMG|8BBNT|9BPWR|aDUR
10	51522 22243	1	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	19BEXP|239VULN|4MLV|5TLV|6RCR|79DMG|8BBNT|9BPWR|aDUR
11	16123 12132	1	   	254.10	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|467aVULN|7BPWR|8CGEN|9RCR
12	16123 12221	1	   	254.10	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|4679VULN|7BPWR|8RCR|aLHND
13	16123 12222	1	   	254.10	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|4679VULN|7BPWR|8RCR|aBEXP
14	16123 12223	1	   	254.10	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|4679VULN|7BPWR|8RCR|aFEWX
15	16123 12253	1	   	254.10	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|467aVULN|7BPWR|8RCR|9LHND
16	16123 12211	1	   	254.00	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|467aVULN|7BPWR|8RCR|9BBNT
17	16123 12226	1	   	254.00	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|4679VULN|7BPWR|8RCR|aERES
18	16123 12231	1	   	254.00	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|467aVULN|7BPWR|8RCR|9TBNT
