0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41532 24231	1	 * 	287.49	DCR|5VULN|3DUR|2ASPD|1CDMG	13467VULN|247DUR|47BPWR|57ASPD|8ZMB|9RCR|aCDMG
2	33632 44711	7	 * 	285.36	DCR|5VULN|2DMG|3TLV	138TLV|23789VULN|38BPWR|4RMIN|58DMG|6MBVNT|aRCR
3	33213 56841	6	 * 	285.11	DCR|3VULN|2DMG|2TLV|2DUR	17TLV|26aVULN|37DUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT
4	33213 56841	5	   	285.11	DCR|3VULN|2DMG|2TLV|2DUR	17TLV|26aVULN|37DUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT
5	33632 24321	6	 * 	282.28	DCR|3VULN|2DMG|3TLV|2CDMG|1DUR	137TLV|238VULN|38BPWR|4RMIN|58DMG|68CDMG|9DUR|aRCR
6	33632 34321	5	   	282.28	DCR|3VULN|2DMG|3TLV|2CDMG|1DUR	137TLV|238VULN|38BPWR|4RMIN|58DMG|68CDMG|9DUR|aRCR
7	13335 22426	2	 * 	281.81	DCR|5VULN|2DMG|2DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9aDUR
8	43533 13135	4	 * 	280.34	DCR|3VULN|2DMG|1TLV|3CDMG|1DUR	158VULN|2BELT|358CDMG|4RMIN|58BPWR|68DMG|7RCR|9DUR|aTLV
9	41253 52331	8	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2ASPD|3aDUR|4TLV|5RPLT|7RCR|8CGEN|9aDMG|aBPWR
10	33243 26531	2	   	277.08	DCR|5VULN|2DMG|1TLV	1TLV|26789VULN|3ERES|45DMG|aRCR
11	33343 26531	3	   	277.08	DCR|5VULN|2DMG|1TLV	1TLV|26789VULN|3ERES|45DMG|aRCR
12	41253 52231	8	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2ASPD|3aDUR|4TLV|5RPLT|7RCR|8ERES|9aDMG|aBPWR
13	41253 52331	7	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2ASPD|3aDUR|4TLV|5RPLT|7RCR|8ERES|9aDMG|aBPWR
14	43232 12636	6	   	275.70	DCR|5VULN|2DMG|2LIT|1AART	1347aVULN|2BELT|5AART|6aLIT|8aDMG|9RCR|aBPWR
15	43232 32636	5	   	275.70	DCR|5VULN|2DMG|2LIT|1AART	1347aVULN|2BELT|5AART|6aLIT|8aDMG|9RCR|aBPWR
16	13335 22424	2	   	275.54	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aASPD
17	43533 13132	4	 * 	275.19	DCR|4VULN|2DMG|3CDMG|1DUR	158aVULN|2BELT|358CDMG|4RMIN|58BPWR|68DMG|7RCR|9DUR
18	13335 22364	2	 * 	274.39	DCR|4VULN|3DMG|1TLV	1ERES|2456VULN|349DMG|4BPWR|7RCR|8DUST|aTLV
19	33221 23264	3	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1TLV|26aVULN|39DUR|4CDMG|5AART|7DMG|8RCR
20	33421 23264	2	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1TLV|26aVULN|39DUR|4CDMG|5AART|7DMG|8RCR
21	41532 24233	1	   	273.84	DCR|5VULN|3DUR|2ASPD	13467VULN|247DUR|47BPWR|57ASPD|8ZMB|9RCR|aBEXP
22	33213 56842	5	 * 	273.64	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|26VULN|37aDUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT
23	33213 56842	6	   	273.64	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|26VULN|37aDUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT
24	33235 21145	5	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|2569VULN|38DUR|4DMG|7CGEN|aRCR
25	33235 21145	4	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|2569VULN|38DUR|4DMG|7CGEN|aRCR
26	33253 21145	3	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|2469VULN|38DUR|5DMG|7CGEN|aRCR
