0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16221 32512	10	 * 	295.44	DCR|5VULN|3DMG|2LIT	1DLOT|2457aVULN|357DMG|57BPWR|67LIT|8FEWX|9RCR
2	61431 21511	1	 * 	291.73	DCR|4VULN|3DUR|2TLV|1DMG	1MBVNT|2368VULN|456DUR|68BPWR|78TLV|9DMG|aRCR
3	16221 32143	5	 * 	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9aDUR
4	16221 32553	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9CDMG|aRCR
5	16221 32166	5	   	289.38	DCR|5VULN|2DMG|1CDMG|1ASPD	1DLOT|2458aVULN|35DMG|5BPWR|6RCR|7CDMG|9ASPD
6	61431 25418	1	 * 	287.39	DCR|5VULN|3DUR|1TLV	1MBVNT|2368aVULN|456DUR|6BPWR|7RCR|9TLV
7	61468 33123	1	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	1MBVNT|237aVULN|4ASPD|5aDMG|6RCR|8LEGI|9aDUR|aBPWR
8	23236 43122	3	 * 	286.04	DCR|5VULN|2DMG|2ASPD	1aERES|25ASPD|3RCVC|4579aVULN|5aBPWR|6RCR|8aDMG
9	52136 43122	3	   	286.04	DCR|5VULN|2DMG|2ASPD	1RCVC|2aDMG|35ERES|4579aVULN|5aBPWR|6RCR|8aASPD
10	21636 43122	2	   	285.94	DCR|5VULN|2DMG|2ASPD	12aERES|25aBPWR|35ASPD|4579aVULN|6RCR|8aDMG
11	16221 32162	5	   	285.50	DCR|4VULN|3DMG|1CDMG|1ASPD	1DLOT|2458VULN|35aDMG|5BPWR|6RCR|7CDMG|9ASPD
12	21151 31512	4	 * 	285.29	DCR|3VULN|3DMG|3ASPD|1TLV	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aTLV
13	21161 31512	3	   	285.29	DCR|3VULN|3DMG|3ASPD|1TLV	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aTLV
14	61431 25437	1	   	284.79	DCR|5VULN|3DUR|1CDMG	1MBVNT|23689VULN|456DUR|6BPWR|7RCR|aCDMG
