0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52622 13431	5	 * 	276.40	DCR|4VULN|2DMG|1DUR|2LIT	15LIT|2LHND|39DMG|457aVULN|5BPWR|6RCR|8DUR
2	31431 32651	10	 * 	266.81	DCR|3VULN|3DUR|2DMG	19CGEN|2FEWX|39DMG|459VULN|678DUR|9BPWR|aRCR
3	21633 14124	8	 * 	265.46	DCR|3VULN|3DMG|1DUR|1ASPD	18aDUST|2ASPD|3RMIN|48aVULN|5ERES|6DUR|78aDMG|8aBPWR|9RCR
4	14225 12252	6	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|257VULN|356DUR|4RMIN|5BPWR|8CDMG|9RCR|aDMG
5	14225 13252	6	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|258VULN|356DUR|4RMIN|5BPWR|7CDMG|9RCR|aDMG
6	14225 32252	5	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|257VULN|356DUR|4RMIN|5BPWR|8CDMG|9RCR|aDMG
7	14225 33252	5	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|258VULN|356DUR|4RMIN|5BPWR|7CDMG|9RCR|aDMG
8	14221 33153	3	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|25aVULN|368DUR|4DMG|7CDMG|9RCR
9	24225 12252	6	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1DUST|257VULN|356DUR|4RMIN|5BPWR|8CDMG|9RCR|aDMG
10	24225 13252	6	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1DUST|258VULN|356DUR|4RMIN|5BPWR|7CDMG|9RCR|aDMG
11	22126 43533	1	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|2TLV|3DUR|4CDMG|5DMG|6ASPD|79aVULN|8RCR
12	21432 43533	7	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|2ASPD|3DMG|49aVULN|5CDMG|6DUR|7TLV|8RCR
13	53411 16333	5	 * 	261.12	DCR|4VULN|3LIT|2TLV|1CDMG	147LIT|2CDMG|3679VULN|57TLV|7BPWR|8BBNT|aRCR
14	53411 16113	5	   	260.97	DCR|4VULN|3LIT|2TLV|1CDMG|1SELL	147LIT|2CDMG|3678VULN|57TLV|7BPWR|9SELL|aRCR
15	33631 42225	10	   	260.43	DCR|3VULN|3DUR|1DMG|1ASPD	1489CGEN|2RCVC|389VULN|5ASPD|6DMG|789DUR|89BPWR|aRCR
16	52622 13231	5	   	260.15	DCR|4VULN|2DMG|2LIT	15LIT|2LHND|39DMG|457aVULN|5BPWR|6RCR|8LWND
17	51222 13331	5	 * 	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	15LIT|2FEWX|38ASPD|457aVULN|5BPWR|6RCR|9DUR
