0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14361 32363	5	 * 	309.05	DCR|4VULN|3DMG|2DUR|2CDMG	1AART|268aVULN|35CDMG|45aDMG|5aBPWR|7aDUR|9RCR
2	14362 32363	5	 * 	305.32	DCR|5VULN|2DMG|2DUR|1CDMG	1AART|2568aVULN|3CDMG|4aDMG|7aDUR|9RCR|aBPWR
3	14333 12363	7	   	305.32	DCR|5VULN|2DMG|2DUR|1CDMG	1AART|2678aVULN|3CDMG|4aDUR|5aDMG|9RCR|aBPWR
4	14333 12463	8	   	305.32	DCR|5VULN|2DMG|2DUR|1CDMG	1AART|2678aVULN|3CDMG|4aDUR|5aDMG|9RCR|aBPWR
5	14333 12663	8	   	302.64	DCR|4VULN|3DMG|2DUR|1CDMG	1AART|267aVULN|3CDMG|4aDUR|58aDMG|9RCR|aBPWR
6	33133 22433	9	 * 	301.12	DCR|5VULN|3DMG|2TLV	1LEGI|258DMG|3589aVULN|4RCVC|58BPWR|6RCR|78TLV
7	14333 32363	7	 * 	300.21	DCR|4VULN|3DUR|2DMG|1CDMG	1AART|278aVULN|3CDMG|46aDUR|5aDMG|9RCR|aBPWR
8	14333 32463	8	   	300.21	DCR|4VULN|3DUR|2DMG|1CDMG	1AART|278aVULN|3CDMG|46aDUR|5aDMG|9RCR|aBPWR
9	33133 22435	10	   	299.02	DCR|4VULN|3DMG|2TLV|1DUR	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aDUR
10	14361 32163	5	   	295.77	DCR|3VULN|3DMG|2DUR|2CDMG|2AART	18AART|26aVULN|35CDMG|45aDMG|5aBPWR|7aDUR|9RCR
11	14333 32663	8	 * 	294.81	DCR|3VULN|3DMG|3DUR|1CDMG	1AART|27aVULN|3CDMG|46aDUR|58aDMG|9RCR|aBPWR
12	14362 32163	5	   	294.75	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	18AART|256aVULN|3CDMG|4aDMG|7aDUR|9RCR|aBPWR
13	14333 12163	7	   	294.75	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	18AART|267aVULN|3CDMG|4aDUR|5aDMG|9RCR|aBPWR
14	14333 42363	7	   	294.75	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	16AART|278aVULN|3CDMG|4aDUR|5aDMG|9RCR|aBPWR
15	33133 21354	9	   	292.94	DCR|5VULN|3DMG|1TLV	1LEGI|259DMG|35789VULN|4RCVC|59BPWR|6RCR|aTLV
