0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41414 31322	4	 * 	286.47	DCR|4VULN|2DMG|2ASPD|2CDMG	19ASPD|247aVULN|39DMG|5TBNT|6RCR|89CDMG|9BPWR
2	41223 23314	8	 * 	284.45	DCR|4VULN|3ASPD|2TLV|1DUR|1AART	179ASPD|2379VULN|4AART|5BELT|6RCR|79BPWR|89TLV|aDUR
3	41423 23241	9	 * 	284.32	DCR|3VULN|2DMG|3ASPD|2DUR	159ASPD|29aVULN|37DMG|4FEWX|69DUR|8RCR|9BPWR
4	41321 51413	2	   	284.32	DCR|3VULN|2DMG|3ASPD|2DUR	169ASPD|279VULN|3ZMB|4BBNT|56DUR|69BPWR|89DMG|aRCR
5	43423 13241	9	   	284.32	DCR|3VULN|2DMG|3ASPD|2DUR	159ASPD|29DUR|37DMG|4FEWX|69aVULN|8RCR|9BPWR
6	41414 31323	4	 * 	279.48	DCR|3VULN|3DMG|2ASPD|2CDMG	19ASPD|247VULN|39aDMG|5TBNT|6RCR|89CDMG|9BPWR
7	43163 32512	8	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1ASPD|2aDUR|3LHND|4DUST|5aDMG|6CDMG|7RCR|89aVULN|aBPWR
8	23412 15261	10	 * 	277.14	DCR|5VULN|1DMG|1DUR|1CDMG	15CGEN|2DUR|3DMG|4568aVULN|5BPWR|7RCR|9CDMG
9	41223 22311	6	   	276.26	DCR|4VULN|2DMG|2ASPD|1AART	18ASPD|238aVULN|4AART|5BELT|6RCR|78DMG|8BPWR|9MLV
10	41223 22322	6	   	276.16	DCR|4VULN|2DMG|2ASPD|1AART	18ASPD|238aVULN|4AART|5BELT|6RCR|78DMG|8BPWR|9DLOT
11	41223 22364	6	   	276.16	DCR|4VULN|2DMG|2ASPD|1AART	18ASPD|238aVULN|4AART|5BELT|6RCR|78DMG|8BPWR|9TBNT
12	23412 15252	10	 * 	276.12	DCR|4VULN|2DMG|2DUR	15CGEN|29DUR|3aDMG|4568VULN|5BPWR|7RCR
13	41411 34333	7	   	276.11	DCR|5VULN|1DMG|1ASPD|1AART	1ASPD|24678VULN|3DMG|5AART|9LIT|aRCR
14	41411 34333	6	   	276.11	DCR|5VULN|1DMG|1ASPD|1AART	1ASPD|24678VULN|3DMG|5AART|9LIT|aRCR
15	23412 15263	9	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	15CGEN|2DUR|3aDMG|4568VULN|5BPWR|7RCR|9CDMG
16	41642 22146	10	   	274.94	DCR|3VULN|3ASPD|2DUR|1DMG	157ASPD|257VULN|3MBVNT|4DLOT|57BPWR|67DUR|8LIT|9DMG|aRCR
17	23412 12156	6	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	15CGEN|28DUR|3DMG|4567VULN|5BPWR|9RCR|aTLV
18	43228 26441	3	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|25DUR|358VULN|4MBVNT|58BPWR|68DMG|7LEGI|9RCR|aCGEN
19	43228 26442	3	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|25DUR|358VULN|4MBVNT|58BPWR|68DMG|7LEGI|9RCR|aRMIN
20	43228 26443	3	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|25DUR|358VULN|4MBVNT|58BPWR|68DMG|7LEGI|9RCR|aFEWX
21	43228 26444	3	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|25DUR|358VULN|4MBVNT|58BPWR|68DMG|7LEGI|9RCR|aLWND
22	33412 12162	6	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	15ERES|28DUR|3DMG|4567VULN|5BPWR|9TLV|aRCR
23	41223 23341	9	 * 	274.30	DCR|5VULN|2ASPD|1TLV|1AART	17ASPD|2379aVULN|4AART|5BELT|6RCR|7BPWR|8TLV
24	41223 23344	10	   	274.30	DCR|5VULN|2ASPD|1TLV|1AART	17ASPD|2379aVULN|4AART|5BELT|6RCR|7BPWR|8TLV
25	43512 12151	6	 * 	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	15ASPD|28DUR|3CGEN|4567VULN|5BPWR|9RCR|aCDMG
26	31214 26214	3	   	272.95	DCR|5VULN|1DMG|1TLV|1AART	1ERES|23579VULN|4AART|6RCR|8DMG|aTLV
