0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34121 52361	1	 * 	291.79	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|28DUR|3CDMG|4LIT|58DMG|6CGEN|78aVULN|8BPWR|9RCR
2	32146 22621	6	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|49aVULN|58DMG|6RCR|7DUR
3	34121 52362	1	 * 	278.11	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1TLV|28aDUR|3CDMG|4LIT|58DMG|6CGEN|78VULN|8BPWR|9RCR
4	32146 22321	6	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|49aVULN|5DMG|6RCR|78DUR
5	23121 52361	2	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	1MLV|28DUR|3CDMG|4LIT|58DMG|6CGEN|78aVULN|8BPWR|9RCR
6	24121 52361	1	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	1MLV|28DUR|3CDMG|4LIT|58DMG|6CGEN|78aVULN|8BPWR|9RCR
7	65124 12312	4	 * 	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1CDMG|2569VULN|38DMG|4BEXP|7DUR|aRCR
8	65221 12342	5	 * 	273.26	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19CDMG|267VULN|39DUR|4ERES|5TLV|89ASPD|9BPWR|aRCR
9	35133 12111	3	 * 	272.01	DCR|3VULN|3ASPD|2TLV|1DMG|1DUR	13TLV|235ASPD|3BPWR|489VULN|6RCR|7DUR|aDMG
10	32621 11265	3	 * 	271.94	DCR|2VULN|2DMG|2ASPD|2TLV|2CDMG|2LIT	1aTLV|26CDMG|3aVULN|47LIT|56DMG|6aBPWR|8aASPD|9RCR
11	12243 14215	8	 * 	271.92	DCR|3VULN|3DMG|2TLV|1CDMG	1FEWX|245DMG|35TLV|5BPWR|679VULN|8RCR|aCDMG
12	34133 16361	1	   	271.43	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	1TLV|28DUR|3CDMG|4CGEN|58DMG|6aVULN|78LIT|8BPWR|9RCR
13	32143 14161	7	   	270.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|46aVULN|5LIT|7DUR|8DMG|9RCR
14	32126 22624	10	 * 	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1TLV|2aCDMG|3ASPD|4FEWX|5aDMG|6RCR|7ERES|89aVULN|aBPWR
15	32326 22624	10	   	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1TLV|2aCDMG|3BEXP|4ASPD|5aDMG|6RCR|7ERES|89aVULN|aBPWR
16	32613 12142	4	 * 	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	19TLV|2CDMG|369VULN|4MLV|5DMG|79DUR|8DMSP|9BPWR|aRCR
17	32633 12142	3	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	19TLV|2CDMG|369VULN|4CGEN|5DMG|79DUR|8DMSP|9BPWR|aRCR
18	32663 12142	3	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	19TLV|2CDMG|369VULN|4MLV|5DMG|79DUR|8DMSP|9BPWR|aRCR
19	32613 12643	4	 * 	269.51	DCR|3VULN|2DUR|3TLV|1DMG|1CDMG	189TLV|2CDMG|369VULN|4MLV|5DMG|79DUR|9BPWR|aRCR
20	32633 12643	3	   	269.51	DCR|3VULN|2DUR|3TLV|1DMG|1CDMG	189TLV|2CDMG|369VULN|4CGEN|5DMG|79DUR|9BPWR|aRCR
21	32114 62311	6	   	269.42	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV|1DUR	1TLV|24CDMG|34ASPD|4BPWR|58DMG|6RCR|7DUR|9aVULN
22	12243 14211	8	   	269.27	DCR|3VULN|3DMG|2TLV|1ASPD	1FEWX|245DMG|35TLV|5BPWR|679VULN|8RCR|aASPD
23	12243 14261	9	   	269.27	DCR|3VULN|3DMG|2TLV|1ASPD	1FEWX|245DMG|35TLV|5BPWR|679VULN|8RCR|aASPD
24	65116 12312	4	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2679VULN|3DMG|4TLV|5BEXP|8ASPD|aRCR
25	65121 12312	5	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2679VULN|3DMG|4BEXP|5TLV|8ASPD|aRCR
26	65123 12312	4	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2679VULN|3DMG|4BEXP|5TLV|8ASPD|aRCR
27	65114 12312	5	   	268.41	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2679VULN|3DMG|4TLV|5DUST|8ASPD|aRCR
28	65161 12312	5	   	268.41	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2679VULN|3DMG|4DUST|5TLV|8ASPD|aRCR
29	65163 12312	4	   	268.41	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2679VULN|3DMG|4DUST|5TLV|8ASPD|aRCR
30	65221 52312	6	 * 	268.41	DCR|4VULN|2TLV|1DUR|1CDMG|1ASPD	1CDMG|2679VULN|3DUR|4ERES|56TLV|6BPWR|8ASPD|aRCR
31	32146 22351	6	   	267.38	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|4aVULN|59DMG|6RCR|78DUR
32	32146 22611	6	   	267.38	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|4aVULN|58DMG|6RCR|79DUR
33	65122 12312	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|269VULN|38DMG|4BEXP|57DUR|aRCR
34	65122 32312	6	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|269VULN|38DMG|4BEXP|57DUR|aRCR
35	65162 12312	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|269VULN|38DMG|4DUST|57DUR|aRCR
36	65162 32312	6	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|269VULN|38DMG|4DUST|57DUR|aRCR
