0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33323 21541	1	 * 	298.75	DCR|5VULN|3DUR|1TLV|2LIT	1368aVULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9RCR
2	36114 32477	9	 * 	291.77	DCR|5VULN|3DUR|2TLV	12489VULN|3MBVNT|569DUR|79TLV|9BPWR|aRCR
3	36133 14841	4	 * 	290.26	DCR|3VULN|3DUR|2DMG|1TLV	129VULN|3MBVNT|489DUR|5TLV|6ASPD|79DMG|9BPWR|aRCR
4	36114 44714	5	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC|aTLV
5	36114 44714	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC|aTLV
6	36114 44741	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aCGEN
7	36114 44741	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aCGEN
8	36114 44742	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aFEWX
9	36114 44742	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aFEWX
10	36114 44743	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aLHND
11	36114 44743	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aLHND
12	36114 44744	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aRPLT
13	36114 44744	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aRPLT
14	36114 44748	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aRMIN
15	36114 44748	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aRMIN
16	36114 44753	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9BELT|aTLV
