0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14251 53322	5	 * 	286.54	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	19DUR|2CDMG|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aASPD
2	24234 13533	9	 * 	281.40	DCR|4VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679aVULN|8RCR
3	25234 13533	9	   	281.40	DCR|4VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679aVULN|8RCR
4	15362 12513	10	 * 	278.21	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	138DUR|23LHND|38BPWR|48VULN|5LIT|6CDMG|78DMG|9RCR|aTLV
5	15362 12512	9	 * 	277.61	DCR|2VULN|3DMG|3DUR|1CDMG	138DUR|23LHND|38BPWR|48VULN|5LIT|6CDMG|78aDMG|9RCR
6	14223 14433	6	   	276.55	DCR|3VULN|2DMG|2DUR|1CDMG|1AART|1SELL	1aDUR|2CDMG|3aDMG|4SELL|5AART|6RCR|79aVULN|8BBNT|aBPWR
7	64332 21633	7	 * 	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1DLOT|29DMG|39ASPD|4TLV|5BELT|6DUR|79aVULN|8RCR|9BPWR
8	44113 22531	8	   	276.25	DCR|4VULN|2DMG|1DUR|2LIT|1SELL	1SELL|28LIT|3LWND|4589VULN|6RCR|78DMG|8BPWR|aDUR
9	64261 13333	7	 * 	275.77	DCR|3VULN|3DMG|2ASPD|1TLV	1DLOT|237DMG|37BPWR|47ASPD|579VULN|6RCR|8FEWX|aTLV
10	14251 53321	5	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CDMG|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aBBNT
11	14251 53323	5	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2CDMG|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aDUST
12	44113 22511	9	   	273.65	DCR|4VULN|2DMG|2LIT|1CDMG|1SELL	1SELL|28LIT|3LWND|458aVULN|6RCR|78DMG|8BPWR|9CDMG
13	23163 22652	9	 * 	273.48	DCR|4VULN|3TLV|2CDMG|1DUR|1AART	178TLV|2AART|3DUR|468aVULN|58CDMG|8BPWR|9RCR
14	64261 13212	7	 * 	272.96	DCR|2VULN|3DMG|3ASPD|2DUR	1DLOT|237DMG|37BPWR|478ASPD|57VULN|6RCR|9aDUR
15	41251 53322	5	   	272.65	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|29DUR|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aASPD
16	21514 12111	3	 * 	271.76	DCR|4VULN|3DUR|3TLV	178TLV|2CGEN|378DUR|4LEGI|5678VULN|78BPWR|9BEXP|aRCR
17	41136 14233	10	   	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|29DUR|3TLV|4RPLT|569VULN|79DMG|8RCVC|9BPWR|aRCR
18	41136 14333	10	   	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|29DUR|3TLV|4RPLT|569VULN|79DMG|8DMSP|9BPWR|aRCR
19	64261 13122	7	   	269.18	DCR|3VULN|3DMG|2ASPD|1AART	1DLOT|237DMG|37BPWR|47ASPD|579VULN|6RCR|8LHND|aAART
20	64261 13221	7	 * 	268.94	DCR|3VULN|3DMG|3ASPD	1DLOT|237DMG|37BPWR|478ASPD|57aVULN|6RCR|9ERES
21	16116 12333	1	 * 	268.84	DCR|3VULN|3DUR|1DMG|2CDMG|1SELL	18aDUR|238VULN|4LEGI|58CDMG|6RCR|7SELL|8BPWR|9DMG
22	23152 11631	2	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|2AART|379VULN|4LHND|5FEWX|67DMG|7BPWR|8DUR|aRCR
23	15362 12511	9	   	268.51	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG	138DUR|23LHND|38BPWR|48VULN|5aLIT|6CDMG|78DMG|9RCR
24	25322 45211	3	 * 	268.25	DCR|5VULN|2ASPD|3TLV	126TLV|35679VULN|4BBNT|69BPWR|89ASPD|aRCR
25	15512 12151	3	   	268.15	DCR|4VULN|3DUR|1TLV	178DUR|278LHND|3TLV|4CGEN|5678VULN|78BPWR|9TBNT|aRCR
26	23121 11156	5	 * 	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4LHND|5aVULN|67DMG|7BPWR|8ASPD|9RCR
27	23125 11156	4	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4LHND|5aVULN|67DMG|7BPWR|8ASPD|9RCR
28	23151 11156	5	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4LWND|5aVULN|67DMG|7BPWR|8ASPD|9RCR
29	23111 11156	3	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67DMG|7BPWR|8ASPD|9RCR
30	23113 11156	3	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LWND|67DMG|7BPWR|8ASPD|9RCR
31	23161 11156	4	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67DMG|7BPWR|8ASPD|9RCR
32	23162 11156	5	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67DMG|7BPWR|8ASPD|9RCR
33	23163 11156	4	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LWND|67DMG|7BPWR|8ASPD|9RCR
34	23211 11156	2	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67DMG|7BPWR|8ASPD|9RCR
35	23213 11156	2	   	267.30	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	17TLV|2AART|37DUR|4aVULN|5LWND|67DMG|7BPWR|8ASPD|9RCR
36	44113 22511	10	   	267.26	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG|1SELL	1SELL|28LIT|3LWND|458VULN|6RCR|78DMG|8BPWR|9CDMG|aDUR
