0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51112 15134	9	 * 	292.45	DCR|4VULN|3DMG|3DUR	15aDMG|248aVULN|367DUR|9RCR|aBPWR
2	51113 14234	8	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	18DMG|2478VULN|38DUR|5RPLT|6LEGI|8BPWR|9TLV|aRCR
3	56812 23222	8	 * 	286.70	DCR|5VULN|3DMG|3LIT	157DMG|2MBVNT|34789VULN|678LIT|78BPWR|aRCR
4	51126 18242	8	 * 	284.38	DCR|3VULN|3DMG|2DUR|3CDMG	189DMG|289VULN|3aDUR|4ZMB|5MBVNT|6RCR|789CDMG|89BPWR
5	51123 33615	4	 * 	283.37	DCR|4VULN|2DMG|2TLV|1DUR	18DMG|2678VULN|3DUR|49ZMB|58TLV|8BPWR|aRCR
6	51124 11235	9	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	19DMG|2679VULN|3DUR|45ZMB|89TLV|9BPWR|aRCR
7	51113 36261	10	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	18DMG|248VULN|389DUR|5RPLT|6RCVC|7RCR|8BPWR|aTLV
8	51114 31226	7	   	280.89	DCR|4VULN|3DMG|2ASPD|1DUR	178DMG|2479VULN|3DUR|5BEXP|67ASPD|7BPWR|aRCR
9	51116 31226	7	   	280.89	DCR|4VULN|3DMG|2ASPD|1DUR	178DMG|2479VULN|3DUR|5FEWX|67ASPD|7BPWR|aRCR
10	51523 61122	6	 * 	279.85	DCR|3VULN|3DMG|1TLV|3CDMG	167DMG|248VULN|378ZMB|567CDMG|678BPWR|9TLV|aRCR
11	51113 56212	10	   	277.80	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aCDMG
12	51163 31421	3	 * 	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	179DMG|25VULN|37DUR|4AART|67TLV|7BPWR|8ZMB|aRCR
13	51113 36224	9	   	277.32	DCR|4VULN|2DMG|2DUR|1CDMG	18DMG|248aVULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9CDMG
14	51113 36241	10	   	277.32	DCR|4VULN|2DMG|2DUR|1CDMG	18DMG|2489VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|aCDMG
15	51113 36232	8	 * 	276.90	DCR|3VULN|2DMG|2TLV|2DUR	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9aTLV
16	51113 56221	8	   	276.90	DCR|4VULN|3DUR|2DMG	18DMG|248aVULN|368DUR|5RPLT|7RCR|8BPWR|9BEXP
17	51113 56231	9	   	276.90	DCR|4VULN|3DUR|2DMG	18DMG|248aVULN|368DUR|5RPLT|7RCR|8BPWR|9LWND
18	51113 56221	9	   	276.80	DCR|4VULN|3DUR|2DMG	18DMG|248aVULN|368DUR|5RPLT|7RCR|8BPWR|9DUST
19	55112 33611	5	   	276.80	DCR|4VULN|3DUR|2DMG	18DMG|2LWND|358DUR|4678VULN|8BPWR|9DUST|aRCR
20	51111 11252	9	 * 	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1DMG|24679VULN|3DUR|5CGEN|8TLV|aRCR
21	51111 12255	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	17DMG|2469VULN|3DUR|5CGEN|8TLV|aRCR
22	56812 41444	10	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR	15DMG|2MBVNT|3479VULN|6TLV|8RCR|aDUR
23	51134 31226	7	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	178DMG|279VULN|34DUR|5BEXP|67ASPD|7BPWR|aRCR
24	51136 31226	7	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	178DMG|279VULN|34DUR|5FEWX|67ASPD|7BPWR|aRCR
25	51142 31226	7	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	178DMG|279VULN|35DUR|4FEWX|67ASPD|7BPWR|aRCR
26	51232 31226	7	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	178DMG|279VULN|3FEWX|45DUR|67ASPD|7BPWR|aRCR
27	51134 31411	9	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	17DMG|27VULN|348DUR|5BEXP|67ASPD|7BPWR|9TLV|aRCR
