0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14212 33413	8	 * 	315.65	DCR|4VULN|3DUR|2DMG|3CDMG	147CDMG|2aDMG|3RPLT|57aDUR|678aVULN|7aBPWR|9RCR
2	36541 21222	8	 * 	310.72	DCR|5VULN|2DMG|2DUR|2LIT	1458aVULN|24DUR|3RMIN|4aBPWR|6aDMG|7RCR|9aLIT
3	16144 33213	7	 * 	308.67	DCR|3VULN|3DMG|3DUR|3CDMG	137CDMG|2RPLT|37aBPWR|48aDUR|57aDMG|67aVULN|9RCR
4	16144 33213	6	   	308.67	DCR|3VULN|3DMG|3DUR|3CDMG	137CDMG|2RPLT|37aBPWR|48aDUR|57aDMG|67aVULN|9RCR
5	14634 33133	8	   	304.49	DCR|4VULN|2DMG|2DUR|2CDMG	17CDMG|25DMG|3457VULN|57BPWR|67DUR|8LIT|9TBNT|aRCR
6	14634 33323	7	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG|1NUKE	17CDMG|25DMG|3457VULN|57BPWR|67DUR|8NUKE|9DUST|aRCR
7	34641 21222	8	   	296.04	DCR|5VULN|2DMG|1DUR|2LIT	1358aVULN|2RMIN|4DUR|6aDMG|7RCR|9aLIT|aBPWR
8	36541 21222	7	   	291.18	DCR|4VULN|2DMG|2DUR|2LIT	145aVULN|24DUR|3RMIN|4aBPWR|6aDMG|7RCR|8DMSP|9aLIT
9	36543 21222	8	   	291.18	DCR|4VULN|2DMG|2DUR|2LIT	148aVULN|24DUR|3RMIN|4aBPWR|5RCVC|6aDMG|7RCR|9aLIT
10	33436 11213	1	   	290.05	DCR|4VULN|2DMG|1DUR|2LIT|1CDMG	1589VULN|2BBNT|39LIT|4DUR|6CDMG|79DMG|9BPWR|aRCR
11	14233 21321	8	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	19CDMG|29DMG|3RPLT|48aVULN|5TLV|6RCR|79DUR|9BPWR
12	14233 21521	7	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	19CDMG|29DMG|3RPLT|48aVULN|5TLV|6RCR|79DUR|9BPWR
13	32523 21264	10	   	289.55	DCR|4VULN|3DUR|2DMG	138aVULN|234CGEN|3aBPWR|59aDUR|6aDMG|7RCR
14	32623 21264	10	   	289.45	DCR|4VULN|3DUR|2DMG	138aVULN|24CGEN|59aDUR|6aDMG|7RCR|aBPWR
15	14167 13411	10	 * 	287.15	DCR|4VULN|3DMG|3CDMG	178CDMG|257DMG|3MBVNT|4578VULN|578BPWR|6RPLT|9CGEN|aRCR
16	12767 13411	10	   	287.15	DCR|4VULN|3DMG|3CDMG	178CDMG|2MBVNT|3578VULN|457DMG|578BPWR|6RPLT|9CGEN|aRCR
17	16432 21321	8	   	285.79	DCR|4VULN|2DUR|2CDMG|1TLV|1ASPD	19CDMG|2RPLT|389aVULN|4TLV|5ASPD|6RCR|79DUR|9BPWR
18	16432 21521	7	   	285.79	DCR|4VULN|2DUR|2CDMG|1TLV|1ASPD	19CDMG|2RPLT|389aVULN|4TLV|5ASPD|6RCR|79DUR|9BPWR
