0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63312 62236	4	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3BELT|4AART|57DUR|67aVULN|7BPWR|8TLV|9RCR
2	11324 21344	7	 * 	278.48	DCR|3VULN|3DUR|2TLV|3CDMG	19TLV|249CDMG|348DUR|49BPWR|579VULN|6LEGI|aRCR
3	16115 41211	7	 * 	278.45	DCR|5VULN|2TLV|2DUR	1aTLV|24569VULN|3aDUST|7RCR|8aDUR|aBPWR
4	11335 24341	2	 * 	277.47	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|26CDMG|3BBNT|456aVULN|6BPWR|7DMG|8DUR|9RCR
5	63111 12364	9	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89aVULN
6	63111 12365	10	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89aVULN
7	63111 12273	10	 * 	275.94	DCR|2VULN|3DMG|2DUR|1TLV|2ASPD	15aDMG|2ZMB|3aASPD|45DUR|5aBPWR|6TLV|7RCR|8MBVNT|9aVULN
8	63111 12463	10	   	275.94	DCR|2VULN|3DMG|2DUR|1TLV|2ASPD	15aDMG|2ZMB|3aASPD|45DUR|5aBPWR|6TLV|7RCR|8LEGI|9aVULN
9	63251 12273	10	   	275.94	DCR|2VULN|3DMG|2DUR|1TLV|2ASPD	15aDMG|2ZMB|3aDUR|45ASPD|5aBPWR|6TLV|7RCR|8MBVNT|9aVULN
10	63412 63323	3	   	274.24	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19DMG|2ZMB|389VULN|4CDMG|5AART|6LIT|79DUR|9BPWR|aRCR
11	16115 11243	9	 * 	273.75	DCR|4VULN|3TLV|2DUR|1CDMG	16aTLV|245aVULN|3DUST|7RCR|8CDMG|9aDUR|aBPWR
12	61113 23115	1	 * 	273.49	ACR|3VULN|3DMG|3DUR|2TLV	18aDMG|2RCR|3DLOT|4ERES|578DUR|68aVULN|8aBPWR|9aTLV
13	11324 21263	6	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57aVULN|6LEGI|8RCR|9RCVC
14	11342 22523	10	 * 	269.81	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	18TLV|2CDMG|378DUR|4LWND|5DMG|68VULN|8BPWR|9ASPD|aRCR
15	66234 21323	4	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1DMG|257VULN|3CDMG|4DUR|6LIT|8AART|9TLV|aRCR
16	63111 12342	8	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	159DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN
17	66313 22163	7	 * 	267.94	DCR|3VULN|3DMG|2DUR|1AART	189DMG|258VULN|3CGEN|4FEWX|68DUR|7AART|8BPWR|aRCR
18	66323 22163	7	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	189DMG|258VULN|3CGEN|4BEXP|68DUR|7AART|8BPWR|aRCR
19	66112 22163	7	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	189DMG|248VULN|3DUST|5CGEN|68DUR|7AART|8BPWR|aRCR
20	11324 21212	6	 * 	267.81	DCR|2VULN|3DUR|2TLV|1DMG|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9LHND|aDMG
21	11324 21222	6	   	267.71	DCR|2VULN|3DUR|2TLV|1DMG|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9DUST|aDMG
22	66315 32122	7	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18DMG|28VULN|3CGEN|4FEWX|568DUR|7AART|8BPWR|9RCR|aTLV
23	66326 32122	7	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18DMG|28VULN|3CGEN|4BEXP|568DUR|7AART|8BPWR|9RCR|aTLV
24	44242 31333	9	 * 	266.93	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1DUR|2aTLV|3CDMG|4LWND|59aDMG|6RCR|7LHND|8aVULN|aBPWR
25	66232 42323	5	   	266.10	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG|1NUKE|1AART	19DMG|289VULN|3CDMG|4DUR|5NUKE|69LIT|7AART|9BPWR|aRCR
26	11335 24343	2	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1TLV|26CDMG|3BBNT|456VULN|6BPWR|7DMG|8DUR|9RCR|aAART
27	63111 12321	9	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	15DMG|2ZMB|3ASPD|459DUR|5BPWR|6TLV|7RCR|8aVULN
28	63111 12361	9	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	15DMG|2ZMB|3ASPD|45aDUR|5BPWR|6TLV|7RCR|89VULN
29	66315 32121	7	 * 	265.51	DCR|3VULN|3DUR|2DMG|1AART	18DMG|28aVULN|3CGEN|4FEWX|568DUR|7AART|8BPWR|9RCR
30	66326 32121	7	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	18DMG|28aVULN|3CGEN|4BEXP|568DUR|7AART|8BPWR|9RCR
31	16115 11263	7	 * 	265.48	DCR|4VULN|3TLV|2CDMG|1DUR	16aTLV|245aVULN|3DUST|7RCR|8DUR|9aCDMG|aBPWR
