0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63437 32436	8	 * 	279.53	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD|1AART	18TLV|2MBVNT|38DMG|4ASPD|5DUR|6AART|789VULN|8BPWR|aRCR
2	62512 24214	6	 * 	274.81	DCR|4VULN|2DMG|2TLV|1AART	17TLV|2467VULN|3AART|57DMG|7BPWR|8ERES|9MBVNT|aRCR
3	32153 32511	5	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1ERES|29TLV|3CDMG|4CGEN|569VULN|7DUR|89DMG|9BPWR|aRCR
4	32155 32511	4	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1ERES|29TLV|3CDMG|4CGEN|569VULN|7DUR|89DMG|9BPWR|aRCR
5	12512 24125	6	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	17MLV|2467VULN|3AART|57DMG|7BPWR|8DUST|9DUR|aRCR
6	12512 42325	5	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1MLV|2468VULN|3AART|56DMG|6BPWR|7LWND|9DUR|aRCR
7	12512 43125	5	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1MLV|2467VULN|3AART|56DMG|6BPWR|8DUST|9DUR|aRCR
8	62512 43214	5	   	271.00	DCR|4VULN|2DMG|1TLV|1AART	1TLV|2467VULN|3AART|56DMG|6BPWR|8ERES|9MBVNT|aRCR
9	62512 24122	9	   	270.42	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1TLV|246VULN|3AART|59DMG|7CDMG|8LIT|aRCR
10	62512 21325	7	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2468VULN|3AART|5DMG|7LWND|9DUR|aRCR
11	62512 22325	6	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2468VULN|3AART|5DMG|7LWND|9DUR|aRCR
12	62512 23125	6	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2467VULN|3AART|5DMG|8DUST|9DUR|aRCR
13	62353 32511	2	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|269VULN|3CDMG|4ERES|59CGEN|7DUR|89DMG|9BPWR|aRCR
14	63428 32436	8	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|2MBVNT|38DMG|4CGEN|5DUR|6AART|789VULN|8BPWR|aRCR
15	63448 32436	8	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|2MBVNT|38DMG|4MLV|5DUR|6AART|789VULN|8BPWR|aRCR
16	21241 26211	6	 * 	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	17FEWX|2578VULN|3ERES|4TLV|67DUR|7BPWR|9CDMG|aRCR
17	41241 26211	6	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	17LWND|2578VULN|3ERES|4TLV|67DUR|7BPWR|9CDMG|aRCR
18	51241 26211	6	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	17DUST|2578VULN|3ERES|4TLV|67DUR|7BPWR|9CDMG|aRCR
19	62511 31511	6	 * 	268.10	DCR|4VULN|2DUR|2TLV|1AART	17TLV|2467VULN|3AART|5RPLT|7BPWR|89DUR|aRCR
20	66112 32161	3	 * 	267.41	ACR|5VULN|3DUR|3TLV	178TLV|2LIT|3RCR|4RCVC|5789aVULN|678DUR|78BPWR
21	66132 32161	4	   	267.41	ACR|5VULN|3DUR|3TLV	178TLV|2LIT|3RCR|4RCVC|5789aVULN|678DUR|78BPWR
22	66132 32161	3	   	267.41	ACR|5VULN|3DUR|3TLV	178TLV|2LIT|3RCR|4DMSP|5789aVULN|678DUR|78BPWR
23	63437 32426	8	 * 	267.20	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD|1AART	18TLV|2MBVNT|38DMG|4ASPD|59DUR|6AART|78VULN|8BPWR|aRCR
24	23156 21148	8	 * 	266.91	DCR|3VULN|3DUR|2DMG	179FEWX|2CGEN|367DUR|479VULN|5MBVNT|79BPWR|89DMG|aRCR
25	23156 21448	7	   	266.91	DCR|3VULN|3DUR|2DMG	179FEWX|2CGEN|367DUR|479VULN|5MBVNT|79BPWR|89DMG|aRCR
26	63424 61381	3	 * 	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	18TLV|2MBVNT|3DMG|4BBNT|58DUR|6RCR|789VULN|8BPWR|aASPD
27	66332 21114	5	 * 	266.57	DCR|3VULN|3DMG|3TLV	138TLV|2LIT|489DMG|5RMIN|68aVULN|7RCR|8BPWR
28	63437 32442	10	   	266.27	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1ASPD|1AART	18TLV|2MBVNT|38DMG|4ASPD|5DUR|6AART|78VULN|8BPWR|9CDMG|aRCR
29	62222 11551	1	 * 	265.84	DCR|3VULN|2ASPD|2TLV|1DUR|1CDMG|1AART	17TLV|27ASPD|3ZMB|4CDMG|5AART|679VULN|7BPWR|8DUR|aRCR
30	62513 11611	4	 * 	265.42	DCR|3VULN|2DUR|2TLV|2CDMG|1AART	17TLV|247VULN|3AART|5MBVNT|67CDMG|7BPWR|89DUR|aRCR
31	62533 11611	3	   	265.42	DCR|3VULN|2DUR|2TLV|2CDMG|1AART	17TLV|247VULN|3AART|5MBVNT|67CDMG|7BPWR|89DUR|aRCR
32	62511 33161	7	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1TLV|2469VULN|3AART|5RPLT|78DUR|aRCR
33	62323 12145	4	 * 	263.92	DCR|4VULN|3LIT|3TLV|1DUR	178TLV|2478VULN|3BEXP|5DUR|678LIT|78BPWR|9FEWX|aRCR
34	62326 12115	4	   	263.92	DCR|4VULN|3LIT|3TLV|1DUR	178TLV|2478VULN|3BEXP|5FEWX|678LIT|78BPWR|9DUR|aRCR
35	62323 12115	5	   	263.82	DCR|4VULN|3LIT|3TLV|1DUR	178TLV|2478VULN|3BEXP|5DUST|678LIT|78BPWR|9DUR|aRCR
36	63211 11215	4	 * 	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|2MBVNT|3DLOT|457aVULN|67CDMG|7BPWR|8RCR|9DUR
37	63211 11661	4	   	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|2MBVNT|3DLOT|4579VULN|67CDMG|7BPWR|8DUR|aRCR
38	63213 11215	5	   	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|2MBVNT|3DLOT|457aVULN|67CDMG|7BPWR|8RCR|9DUR
39	63213 11661	5	   	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|2MBVNT|3DLOT|4579VULN|67CDMG|7BPWR|8DUR|aRCR
40	63231 11215	3	   	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|2MBVNT|3DLOT|457aVULN|67CDMG|7BPWR|8RCR|9DUR
41	63231 11661	3	   	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|2MBVNT|3DLOT|4579VULN|67CDMG|7BPWR|8DUR|aRCR
42	13462 52383	3	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	17MLV|2MBVNT|37DMG|4LIT|5TLV|678VULN|7BPWR|9DUR|aRCR
43	13482 52383	4	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	17MLV|2MBVNT|37DMG|4LIT|5TLV|678VULN|7BPWR|9DUR|aRCR
44	63432 32436	8	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	18TLV|2MBVNT|38DMG|4ASPD|5LWND|6AART|789VULN|8BPWR|aRCR
45	63432 32486	9	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	18TLV|2MBVNT|38DMG|4ASPD|5LWND|6AART|789VULN|8BPWR|aRCR
46	61362 41111	1	 * 	262.52	DCR|4VULN|1DMG|3TLV|2LIT	138TLV|2LHND|48LIT|568aVULN|7RCR|8BPWR|9DMG
47	66322 41111	4	   	262.42	DCR|4VULN|3TLV|1DMG|2LIT	138TLV|28LIT|4LEGI|568aVULN|7RCR|8BPWR|9DMG
48	62511 31531	7	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|246VULN|3AART|5RPLT|7RCR|8DMG|9aDUR
49	12423 26431	10	 * 	261.04	DCR|4VULN|3DMG	17MLV|247aVULN|3RPLT|579DMG|6RCVC|7BPWR|8RCR
50	11245 36332	7	   	260.96	DCR|3VULN|2DMG|1DUR|1CDMG	17MLV|2DMSP|37DMG|4DUR|5CDMG|679VULN|7BPWR|8RCR|aLIT
51	65612 11222	4	 * 	260.79	DCR|3VULN|3CDMG|2TLV|1DMG|1AART	17TLV|2FEWX|347CDMG|5AART|679VULN|7BPWR|8DMG|aRCR
52	12512 23121	9	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1MLV|246VULN|3AART|5DMG|7TLV|8DUR|9CDMG|aRCR
53	62512 26121	9	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1TLV|246VULN|3AART|5DMG|7ZMB|8DUR|9CDMG|aRCR
