0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11322 26151	1	 * 	284.35	DCR|4VULN|3TLV|1DMG|2CDMG|2LIT	146TLV|28LIT|38CDMG|5678VULN|68BPWR|9RCR|aDMG
2	35244 22212	10	 * 	274.47	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8LIT|9ASPD|aRCR
3	35244 22131	7	   	274.00	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9BBNT|aDUR
4	35235 16221	1	 * 	270.37	DCR|5VULN|2DUR|3CDMG	138CDMG|23467VULN|38BPWR|58DUR|9RCR|aMLV
5	11322 26153	1	 * 	270.33	DCR|4VULN|3TLV|3CDMG|2LIT	146TLV|28LIT|38aCDMG|5678VULN|68BPWR|9RCR
6	35235 16222	1	   	270.27	DCR|5VULN|2DUR|3CDMG	138CDMG|23467VULN|38BPWR|58DUR|9RCR|aDUST
7	35235 16223	1	   	270.27	DCR|5VULN|2DUR|3CDMG	138CDMG|23467VULN|38BPWR|58DUR|9RCR|aERES
8	35621 43112	10	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|367VULN|4DUR|5LIT|8DMG|9ASPD|aRCR
9	11335 65232	1	   	266.41	DCR|3VULN|3TLV|1DMG|2CDMG|1AART	159TLV|2LIT|39CDMG|459VULN|59BPWR|6RPLT|7RCR|8AART|aDMG
10	35244 22121	7	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9FEWX|aASPD
11	35244 22233	10	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8LIT|9ERES|aRCR
12	46212 61312	1	 * 	265.19	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	17ASPD|2TLV|37DUR|4AART|578VULN|6BBNT|7BPWR|9RCR|aLIT
13	11322 26152	1	   	264.29	DCR|4VULN|3TLV|2CDMG|2LIT	146TLV|28LIT|38CDMG|5678VULN|68BPWR|9RCR|aFEWX
14	11322 26154	1	   	264.29	DCR|4VULN|3TLV|2CDMG|2LIT	146TLV|28LIT|38CDMG|5678VULN|68BPWR|9RCR|aCGEN
15	11322 26156	1	   	264.29	DCR|4VULN|3TLV|2CDMG|2LIT	146TLV|28LIT|38CDMG|5678VULN|68BPWR|9RCR|aDMSP
