0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24436 22323	7	 * 	307.06	DCR|4VULN|2DMG|3ASPD|2DUR	139ASPD|23DMG|39BPWR|49DUR|5RPLT|679aVULN|8RCR
2	24113 33521	4	 * 	302.22	DCR|4VULN|3DMG|2ASPD|2CDMG	19ASPD|256DMG|3469VULN|69BPWR|79CDMG|8MBVNT|aRCR
3	24113 33521	3	   	302.22	DCR|4VULN|3DMG|2ASPD|2CDMG	19ASPD|256DMG|3469VULN|69BPWR|79CDMG|8MBVNT|aRCR
4	24115 33521	5	   	302.22	DCR|4VULN|3DMG|2ASPD|2CDMG	19ASPD|256DMG|3469VULN|69BPWR|79CDMG|8MBVNT|aRCR
5	22112 42241	9	 * 	302.17	DCR|5VULN|3DUR|3ASPD	18aASPD|2ERES|3478aVULN|58aDUR|6RCVC|8aBPWR|9RCR
6	22122 32241	9	   	302.17	DCR|5VULN|3DUR|3ASPD	18aASPD|2ERES|3678aVULN|4DMSP|58aDUR|8aBPWR|9RCR
7	22112 31241	9	   	302.07	DCR|5VULN|3DUR|3ASPD	18aASPD|27ERES|3468aVULN|58aDUR|8aBPWR|9RCR
8	22144 32241	9	   	302.07	DCR|5VULN|3DUR|3ASPD	18aASPD|25ERES|3678aVULN|48aDUR|8aBPWR|9RCR
9	24123 34121	3	 * 	299.83	DCR|3VULN|3DMG|3ASPD|2DUR|1SELL	149ASPD|256DMG|369VULN|69BPWR|7SELL|89DUR|aRCR
10	24436 22322	7	   	298.07	DCR|3VULN|2DMG|3ASPD|2DUR|1CDMG	139ASPD|23DMG|39BPWR|49DUR|5RPLT|679VULN|8RCR|aCDMG
11	56338 33323	3	 * 	297.78	DCR|3VULN|3DUR|2DMG|2CDMG|1ASPD	1MBVNT|29CDMG|359VULN|45DMG|59BPWR|6ASPD|79aDUR|8RCR
12	11162 14143	10	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG|1NUKE	1NUKE|29DMG|369VULN|4TLV|5CDMG|79aDUR|8RCR|9BPWR
13	24432 32121	8	 * 	293.13	DCR|2VULN|3DMG|3ASPD|2DUR|2CDMG	136ASPD|239DMG|39BPWR|45DUR|79CDMG|89VULN|aRCR
14	24123 33121	3	   	293.13	DCR|2VULN|3DMG|3ASPD|2DUR|2CDMG	149ASPD|256DMG|36VULN|69BPWR|79CDMG|89DUR|aRCR
15	24116 23323	6	   	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79aDUR|8RCR|9BPWR
16	24116 24323	7	   	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79aDUR|8RCR|9BPWR
17	24116 42323	7	   	293.08	DCR|4VULN|3DUR|2ASPD|1DMG	19ASPD|2DMG|3479VULN|5RPLT|69aDUR|8RCR|9BPWR
18	56361 43322	3	 * 	291.27	DCR|4VULN|3CDMG|2ASPD|1DMG|1DUR	1MBVNT|249CDMG|349aVULN|49BPWR|5DUR|6DMG|79ASPD|8RCR
19	25133 43321	1	 * 	288.12	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|246VULN|3RPLT|569DUR|69BPWR|79DMG|8RCR|aLWND
20	25133 43322	1	   	288.12	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|246VULN|3RPLT|569DUR|69BPWR|79DMG|8RCR|aDMSP
21	25133 43323	1	   	288.12	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|246VULN|3RPLT|569DUR|69BPWR|79DMG|8RCR|aMLV
22	25133 43325	1	   	288.12	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|246VULN|3RPLT|569DUR|69BPWR|79DMG|8RCR|aFEWX
23	23134 43323	2	   	288.12	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|26aDUR|3RPLT|469VULN|5DMSP|69BPWR|79DMG|8RCR
24	24134 43323	1	   	288.12	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|26aDUR|3RPLT|469VULN|5DMSP|69BPWR|79DMG|8RCR
25	24155 23323	6	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|25DMG|369VULN|4RPLT|79aDUR|8RCR|9BPWR
26	25133 43326	1	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	19ASPD|246VULN|3RPLT|569DUR|69BPWR|79DMG|8RCR|aERES
27	56361 43324	3	 * 	286.21	DCR|3VULN|2DMG|3CDMG|2ASPD|1DUR	1MBVNT|249CDMG|349VULN|49BPWR|5DUR|6aDMG|79ASPD|8RCR
28	24113 33531	3	   	285.50	DCR|4VULN|3DMG|1CDMG|1ASPD	1ASPD|256DMG|3469VULN|6BPWR|7CDMG|8MBVNT|aRCR
29	24113 33531	4	   	285.50	DCR|4VULN|3DMG|1CDMG|1ASPD	1ASPD|256DMG|3469VULN|6BPWR|7CDMG|8MBVNT|aRCR
30	24115 33531	5	   	285.50	DCR|4VULN|3DMG|1CDMG|1ASPD	1ASPD|256DMG|3469VULN|6BPWR|7CDMG|8MBVNT|aRCR
31	24312 13143	9	 * 	285.24	DCR|3VULN|3DMG|3ASPD|1DUR|1SELL	179ASPD|279DMG|3SELL|4ERES|5LWND|679VULN|79BPWR|8RCR|aDUR
32	24312 13146	10	 * 	285.24	DCR|3VULN|3DMG|3ASPD|1DUR|1SELL	179ASPD|279DMG|3SELL|4ERES|5LWND|679VULN|79BPWR|8RCR|aDUR
33	56338 33321	3	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	1MBVNT|29CDMG|359VULN|45DMG|59BPWR|6ASPD|79DUR|8RCR|aZMB
34	56338 33322	3	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	1MBVNT|29CDMG|359VULN|45DMG|59BPWR|6ASPD|79DUR|8RCR|aBEXP
35	24436 22321	7	   	284.42	DCR|3VULN|2DMG|3ASPD|2DUR	139ASPD|23DMG|39BPWR|49DUR|5RPLT|679VULN|8RCR|aZMB
36	56338 33324	3	   	284.31	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD|1SELL	1MBVNT|29CDMG|359VULN|45DMG|59BPWR|6ASPD|79DUR|8RCR|aSELL
37	23322 24316	3	   	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	168ASPD|28DUR|3DUST|47DMG|58aVULN|8BPWR|9RCR
38	11162 14141	9	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1NUKE	1NUKE|29DMG|369VULN|4TLV|5CDMG|79DUR|8RCR|9BPWR|aLWND
39	11162 14142	10	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1NUKE	1NUKE|29DMG|369VULN|4TLV|5CDMG|79DUR|8RCR|9BPWR|aCGEN
40	11162 14143	9	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1NUKE	1NUKE|29DMG|369VULN|4TLV|5CDMG|79DUR|8RCR|9BPWR|aLHND
41	56333 53322	3	 * 	283.21	DCR|3VULN|2DUR|3CDMG|2ASPD|1DMG	1MBVNT|269CDMG|39aVULN|4DMG|56DUR|69BPWR|79ASPD|8RCR
42	11162 14142	9	   	283.14	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1NUKE|1SELL	1NUKE|29DMG|369VULN|4TLV|5CDMG|79DUR|8RCR|9BPWR|aSELL
43	25133 43333	1	   	282.77	DCR|4VULN|3DUR|1DMG|1ASPD	1ASPD|2469VULN|3RPLT|56aDUR|6BPWR|7DMG|8RCR
44	22524 22241	9	   	282.63	DCR|4VULN|3DUR|3ASPD	18aASPD|2ERES|3RCVC|4DMSP|58aDUR|678aVULN|8aBPWR|9RCR
45	22122 42241	9	   	282.63	DCR|4VULN|3DUR|3ASPD	18aASPD|2ERES|378aVULN|4DMSP|58aDUR|6RCVC|8aBPWR|9RCR
46	22112 41241	9	   	282.53	DCR|4VULN|3DUR|3ASPD	18aASPD|27ERES|348aVULN|58aDUR|6RCVC|8aBPWR|9RCR
47	22122 31241	9	   	282.53	DCR|4VULN|3DUR|3ASPD	18aASPD|27ERES|368aVULN|4DMSP|58aDUR|8aBPWR|9RCR
48	24113 34521	3	   	281.91	DCR|4VULN|3DMG|2ASPD|1SELL	19ASPD|256DMG|3469VULN|69BPWR|7SELL|8MBVNT|aRCR
49	24113 34521	4	   	281.91	DCR|4VULN|3DMG|2ASPD|1SELL	19ASPD|256DMG|3469VULN|69BPWR|7SELL|8MBVNT|aRCR
50	25621 36211	8	   	281.69	DCR|3VULN|3ASPD|2DUR|1DMG|2LIT	15aASPD|2LWND|3aLIT|459VULN|5aBPWR|6RCR|7DMG|8aDUR
51	11622 13145	10	   	281.31	DCR|4VULN|3DMG|2CDMG|1NUKE	1NUKE|279DMG|379aLHND|4CGEN|5aCDMG|679aVULN|79aBPWR|8RCR
52	32112 31635	5	   	280.90	DCR|5VULN|3DUR	1RCVC|256DUR|3468aVULN|6aBPWR|7AART|9RCR
53	42112 31635	5	   	280.90	DCR|5VULN|3DUR	1DMSP|256DUR|3468aVULN|6aBPWR|7AART|9RCR
54	11435 61233	10	 * 	280.04	DCR|3VULN|3DMG|2DUR|1ASPD|1NUKE	1NUKE|239DMG|39BPWR|49DUR|5ASPD|6RCR|7ERES|89aVULN
55	11435 61233	9	   	280.04	DCR|3VULN|3DMG|2DUR|1ASPD|1NUKE	1NUKE|239DMG|39BPWR|49DUR|5ASPD|6RCR|7ERES|89aVULN
56	24116 23321	6	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79DUR|8RCR|9BPWR|aZMB
57	24116 23322	6	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79DUR|8RCR|9BPWR|aBEXP
58	24116 23326	6	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5aRPLT|79DUR|8RCR|9BPWR
59	24116 24321	7	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79DUR|8RCR|9BPWR|aZMB
60	24116 24322	7	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79DUR|8RCR|9BPWR|aBEXP
61	24116 42321	7	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3479VULN|5RPLT|69DUR|8RCR|9BPWR|aZMB
62	24116 42322	7	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3479VULN|5RPLT|69DUR|8RCR|9BPWR|aBEXP
63	23422 13144	8	   	279.81	DCR|3VULN|3DUR|3ASPD|1DMG|1SELL	179ASPD|279DUR|3ERES|4CGEN|5SELL|679VULN|79BPWR|8RCR|aDMG
64	24116 23325	6	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	19ASPD|2DMG|3469VULN|5RPLT|79DUR|8RCR|9BPWR|aTBNT
65	22453 33521	1	   	279.58	DCR|3VULN|3DMG|2ASPD|2CDMG	19ASPD|2DMSP|356DMG|469VULN|69BPWR|79CDMG|8MBVNT|aRCR
66	22112 32134	10	   	279.23	DCR|5VULN|2DUR|2ASPD	19ASPD|2ERES|34679VULN|59DUR|8RMIN|9BPWR|aRCR
67	22112 32214	10	   	279.23	DCR|5VULN|2DUR|2ASPD	18ASPD|2ERES|34678VULN|58DUR|8BPWR|9RMIN|aRCR
68	22112 32234	10	   	279.23	DCR|5VULN|2DUR|2ASPD	18ASPD|2ERES|34678VULN|58DUR|8BPWR|9CGEN|aRCR
69	22112 42243	10	   	279.23	DCR|5VULN|2DUR|2ASPD	18ASPD|2ERES|3478aVULN|58DUR|6RCVC|8BPWR|9RCR
70	22122 32243	10	   	279.23	DCR|5VULN|2DUR|2ASPD	18ASPD|2ERES|3678aVULN|4DMSP|58DUR|8BPWR|9RCR
71	22112 31243	10	   	279.13	DCR|5VULN|2DUR|2ASPD	18ASPD|27ERES|3468aVULN|58DUR|8BPWR|9RCR
72	22114 32241	9	   	279.13	DCR|5VULN|2DUR|2ASPD	1aASPD|25ERES|3479aVULN|6RCR|8aDUR|aBPWR
73	22144 32243	10	   	279.13	DCR|5VULN|2DUR|2ASPD	18ASPD|25ERES|3678aVULN|48DUR|8BPWR|9RCR
74	22112 32255	10	   	279.13	DCR|5VULN|2DUR|2ASPD	18ASPD|29ERES|34678VULN|58DUR|8BPWR|aRCR
75	23363 42243	2	   	278.72	DCR|4VULN|2ASPD|1DMG|1DUR|1CDMG	15ASPD|2DUR|349aVULN|6RCR|7CDMG|8DMG
76	56338 33333	3	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|2CDMG|359VULN|45DMG|5BPWR|6ASPD|7aDUR|8RCR
77	24312 13143	10	 * 	277.30	DCR|3VULN|3DMG|3ASPD|1SELL	179ASPD|279DMG|3SELL|4ERES|5LWND|679VULN|79BPWR|8RCR|aLIT
78	24312 13145	9	 * 	277.30	DCR|3VULN|3DMG|3ASPD|1SELL	179ASPD|279DMG|3SELL|4ERES|5LWND|679VULN|79BPWR|8RCR|aLIT
79	56311 43323	3	   	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	1MBVNT|29CDMG|359VULN|4aDUR|6DMG|79ASPD|8RCR|9BPWR
80	56333 83323	3	   	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	1MBVNT|29CDMG|369VULN|4DMG|5aDUR|79ASPD|8RCR|9BPWR
81	56351 43323	4	   	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	1MBVNT|29CDMG|359VULN|4aDUR|6DMG|79ASPD|8RCR|9BPWR
82	56341 43323	3	   	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	1MBVNT|29CDMG|349VULN|5aDUR|6DMG|79ASPD|8RCR|9BPWR
83	56381 43323	4	   	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	1MBVNT|29CDMG|349VULN|5aDUR|6DMG|79ASPD|8RCR|9BPWR
