0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33113 43356	1	 * 	288.36	DCR|3VULN|3DUR|3ASPD|1DMG	19aDUR|2LIT|39aASPD|4RCVC|5DMG|6ERES|79aVULN|8RCR|9aBPWR
2	14312 26113	8	 * 	284.57	DCR|4VULN|2DMG|2ASPD|1AART	1DMSP|259aVULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR
3	14312 26313	7	   	284.57	DCR|4VULN|2DMG|2ASPD|1AART	1DMSP|259aVULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR
4	14313 44313	4	   	284.57	DCR|4VULN|2DMG|2ASPD|1AART	1DMSP|269aVULN|3AART|4LIT|59DMG|79ASPD|8RCR|9BPWR
5	44312 26113	8	   	284.57	DCR|4VULN|2DMG|2ASPD|1AART	1RCVC|259aVULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR
6	44312 26313	7	   	284.57	DCR|4VULN|2DMG|2ASPD|1AART	1RCVC|259aVULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR
7	14214 36313	4	   	280.91	DCR|4VULN|2DMG|2LIT|1ASPD|1AART	1DMSP|269aVULN|3ASPD|4AART|59DMG|79LIT|8RCR|9BPWR
8	21165 22334	1	 * 	280.31	ACR|3VULN|3DUR|2DMG|3ASPD|2LIT	148ASPD|2RCR|38aVULN|59LIT|6aDMG|78aDUR|8aBPWR
9	33213 55115	1	 * 	280.07	DCR|4VULN|3DUR|2TLV	148DUR|2LIT|389aVULN|5DMSP|6RCR|78TLV|8BPWR
10	34342 21316	6	 * 	279.08	DCR|2VULN|3DUR|2DMG|2ASPD|1AART	125DUR|3AART|4aDMG|6LIT|7aASPD|8aVULN|9RCR|aBPWR
11	14531 12221	10	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9TLV|aRCR
12	44531 12221	10	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1RCVC|2567VULN|35DMG|4DMSP|5BPWR|8DUR|9TLV|aRCR
13	14531 12253	10	 * 	277.19	DCR|4VULN|3DMG|1DUR	14DMSP|2567VULN|35aDMG|5BPWR|8DUR|9RCR
