0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35221 31426	3	 * 	284.19	DCR|3VULN|3DMG|2DUR|2LIT	1RCVC|27aVULN|37DUR|4BBNT|57aDMG|6RPLT|7aBPWR|8aLIT|9RCR
2	15161 22331	8	 * 	280.86	DCR|4VULN|3DMG|3TLV|1SELL	178TLV|2ZMB|3RPLT|478aVULN|578DMG|6SELL|78BPWR|9RCR
3	13321 24525	8	 * 	276.36	DCR|4VULN|2DMG|2TLV|1ASPD	18TLV|2ASPD|3RMIN|4RCVC|58DMG|6789VULN|8BPWR|aRCR
4	32311 44312	8	 * 	274.89	DCR|4VULN|2DUR|1DMG|1TLV	1RCVC|29CGEN|3TLV|4679VULN|59DUR|8RCR|9BPWR|aDMG
5	53142 32216	6	 * 	273.73	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|2LIT	1RPLT|28LIT|38ASPD|4TLV|5DMG|678VULN|8BPWR|9DUR|aRCR
6	53142 32216	5	   	273.73	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|2LIT	1RPLT|28LIT|38ASPD|4TLV|5DMG|678VULN|8BPWR|9DUR|aRCR
7	35213 44231	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|256aVULN|37DUR|4CDMG|8RCR|9DMG
8	35213 44231	8	 * 	271.76	DCR|4VULN|3DUR|2CDMG	1RCVC|256aVULN|37aDUR|4aCDMG|8RCR|9BELT|aBPWR
9	13213 21774	7	 * 	271.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG|1ASPD	19TLV|2ASPD|39DUR|4CDMG|57VULN|6MBVNT|89DMG|9BPWR|aRCR
10	13213 27774	6	   	271.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG|1ASPD	19TLV|2ASPD|39DUR|4CDMG|57VULN|6MBVNT|89DMG|9BPWR|aRCR
11	36121 31426	2	 * 	270.51	DCR|2VULN|3DMG|3DUR|2LIT	1RCVC|27aDUR|37VULN|4BBNT|57aDMG|6RPLT|7aBPWR|8aLIT|9RCR
