0	Index      	 *	Score 	Summary	Detail	
1	23621 32342	 * 	270.65	橙橙2易伤1等级1矿等	1金币生成24易伤3掉矿5矿等6等级7赏金塔8赏金邻近9a核
2	31265 13342	 * 	265.58	橙橙2易伤2等级	1赏金邻近23等级46金币生成56易伤6序列升级7敌人爆炸8赏金塔9a核
3	34236 13342	   	265.58	橙橙2易伤2等级	1赏金邻近23易伤46等级56金币生成6序列升级7敌人爆炸8赏金塔9a核
4	34263 13342	   	265.58	橙橙2易伤2等级	1赏金邻近23易伤46金币生成56等级6序列升级7敌人爆炸8赏金塔9a核
5	34211 43242	   	262.08	橙橙2易伤1等级	1赏金邻近23易伤4双倍秒伤5等级6敌人爆炸7金币生成8时间9a核
6	34215 23242	   	262.08	橙橙2易伤1等级	1赏金邻近23易伤4双倍秒伤5最后敌人6等级7金币生成8时间9a核
7	34231 43242	   	262.08	橙橙2易伤1等级	1赏金邻近23易伤4等级5双倍秒伤6敌人爆炸7金币生成8时间9a核
8	34211 53242	   	261.98	橙橙2易伤1等级	1赏金邻近23易伤4双倍秒伤5等级6挖尘7金币生成8时间9a核
9	34213 23242	   	261.98	橙橙2易伤1等级	1赏金邻近23易伤4双倍秒伤5挖尘6等级7金币生成8时间9a核
10	34231 53242	   	261.98	橙橙2易伤1等级	1赏金邻近23易伤4等级5双倍秒伤6挖尘7金币生成8时间9a核
11	36321 55133	 * 	260.96	橙3易伤2伤害1等级2暴击1雷电	1赏金邻近2赏金塔37伤害4雷电57暴击678易伤7序列升级9等级a核
12	32133 14165	   	258.09	橙橙1易伤1等级1矿等1攻速	1赏金邻近2矿等3攻速4策反5赏金塔69核7等级8防空对甲a易伤
13	34236 33342	   	255.14	橙橙2易伤1等级	1赏金邻近23易伤4等级5金币生成6立即金币7敌人爆炸8赏金塔9a核
14	34263 33342	   	255.14	橙橙2易伤1等级	1赏金邻近23易伤4金币生成5等级6立即金币7敌人爆炸8赏金塔9a核
15	34211 43342	   	255.04	橙橙2易伤1等级	1赏金邻近23易伤4双倍秒伤5等级6敌人爆炸7金币生成8挖尘9a核
16	34215 23342	   	255.04	橙橙2易伤1等级	1赏金邻近23易伤4双倍秒伤5最后敌人6等级7金币生成8挖尘9a核
17	34231 43342	   	255.04	橙橙2易伤1等级	1赏金邻近23易伤4等级5双倍秒伤6敌人爆炸7金币生成8挖尘9a核
18	15112 63234	 * 	252.05	橙橙1易伤1伤害1矿等1暴击	1最后敌人2伤害3双倍秒伤4暴击5额外掉落6a核7双倍物品8易伤9矿等
19	23162 13242	   	251.48	橙橙2易伤1矿等	1金币生成24易伤3双倍秒伤5矿等6赏金塔7低血量敌人8时间9a核
20	33562 23242	   	251.48	橙橙1易伤1等级1矿等	1赏金邻近2随机矿3易伤4双倍秒伤5矿等6等级7金币生成8时间9a核
21	22513 32442	   	251.38	橙橙1易伤1等级1矿等	1金币生成2掉矿3时间4双倍秒伤5等级6易伤7矿等8赏金塔9a核
22	12366 13361	 * 	250.15	橙橙1易伤1等级2雷电	1最后敌人2风暴减费38雷电4多重对愈5等级6易伤7a核9敌人爆炸
23	34255 12333	 * 	249.05	橙4易伤2伤害1等级	1赏金邻近2345易伤6等级7核8最后敌人9a伤害
24	23233 52535	 * 	248.53	紫橙3伤害1易伤1等级	18金币生成2易伤38激光对愈49核5等级6基地爆炸78a伤害8序列升级
25	36233 55133	 * 	247.16	橙3易伤1等级2雷电2暴击1攻速	1赏金邻近2赏金塔37暴击4攻速57雷电678易伤7序列升级9等级a核
26	23222 63451	   	246.98	橙橙2易伤1雷电	14金币生成29易伤3激光对愈5基地爆炸6雷电7a核8时间
27	46132 11263	   	246.98	橙橙2易伤1雷电	1平台2随机技能3加农对毒46易伤5雷电7a核8随机矿9时间
28	23212 63451	   	246.88	橙橙2易伤1雷电	1金币生成29易伤3激光对愈4火球减费5基地爆炸6雷电7a核8时间
29	23233 52531	   	246.52	紫橙2伤害1易伤1等级1暴击	18金币生成2易伤38激光对愈49核5等级6基地爆炸78伤害8序列升级a暴击
30	15111 14332	 * 	245.59	橙2易伤2伤害2等级1暴击1攻速	1最后敌人2a伤害3双倍秒伤4暴击5低血量敌人6核7a等级8攻速9a易伤a序列升级
31	11243 21263	 * 	245.54	橙3易伤3伤害1等级	1最后敌人269易伤3赏金邻近46a伤害5赏金塔6序列升级7等级8核
32	42511 13263	   	245.44	橙橙1易伤1伤害1矿等	1平台2时间3基地爆炸4伤害5低血量敌人6双倍秒伤7矿等8a核9易伤
33	34255 12332	   	245.12	橙4易伤1等级1伤害1全技能	1赏金邻近2345易伤6等级7核8最后敌人9伤害a全技能
34	32365 13342	   	244.64	橙橙2易伤1矿等	1赏金邻近2矿等3立即金币46金币生成56易伤6序列升级7敌人爆炸8赏金塔9a核
35	23162 13342	   	244.44	橙橙2易伤1矿等	1金币生成24易伤3双倍秒伤5矿等6赏金塔7低血量敌人8挖尘9a核
36	32213 36342	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2矿等3等级4双倍秒伤5基地爆炸6易伤7金币生成8技能点9a核
37	32213 36542	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2矿等3等级4双倍秒伤5基地爆炸6易伤7金币生成8掉矿9a核
38	32215 36342	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2矿等3等级4双倍秒伤5最后敌人6易伤7金币生成8技能点9a核
39	32344 12342	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2矿等3立即金币4掉矿5金币生成6等级7易伤8赏金塔9a核
40	32361 11542	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2矿等3立即金币4金币生成5赏金塔6等级7易伤8掉矿9a核
41	32363 12342	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2矿等3立即金币4金币生成5掉矿6等级7易伤8赏金塔9a核
42	33562 23342	   	244.44	橙橙1易伤1等级1矿等	1赏金邻近2随机矿3易伤4双倍秒伤5矿等6等级7金币生成8挖尘9a核
43	34262 22342	   	244.34	橙橙2易伤1矿等	1赏金邻近23易伤4金币生成5挖尘6暴雪减费7矿等8赏金塔9a核
44	21143 32442	   	244.34	橙橙1易伤1等级1矿等	1金币生成2雷电减费3双倍秒伤4掉矿5等级6易伤7矿等8赏金塔9a核
45	21511 21642	   	244.34	橙橙1易伤1等级1矿等	1金币生成2雷电减费3技能点4双倍秒伤5赏金邻近6等级7易伤8矿等9a核
46	21513 11642	   	244.34	橙橙1易伤1等级1矿等	1金币生成2雷电减费3技能点4双倍秒伤5等级6赏金塔7易伤8矿等9a核
47	21513 32442	   	244.34	橙橙1易伤1等级1矿等	1金币生成2雷电减费3技能点4双倍秒伤5等级6易伤7矿等8赏金塔9a核
48	21613 32442	   	244.34	橙橙1易伤1等级1矿等	1金币生成2雷电减费3掉矿4双倍秒伤5等级6易伤7矿等8赏金塔9a核
49	23661 32342	   	244.34	橙橙1易伤1等级1矿等	1金币生成2易伤3掉矿4烈焰减费5矿等6等级7赏金塔8赏金邻近9a核
50	32241 21542	   	244.34	橙橙1易伤1等级1矿等	1赏金邻近2矿等3等级4烈焰减费5赏金塔6金币生成7易伤8掉矿9a核
51	31133 16365	   	242.39	橙橙1易伤1等级1攻速	1赏金邻近2等级3攻速4策反5赏金塔69核7爆破对冰8掉矿a易伤
52	31121 45213	   	242.38	紫橙1易伤1等级1伤害1技能1暴击1攻速	1赏金邻近2等级3攻速4a核5双倍秒伤6暴击7技能8易伤9伤害
53	31121 46213	   	242.38	紫橙1易伤1等级1伤害1暴击1攻速	1赏金邻近2等级3攻速4a核5双倍秒伤6暴击7策反8易伤9伤害
54	23113 25354	   	241.04	橙橙1易伤1暴击1攻速1雷电	1金币生成2易伤3双倍秒伤4暴击5随机技能6掉矿7a核8雷电9攻速
55	11243 21264	   	240.89	橙3易伤2伤害1等级1雷电	1最后敌人269易伤3赏金邻近46伤害5赏金塔6序列升级7等级8核a雷电
