0	Index      	 *	Score 	Summary	Detail	
1	52332 33334	 * 	251.50	橙2双倍秒伤1散射对甲3伤害2时间1攻速	135伤害23时间3序列升级4金币生成6散射对甲7a双倍秒伤8攻速9核
2	11334 61215	 * 	237.58	紫2双倍秒伤1散射对甲2攻速1全技能	1核23攻速3序列升级46低血量敌人5全技能7散射对甲8雷电9a双倍秒伤
3	11334 61313	   	237.58	紫2双倍秒伤1散射对甲2攻速1全技能	1核23攻速3序列升级46低血量敌人5全技能7散射对甲8敌人爆炸9a双倍秒伤
4	52415 21311	 * 	234.34	橙3易伤1双倍秒伤2伤害2时间1暴击1卖塔	15伤害26时间3暴击459易伤5序列升级7卖塔8核a双倍秒伤
5	11415 33223	 * 	231.72	紫5易伤2攻速1全技能2暴击	1核2a攻速35暴击4567a易伤5a序列升级8a技能点9全技能
6	11414 36221	 * 	230.70	紫1散射对甲1双倍秒伤1易伤1攻速1暴击1技能1时间	1核2攻速3暴击4易伤58基地爆炸6时间7散射对甲9双倍秒伤a技能
7	53415 31311	 * 	230.02	橙4易伤1双倍秒伤2伤害1暴击1卖塔	15伤害2敌人爆炸3暴击4569易伤5序列升级7卖塔8核a双倍秒伤
8	52336 33135	 * 	229.28	橙1散射对甲1双倍秒伤2伤害1易伤1全技能2时间1暴击	13伤害23时间3序列升级4金币生成5双倍秒伤6易伤7核8暴击9散射对甲a全技能
9	13228 33432	 * 	226.66	紫1散射对甲1双倍秒伤1易伤1全技能1核弹1暴击	1核2额外掉落3加一4易伤5散射对甲6暴击7挖尘8全技能9双倍秒伤a核弹
10	13228 12143	 * 	225.55	紫1散射对甲1双倍秒伤1易伤1核弹1伤害1攻速1策反	1核2额外掉落3加一4易伤5散射对甲6伤害7攻速8策反9双倍秒伤a核弹
11	13228 12333	   	225.55	紫1散射对甲1双倍秒伤1易伤1核弹1伤害1攻速	1核2额外掉落3加一4易伤5散射对甲6伤害7攻速8金币生成9双倍秒伤a核弹
12	13228 12533	   	225.55	紫1散射对甲1双倍秒伤1易伤1核弹1伤害1攻速	1核2额外掉落3加一4易伤5散射对甲6伤害7攻速8等级9双倍秒伤a核弹
13	13228 12873	   	225.55	紫1散射对甲1双倍秒伤1易伤1核弹1伤害1攻速	1核2额外掉落3加一4易伤5散射对甲6伤害7攻速8双倍秒伤9金币生成a核弹
14	52415 21312	 * 	225.03	橙3易伤2伤害3时间1暴击1卖塔	15伤害26a时间3暴击459易伤5序列升级7卖塔8核
15	13228 28831	 * 	223.05	紫2散射对甲2易伤1双倍秒伤1技能1挖怪	1核2额外掉落3加一47易伤57散射对甲67低血量敌人7序列升级8技能9双倍秒伤a挖怪
16	13228 28832	 * 	223.05	紫2散射对甲2易伤1双倍秒伤1技能1卖塔	1核2额外掉落3加一47易伤57散射对甲67低血量敌人7序列升级8技能9双倍秒伤a卖塔
17	13228 28833	 * 	223.05	紫2散射对甲2易伤1双倍秒伤1技能	1核2额外掉落3加一47易伤57散射对甲67低血量敌人7序列升级8技能9双倍秒伤a金币生成
18	13228 28834	   	223.05	紫2散射对甲2易伤1双倍秒伤1技能	1核2额外掉落3加一47易伤57散射对甲67低血量敌人7序列升级8技能9双倍秒伤a敌人爆炸
19	13228 28841	   	223.05	紫2散射对甲2易伤1双倍秒伤1技能	1核2额外掉落3加一47易伤57散射对甲67低血量敌人7序列升级8技能9掉矿a双倍秒伤
20	13228 58241	   	223.05	紫2散射对甲2易伤1双倍秒伤1技能	1核2额外掉落3加一47易伤57散射对甲67敌人爆炸7序列升级8随机矿9技能a双倍秒伤
21	13228 78241	   	223.05	紫2散射对甲2易伤1双倍秒伤1技能	1核2额外掉落3加一47易伤57散射对甲67基地爆炸7序列升级8随机矿9技能a双倍秒伤
22	41143 23621	   	222.52	橙1散射对甲1双倍秒伤1易伤1技能1策反	1策反2雷电3易伤4额外掉落5平台6核7技能点8散射对甲9技能a双倍秒伤
23	52336 33124	 * 	222.27	橙2易伤1双倍秒伤2伤害1全技能2时间1暴击	13伤害23时间3序列升级4金币生成5双倍秒伤6a易伤7核8暴击9全技能
24	53415 31312	 * 	222.20	橙4易伤2伤害1暴击1时间1卖塔	15伤害2敌人爆炸3暴击4569易伤5序列升级7卖塔8核a时间
25	53415 31313	 * 	221.53	橙4易伤2伤害1暴击1策反1卖塔	15伤害2敌人爆炸3暴击4569易伤5序列升级7卖塔8核a策反
