0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63331 64333	10	 * 	300.45	橙4易伤3时间2伤害1攻速	135时间236a易伤36序列升级46伤害7敌人爆炸8核9攻速
2	63331 64332	10	   	291.46	橙3易伤3时间2伤害1暴击1攻速	135时间236易伤36序列升级46伤害7敌人爆炸8核9攻速a暴击
3	63331 64322	8	   	291.37	橙3易伤3时间2伤害1等级	135时间236易伤36序列升级46伤害7敌人爆炸8核9雷电a等级
4	63331 33436	7	 * 	291.30	橙5易伤3时间1伤害	135时间2379a易伤3序列升级4伤害6基地爆炸8核
5	63331 13436	7	   	291.20	橙5易伤3时间1伤害	135时间2379a易伤3序列升级4伤害6挖尘8核
6	63331 64323	8	 * 	290.77	橙3易伤3伤害3时间	135时间236易伤36序列升级46a伤害7敌人爆炸8核9雷电
7	63332 14432	6	   	289.45	橙4易伤3时间2伤害	137时间2379易伤37序列升级47伤害5立即金币6挖青8核a敌人爆炸
8	63331 61432	6	   	289.45	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7最后敌人8核a敌人爆炸
9	63331 61631	10	   	289.45	橙4易伤3时间2伤害	135时间236a易伤36序列升级46伤害79矿等8核
10	63331 62432	7	   	289.45	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7基地爆炸8核a额外掉落
11	63331 62433	7	   	289.45	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7a基地爆炸8核
12	63331 64322	9	   	289.45	橙4易伤3时间2伤害	135时间236a易伤36序列升级46伤害7敌人爆炸8核9平台
13	63331 64332	8	   	289.45	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7敌人爆炸8核a额外掉落
14	63331 64333	8	   	289.45	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7敌人爆炸8核a基地爆炸
15	63331 33416	7	   	289.35	橙4易伤3时间2伤害	135时间237a易伤3序列升级49伤害6基地爆炸8核
16	63331 33436	6	   	289.35	橙4易伤3时间2伤害	135时间239a易伤3序列升级47伤害6基地爆炸8核
17	63331 63432	7	   	289.35	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7挖尘8核a额外掉落
18	63331 63433	7	   	289.35	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7挖尘8核a基地爆炸
19	63332 14431	6	   	289.35	橙4易伤3时间2伤害	137时间2379易伤37序列升级47伤害5立即金币6挖青8核a掉矿
20	63332 14433	6	   	289.35	橙4易伤3时间2伤害	137时间2379易伤37序列升级47伤害5立即金币6挖青8核a挖尘
21	63331 61431	6	   	289.35	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7最后敌人8核a掉矿
22	63331 61433	6	   	289.35	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7最后敌人8核a挖尘
23	63331 62431	7	   	289.35	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7基地爆炸8核a掉矿
24	63331 64331	8	   	289.35	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7敌人爆炸8核a掉矿
25	63331 13416	7	   	289.25	橙4易伤3时间2伤害	135时间237a易伤3序列升级49伤害6挖尘8核
26	63331 13436	6	   	289.25	橙4易伤3时间2伤害	135时间239a易伤3序列升级47伤害6挖尘8核
27	63331 63431	7	   	289.25	橙4易伤3时间2伤害	135时间2369易伤36序列升级46伤害7挖尘8核a掉矿
28	63333 23436	4	   	289.25	橙4易伤3时间2伤害	136时间239a易伤36序列升级47伤害56挖尘8核
29	63336 21115	5	   	288.44	橙4易伤2时间1伤害1等级1暴击	13时间2367易伤3序列升级4伤害5等级8暴击9基地爆炸a核
30	63336 21125	5	   	288.44	橙4易伤2时间1伤害1等级1暴击	13时间2367易伤3序列升级4伤害5等级8暴击9低血量敌人a核
31	63336 21132	5	   	288.34	橙4易伤2时间1伤害1等级1暴击	13时间2367易伤3序列升级4伤害5等级8暴击9掉矿a核
32	63336 21222	5	   	288.34	橙4易伤2时间1伤害1等级1暴击	13时间2367易伤3序列升级4伤害5等级8掉矿9暴击a核
33	63332 21145	9	 * 	288.12	橙3易伤3时间2伤害2攻速	139时间239易伤39序列升级48伤害5立即金币6敌人爆炸79攻速a核
34	63335 21315	5	   	282.77	橙4易伤3时间1伤害1攻速	138时间2367易伤3序列升级4伤害5攻速9基地爆炸a核
35	63335 21513	5	   	282.67	橙4易伤3时间1伤害1攻速	13a时间2367易伤3序列升级4伤害5攻速8挖尘9核
36	63332 14412	6	   	282.46	橙3易伤3伤害3时间	137时间237易伤37序列升级479伤害5立即金币6挖青8核a低血量敌人
37	63332 14413	6	   	282.46	橙3易伤3伤害3时间	137时间237易伤37序列升级479伤害5立即金币6挖青8核a金币生成
38	63331 61412	6	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7最后敌人8核a低血量敌人
39	63331 61413	6	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7最后敌人8核a金币生成
40	63331 62412	7	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7基地爆炸8核a低血量敌人
41	63331 62413	7	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7基地爆炸8核a金币生成
42	63331 64312	8	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7敌人爆炸8核a低血量敌人
43	63331 64313	10	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级46a伤害7敌人爆炸8核9立即金币
44	63331 64313	8	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7敌人爆炸8核a金币生成
45	63331 64321	9	   	282.46	橙3易伤3伤害3时间	135时间236易伤36序列升级46a伤害7敌人爆炸8核9平台
46	63331 63412	7	   	282.36	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7挖尘8核a矿等
47	63332 14411	6	   	282.36	橙3易伤3伤害3时间	137时间237易伤37序列升级479伤害5立即金币6挖青8核a挖尘
48	63331 61411	6	   	282.36	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7最后敌人8核a挖尘
49	63331 62411	7	   	282.36	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7基地爆炸8核a挖尘
50	63331 64311	8	   	282.36	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7敌人爆炸8核a挖尘
51	63331 63411	7	   	282.26	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7a挖尘8核
52	63331 63413	7	   	282.26	橙3易伤3伤害3时间	135时间236易伤36序列升级469伤害7挖尘8核a赏金邻近
53	63331 21425	7	   	281.77	橙3易伤3时间2伤害2雷电	135时间23a易伤3a序列升级4a伤害6金币生成7矿等8核9a雷电
54	63331 13425	5	   	281.67	橙3易伤3时间2伤害2雷电	135时间23a易伤3a序列升级4a伤害6掉矿7金币生成8核9a雷电
55	63331 22425	7	   	281.67	橙3易伤3时间2伤害2雷电	135时间23a易伤3a序列升级4a伤害6金币生成7掉矿8核9a雷电
56	63331 22625	8	   	281.67	橙3易伤3时间2伤害2雷电	135时间23a易伤3a序列升级4a伤害6金币生成7掉矿8核9a雷电
57	63335 21214	6	   	280.74	橙3易伤2伤害2时间1等级1攻速	13时间237易伤3序列升级48伤害5攻速6敌人爆炸9核a等级
58	63335 23214	5	   	280.74	橙3易伤2伤害2时间1等级1攻速	13时间236易伤3序列升级48伤害5攻速7基地爆炸9核a等级
59	63335 31214	5	   	280.64	橙3易伤2伤害2时间1等级1攻速	13时间237易伤3序列升级48伤害5攻速6挖尘9核a等级
60	63331 61613	9	   	280.36	橙3易伤3时间2伤害1暴击	135时间236易伤36序列升级46伤害7矿等8核9掉矿a暴击
61	63331 14326	4	   	280.07	橙4易伤3时间1伤害	138时间2367易伤3序列升级4伤害5双倍矿9雷电a核
62	63331 33426	7	   	280.07	橙4易伤3时间1伤害	135时间237a易伤3序列升级4伤害6基地爆炸8核9雷电
63	63331 33435	7	   	280.07	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6基地爆炸8核a雷电
64	63332 14326	5	   	280.07	橙4易伤3时间1伤害	138时间2367易伤3序列升级4伤害5立即金币9雷电a核
65	63331 13426	7	   	279.97	橙4易伤3时间1伤害	135时间237a易伤3序列升级4伤害6挖尘8核9雷电
66	63331 13435	7	   	279.97	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6挖尘8核a雷电
67	63335 21511	5	 * 	279.65	橙4易伤2时间2攻速1伤害	13时间2367易伤3序列升级4伤害5a攻速8挖尘9核
68	63326 21522	5	   	279.38	橙4易伤2时间1等级1暴击1攻速	13时间2367易伤3序列升级4金币生成5等级8攻速9暴击a核
69	63316 21522	5	   	279.28	橙4易伤2时间1等级1暴击1攻速	13时间2367易伤3序列升级4掉矿5等级8攻速9暴击a核
70	63333 51325	8	   	278.08	橙5易伤2时间1伤害	13时间2367a易伤3序列升级4伤害58金币生成9核
71	63331 14225	4	   	277.98	橙5易伤2时间1伤害	13时间2367a易伤3序列升级4伤害5双倍矿8掉矿9核
72	63332 14225	5	   	277.98	橙5易伤2时间1伤害	13时间2367a易伤3序列升级4伤害5立即金币8掉矿9核
73	63332 51325	6	   	277.98	橙5易伤2时间1伤害	13时间2378a易伤3序列升级4伤害5立即金币6掉矿9核
74	63332 51325	7	   	277.98	橙5易伤2时间1伤害	13时间2378a易伤3序列升级4伤害5立即金币6掉矿9核
75	63331 61335	10	   	277.81	橙3易伤3时间2伤害1攻速	135时间236易伤36序列升级46伤害7矿等8策反9攻速a核
76	63331 64323	9	   	277.81	橙3易伤3时间2伤害1攻速	135时间236易伤36序列升级46伤害7敌人爆炸8核9平台a攻速
77	63331 64331	9	   	277.81	橙3易伤3时间2伤害1攻速	135时间236易伤36序列升级46伤害7敌人爆炸8核9攻速a金币生成
78	63331 64331	10	   	277.81	橙3易伤3时间2伤害1攻速	135时间236易伤36序列升级46伤害7a敌人爆炸8核9攻速
79	63331 64332	9	   	277.81	橙3易伤3时间2伤害1攻速	135时间236易伤36序列升级46伤害7敌人爆炸8核9攻速a低血量敌人
80	63331 64333	9	   	277.81	橙3易伤3时间2伤害1攻速	135时间236易伤36序列升级46伤害7敌人爆炸8核9攻速a立即金币
