0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21563 13532	8	 * 	291.69	橙5易伤3伤害1攻速	1随机矿248伤害34589易伤48序列升级6核78基地爆炸a攻速
2	21563 13533	8	   	288.99	橙5易伤3伤害	1随机矿248伤害34589易伤48序列升级6核78基地爆炸a雷电
3	21563 12324	10	 * 	281.11	橙4易伤3伤害2暴击	1随机矿249伤害345a易伤49序列升级6核79矿等89暴击
4	21563 12326	9	   	281.11	橙4易伤3伤害2暴击	1随机矿249伤害345a易伤49序列升级6核79矿等89暴击
5	21563 33243	8	   	281.08	橙5易伤2伤害1等级	1随机矿24伤害3458a易伤4序列升级6等级7平台9核
6	21563 33253	9	   	281.08	橙5易伤2伤害1等级	1随机矿24伤害3458a易伤4序列升级6等级7平台9核
7	21513 16533	8	   	280.78	橙5易伤3伤害	1随机矿28a伤害3589a易伤4立即金币6核78a低血量敌人8a序列升级
8	21563 11133	7	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核7双倍矿8a低血量敌人
9	21563 11233	8	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核7双倍矿8a最后敌人
10	21563 11253	9	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核7双倍矿8a最后敌人
11	21563 13511	10	   	280.68	橙5易伤3伤害	1随机矿248伤害3458a易伤48序列升级6核789基地爆炸
12	21563 13523	10	   	280.68	橙5易伤3伤害	1随机矿248伤害3458a易伤48序列升级6核78基地爆炸9策反
13	21563 13531	8	   	280.68	橙5易伤3伤害	1随机矿248伤害34589易伤48序列升级6核78基地爆炸a敌人爆炸
14	21563 15133	6	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核7立即金币8a低血量敌人
15	21563 16133	6	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核7双倍矿8a低血量敌人
16	21563 16133	8	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核78a低血量敌人
17	21563 16333	8	   	280.68	橙5易伤3伤害	1随机矿24a伤害3459a易伤4a序列升级6核7a低血量敌人8立即金币
18	22563 13532	8	 * 	278.18	橙5易伤3攻速1伤害	1随机矿248攻速34589易伤48序列升级6核78基地爆炸a伤害
19	11534 12234	7	   	277.89	橙4易伤2伤害1等级1时间	17策反2等级3579易伤47伤害6随机矿7序列升级8时间a核
20	21563 32234	7	   	277.79	橙4易伤2伤害1等级1时间	1随机矿24伤害3459易伤4序列升级6等级7金币生成8时间a核
21	21563 13531	10	   	277.39	橙4易伤3伤害1时间	1随机矿248伤害3458易伤48序列升级6核78基地爆炸9矿等a时间
22	21563 11513	6	   	277.19	橙4易伤3伤害1时间	1随机矿24a伤害3458易伤4序列升级6核7金币生成9时间
23	21563 12513	7	   	277.19	橙4易伤3伤害1时间	1随机矿24a伤害3458易伤4序列升级6核7矿等9时间
24	21563 33241	8	   	277.19	橙4易伤3伤害1等级	1随机矿24a伤害3458易伤4序列升级6等级7平台9核
25	21563 33251	9	   	277.19	橙4易伤3伤害1等级	1随机矿24a伤害3458易伤4序列升级6等级7平台9核
26	21563 13521	8	   	277.15	橙4易伤3伤害1时间1卖塔	1随机矿248伤害3458易伤48序列升级6核78基地爆炸9卖塔a时间
27	21232 31316	3	 * 	276.33	橙3易伤3伤害3等级1全技能	1随机矿29a伤害3雷电49a易伤5全技能69a等级7核8赏金邻近9a序列升级
28	21563 31363	8	   	275.09	橙4易伤2伤害1等级1暴击	1随机矿24伤害345a易伤4序列升级6等级7挖青8暴击9核
29	21563 13513	9	   	274.79	橙4易伤3伤害1暴击	1随机矿248伤害3458易伤48序列升级6核789基地爆炸a暴击
30	21563 13512	8	   	274.69	橙4易伤3伤害1暴击	1随机矿248伤害3458易伤48序列升级6核78基地爆炸9挖尘a暴击
31	21563 22163	5	   	272.54	橙4易伤2伤害1时间1攻速	1随机矿24伤害345a易伤4序列升级6攻速7平台8核9时间
32	21563 31324	6	   	272.54	橙4易伤2伤害1等级1攻速	1随机矿24伤害3458易伤4序列升级6等级7基地爆炸9攻速a核
33	21563 13512	9	   	272.15	橙4易伤3伤害1攻速	1随机矿248伤害3458易伤48序列升级6核789基地爆炸a攻速
34	23344 16312	10	 * 	271.39	橙4易伤2伤害3暴击	1随机矿2额外掉落3578易伤48伤害68a暴击8序列升级9核
35	43135 23431	6	   	270.91	橙4易伤3伤害1全技能	19a矿等2平台3随机矿4全技能59a伤害6核789a易伤9a序列升级
36	21563 13521	10	   	270.81	橙4易伤3伤害1全技能	1随机矿248伤害3458易伤48序列升级6核78基地爆炸9策反a全技能
37	21563 11243	7	   	270.80	橙3易伤3伤害1等级1时间	1随机矿24a伤害345易伤4序列升级6核7双倍矿8时间9等级
38	21563 11621	7	   	269.85	橙4易伤2伤害1时间	1随机矿24伤害345a易伤4序列升级6核7双倍矿8雷电9时间
39	21563 14332	7	 * 	269.73	橙3易伤2伤害2时间1等级	1随机矿24伤害345易伤4序列升级6核7a时间8等级9金币生成
40	23344 11143	8	   	268.62	橙3易伤2伤害2暴击1等级1全技能	1随机矿2额外掉落357易伤47伤害67暴击7序列升级8等级9核a全技能
41	22532 23624	3	   	268.35	橙5易伤2攻速1伤害	1随机矿24攻速3478a易伤4序列升级5伤害6加一9核
42	22562 23624	4	   	268.35	橙5易伤2攻速1伤害	1随机矿24攻速3478a易伤4序列升级5伤害6加一9核
43	21563 13422	8	   	268.20	橙3易伤3伤害1时间1暴击	1随机矿249伤害345易伤4序列升级6核7基地爆炸8时间a暴击
