0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51642 22131	10	 * 	305.20	橙4易伤3伤害3时间	178伤害2挖尘3平台4789易伤5立即金币678时间78序列升级a核
2	51117 52443	1	   	303.13	橙3易伤3伤害3时间1攻速	178伤害2加一378时间478易伤5赏金塔6核78序列升级9全技能a攻速
3	21117 52461	1	 * 	302.60	橙4易伤3时间3攻速1伤害	178攻速2加一378时间4789易伤5赏金塔6核78序列升级a伤害
4	51114 14852	1	 * 	299.61	橙5易伤3时间1伤害	1伤害2加一356时间4569a易伤56序列升级7雷电8核
5	21117 52451	1	   	298.78	橙4易伤3时间3攻速1等级	178攻速2加一378时间478a易伤5赏金塔6核78序列升级9等级
6	51114 14851	1	   	297.66	橙4易伤3时间2伤害	1a伤害2加一356时间4569易伤56序列升级7雷电8核
7	21117 52453	1	   	296.21	橙3易伤3时间3攻速1伤害1等级	178攻速2加一378时间478易伤5赏金塔6核78序列升级9等级a伤害
8	51117 52411	1	   	293.47	橙3易伤3伤害3时间1攻速	178伤害2加一378时间478易伤5赏金塔6核78序列升级9立即金币a攻速
9	51117 52423	1	   	293.47	橙3易伤3伤害3时间1攻速	178伤害2加一378时间478易伤5赏金塔6核78序列升级9敌人爆炸a攻速
10	21117 52445	1	   	292.19	橙4易伤3时间3攻速	178攻速2加一378时间478a易伤5赏金塔6核78序列升级9全技能
11	51117 52442	1	   	292.13	橙3易伤3伤害3时间	178伤害2加一378时间478易伤5赏金塔6核78序列升级9全技能a敌人爆炸
12	51117 52444	1	   	292.13	橙3易伤3伤害3时间	178伤害2加一378时间478易伤5赏金塔6核78序列升级9全技能a最后敌人
13	51114 12672	1	   	291.20	橙5易伤3时间1伤害	1伤害2加一356时间45689易伤56序列升级7赏金邻近a核
14	21114 14851	1	   	291.07	橙4易伤3时间1伤害1攻速	1攻速2加一356时间4569易伤56序列升级7雷电8核a伤害
15	21117 52443	1	   	289.62	橙3易伤3时间3攻速1伤害	178攻速2加一378时间478易伤5赏金塔6核78序列升级9全技能a伤害
16	51114 12314	1	   	289.25	橙4易伤3时间2伤害	1a伤害2加一356时间456a易伤56a序列升级7赏金邻近8a掉矿9核
17	51114 13741	1	   	288.01	橙4易伤3时间1伤害1等级	1伤害2加一356时间4568易伤56序列升级7等级9基地爆炸a核
18	51114 13771	1	   	288.01	橙4易伤3时间1伤害1等级	1伤害2加一356时间4568易伤56序列升级7等级9敌人爆炸a核
19	51114 13781	1	   	288.01	橙4易伤3时间1伤害1等级	1伤害2加一356时间4568易伤56序列升级7等级9低血量敌人a核
20	21641 32122	8	 * 	282.89	橙3易伤3伤害3攻速1暴击	178攻速2挖尘3平台478易伤578伤害6随机矿78序列升级9暴击a核
21	21643 62131	10	   	282.63	橙4易伤3时间3攻速	178攻速2挖尘35平台4789易伤678时间78序列升级a核
22	53161 23141	10	   	282.56	橙3易伤3伤害3时间	158伤害29低血量敌人368时间4平台789易伤89序列升级a核
23	21117 52462	1	   	282.53	橙4易伤3时间3攻速	178攻速2加一378时间4789易伤5赏金塔6核78序列升级a立即金币
24	21117 52463	1	   	282.53	橙4易伤3时间3攻速	178攻速2加一378时间4789易伤5赏金塔6核78序列升级a最后敌人
25	21642 62131	10	   	282.53	橙4易伤3时间3攻速	178攻速25挖尘3平台4789易伤678时间78序列升级a核
26	25621 32142	10	   	282.49	橙4易伤3时间3攻速1卖塔	178攻速2卖塔378时间49挖尘59最后敌人6789易伤789序列升级a核
27	51117 52124	1	   	282.46	橙3易伤3伤害3时间	17a伤害2加一379时间47a易伤5赏金塔6核7a序列升级8a矿等
28	51117 52412	1	   	282.46	橙3易伤3伤害3时间	178伤害2加一378时间478易伤5赏金塔6核78序列升级9a立即金币
