0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66126 11122	6	 * 	288.79	橙5易伤3伤害1暴击	1立即金币24569易伤345伤害456序列升级7雷电8核a暴击
2	66126 33111	5	 * 	288.34	橙4易伤3伤害1等级1暴击	1立即金币2459易伤345伤害45序列升级6核7等级8暴击a矿等
3	66126 33112	5	   	288.34	橙4易伤3伤害1等级1暴击	1立即金币2459易伤345伤害45序列升级6核7等级8暴击a基地爆炸
4	66126 33113	5	   	288.24	橙4易伤3伤害1等级1暴击	1立即金币2459易伤345伤害45序列升级6核7等级8暴击a挖尘
5	66126 13132	10	   	283.08	橙5易伤3伤害1时间	1立即金币24569易伤345伤害456序列升级7额外掉落8时间a核
6	66233 25232	7	 * 	280.01	橙3易伤3伤害3时间	1立即金币29a易伤3矿等49a时间5低血量敌人6核7雷电89a伤害9a序列升级
7	66126 33232	5	 * 	277.97	橙3易伤3伤害2等级1时间	1立即金币245易伤345伤害45序列升级6核7a等级8时间9金币生成
8	66126 33212	5	   	277.87	橙3易伤3伤害2等级1时间	1立即金币245易伤345伤害45序列升级6核7a等级8时间9挖尘
9	66126 33123	5	   	275.60	橙3易伤3伤害1等级1暴击	1立即金币245易伤345伤害45序列升级6核7等级8暴击9最后敌人a攻速
10	66126 11123	6	   	275.14	橙5易伤3伤害	1立即金币24569易伤345伤害456序列升级7雷电8核a金币生成
11	66126 11121	6	   	275.04	橙5易伤3伤害	1立即金币24569易伤345伤害456序列升级7雷电8核a挖青
12	66126 32232	8	   	274.69	橙4易伤3伤害1等级	1立即金币2458易伤345伤害45序列升级6最后敌人7核9随机矿a等级
13	66126 32332	7	   	274.69	橙4易伤3伤害1等级	1立即金币2458易伤345伤害45序列升级6最后敌人7核9随机矿a等级
14	66126 11323	10	   	274.59	橙4易伤3伤害1等级1核弹	1立即金币2456易伤345伤害456序列升级7矿等8等级9核弹a核
15	66126 24322	7	   	271.83	橙3易伤3伤害2时间1暴击	1立即金币245易伤345伤害45序列升级6加一7暴击8a时间9核
16	66126 32112	9	   	269.89	橙3易伤3伤害1等级1时间	1立即金币245易伤345伤害45序列升级6最后敌人7核8金币生成9时间a等级
17	66126 33231	5	   	269.89	橙3易伤3伤害1等级1时间	1立即金币245易伤345伤害45序列升级6核7等级8时间9金币生成a最后敌人
