0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36111 12356	5	 * 	291.73	橙5易伤2时间1伤害1暴击	1金币生成24568易伤35时间5序列升级7伤害9暴击a核
2	51122 57244	6	 * 	289.35	橙4易伤3时间2伤害	137时间2金币生成4加一57伤害679a易伤7序列升级8核
3	51122 87244	5	   	289.35	橙4易伤3时间2伤害	137时间2金币生成4加一57伤害679a易伤7序列升级8核
4	53122 57244	6	   	289.25	橙4易伤3时间2伤害	137时间2掉矿4加一57伤害679a易伤7序列升级8核
5	53122 87244	5	   	289.25	橙4易伤3时间2伤害	137时间2掉矿4加一57伤害679a易伤7序列升级8核
6	42154 13212	3	 * 	286.77	橙3易伤3时间2伤害3等级	1随机矿28a等级3a伤害458时间68a易伤7赏金塔8a序列升级9核
7	51122 57242	6	   	282.96	橙3易伤3时间2伤害1等级	137时间2金币生成4加一57伤害679易伤7序列升级8核a等级
8	51122 87242	5	   	282.96	橙3易伤3时间2伤害1等级	137时间2金币生成4加一57伤害679易伤7序列升级8核a等级
9	53122 57242	6	   	282.86	橙3易伤3时间2伤害1等级	137时间2掉矿4加一57伤害679易伤7序列升级8核a等级
10	53122 87242	5	   	282.86	橙3易伤3时间2伤害1等级	137时间2掉矿4加一57伤害679易伤7序列升级8核a等级
11	51316 25212	3	 * 	282.73	橙4易伤3时间3攻速	168时间2a金币生成38a攻速468a易伤5赏金塔68a序列升级7随机矿9核
12	51532 23212	3	 * 	282.56	橙3易伤3伤害3时间	148时间2a金币生成38a伤害58a易伤6随机矿7赏金塔8a序列升级9核
13	51534 13212	3	   	282.56	橙3易伤3伤害3时间	148时间2a金币生成38a伤害5随机矿68a易伤7赏金塔8a序列升级9核
14	51632 23212	2	   	282.56	橙3易伤3伤害3时间	148时间2a金币生成38a伤害58a易伤6随机矿7赏金塔8a序列升级9核
15	51634 13212	2	   	282.56	橙3易伤3伤害3时间	148时间2a金币生成38a伤害5随机矿68a易伤7赏金塔8a序列升级9核
16	53316 25212	3	   	282.53	橙4易伤3时间3攻速	168时间2a掉矿38a攻速468a易伤5赏金塔68a序列升级7随机矿9核
17	53632 23212	2	   	282.36	橙3易伤3伤害3时间	148时间2a掉矿38a伤害58a易伤6随机矿7赏金塔8a序列升级9核
18	53634 13212	2	   	282.36	橙3易伤3伤害3时间	148时间2a掉矿38a伤害5随机矿68a易伤7赏金塔8a序列升级9核
19	51322 22431	1	   	281.80	橙4易伤3时间1等级1暴击	189时间2暴击3789易伤489基地爆炸5赏金邻近6核89序列升级a等级
20	54121 38243	4	 * 	276.37	橙3易伤3时间3暴击2攻速	138时间29攻速4加一578暴击689易伤89序列升级a核
21	54131 38243	3	   	276.37	橙3易伤3时间3暴击2攻速	138时间29攻速4加一578暴击689易伤89序列升级a核
22	52122 51733	10	   	276.27	橙3易伤3时间2伤害1核弹1全技能	138时间2核弹4加一58伤害689易伤7全技能8序列升级a核
23	52222 51733	10	   	276.27	橙3易伤3时间2伤害1核弹1全技能	138时间2核弹38序列升级4加一58伤害689易伤7全技能a核
24	53513 26211	3	   	276.27	橙3易伤3时间2伤害1全技能	17a时间24掉矿34a易伤4a序列升级5加一6核8a伤害9全技能
25	53513 26211	4	   	276.27	橙3易伤3时间2伤害1全技能	17a时间2掉矿34a易伤5加一6核8a伤害9全技能a序列升级
26	36111 55321	9	   	272.09	橙4易伤2时间1伤害1暴击	1金币生成245a易伤35时间5序列升级6暴击7伤害8加一9核
27	36111 55321	10	   	272.09	橙4易伤2时间1伤害1暴击	1金币生成245a易伤35时间5序列升级6暴击7伤害8加一9核
28	63121 55121	9	   	271.66	橙4易伤3时间1伤害	1挖青258a易伤345时间5序列升级6额外掉落7核9伤害
29	63121 55131	8	   	271.66	橙4易伤3时间1伤害	1挖青258a易伤345时间5序列升级6额外掉落7核9伤害
30	36113 17244	3	 * 	271.24	橙5易伤3时间1核弹	17金币生成2479a易伤347时间47序列升级5加一6核弹8核
31	63121 12323	6	   	270.98	橙3易伤3时间1伤害1暴击	1挖青257易伤345时间5序列升级6暴击8雷电9伤害a核
32	54227 42143	8	 * 	270.53	橙2易伤3时间2伤害3攻速	137时间236攻速39序列升级4加一59易伤89伤害a核
33	51316 25213	3	 * 	270.43	橙3易伤3时间2攻速1伤害	168时间2金币生成38攻速468易伤5赏金塔68序列升级7随机矿9核a伤害
34	53316 25213	3	   	270.33	橙3易伤3时间2攻速1伤害	168时间2掉矿38攻速468易伤5赏金塔68序列升级7随机矿9核a伤害
35	36111 14116	3	 * 	269.19	橙3易伤3时间1伤害2暴击	16金币生成247易伤348时间46序列升级56暴击9伤害a核
36	61634 14472	5	   	268.09	橙3易伤2伤害2时间2雷电1卖塔	1挖青2加一3卖塔46a易伤56时间6a序列升级7a伤害8a雷电9核
