0	Index      	 *	Score 	Summary	Detail	
1	21122 43244	 * 	283.45	橙橙2易伤1伤害2时间	1伤害2挖尘38易伤4基地爆炸5a时间6最后敌人79核
2	21126 43243	   	282.24	橙橙2易伤1伤害1暴击	1伤害2挖尘38易伤4基地爆炸5低血量敌人6最后敌人79核a暴击
3	16512 13241	   	276.90	橙橙2易伤1伤害	1最后敌人2双倍秒伤3伤害4时间58易伤69核7双倍矿a赏金塔
4	16512 13242	   	276.90	橙橙2易伤1伤害	1最后敌人2双倍秒伤3伤害4时间58易伤69核7双倍矿a低血量敌人
5	16512 13243	   	276.90	橙橙2易伤1伤害	1最后敌人2双倍秒伤3伤害4时间58易伤69核7双倍矿a雷电
6	21122 43241	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a赏金塔
7	21122 43242	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a低血量敌人
8	21122 43243	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a雷电
9	21122 43246	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a金币生成
10	21142 43241	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4敌人爆炸5时间6最后敌人79核a赏金塔
11	21142 43242	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4敌人爆炸5时间6最后敌人79核a低血量敌人
12	21142 43243	   	276.90	橙橙2易伤1伤害	1伤害2挖尘38易伤4敌人爆炸5时间6最后敌人79核a雷电
13	45133 33352	   	276.90	橙橙2易伤1伤害	1寒冰对冰2时间3敌人爆炸4伤害5双倍秒伤69易伤7赏金邻近8a核
14	21122 43245	   	276.80	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a双倍秒伤
15	21126 43241	   	268.59	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5低血量敌人6最后敌人79核a赏金塔
16	21126 43242	   	268.59	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5a低血量敌人6最后敌人79核
17	46133 33352	   	268.59	橙橙2易伤1伤害	1寒冰对冰2最后敌人3敌人爆炸4伤害5双倍秒伤69易伤7赏金邻近8a核
18	21124 41242	   	268.49	橙橙2易伤1伤害	1伤害2挖尘3a易伤4基地爆炸5金币生成69核7技能点8敌人爆炸
19	21513 33352	   	268.39	橙橙2易伤1伤害	1伤害2挖尘3敌人爆炸4毒液对毒5双倍秒伤69易伤7赏金邻近8a核
20	21513 36352	   	268.39	橙橙2易伤1伤害	1伤害2挖尘3敌人爆炸4毒液对毒5双倍秒伤69易伤7赏金塔8a核
21	23352 13454	   	263.72	橙橙1易伤1伤害1攻速1全技能	1伤害2全技能3立即金币4易伤5攻速6最后敌人7双倍秒伤8加一9a核
22	11361 31132	   	262.47	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6a核7时间8攻速9赏金塔
23	43322 34352	   	262.18	橙橙2易伤1攻速	1寒冰对冰2赏金塔3最后敌人49易伤5攻速6双倍秒伤7敌人爆炸8a核
24	42632 31211	 * 	259.62	橙3易伤3矿等1伤害	178寒冰对冰278矿等3时间4伤害5双倍秒伤678易伤78序列升级9金币生成a核
25	26122 22454	   	258.48	橙橙1易伤1伤害1全技能	1伤害2最后敌人3易伤4基地爆炸5时间6技能7全技能8加一9a核
26	24126 33613	   	257.50	橙橙1易伤1伤害1矿等1策反	1伤害2技能点3策反49掉矿5易伤6矿等7a核8防空对愈
27	24126 33623	   	257.50	橙橙1易伤1伤害1矿等1策反	1伤害2技能点3策反4掉矿5易伤6矿等7a核8防空对愈9激光减费
28	43326 23352	   	256.59	橙橙2易伤1策反	1寒冰对冰2赏金塔3最后敌人49易伤5双倍秒伤6时间7策反8a核
29	21122 43344	   	255.27	橙橙1易伤1伤害2时间	1伤害28挖尘3易伤4基地爆炸5a时间6最后敌人79核
30	21123 41146	 * 	254.43	橙3易伤2伤害2矿等	19伤害2挖尘39a易伤4基地爆炸57技能点6核89矿等9序列升级
31	11361 34132	   	254.16	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6a核7低血量敌人8攻速9赏金塔
32	26642 11132	   	254.16	橙橙1易伤1伤害1攻速	1伤害2最后敌人3立即金币4赏金邻近5易伤6a核7双倍秒伤8攻速9赏金塔
33	11361 21432	   	254.16	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6攻速7低血量敌人8a核9赏金塔
34	21162 11432	   	254.16	橙橙1易伤1伤害1攻速	1伤害2挖尘3易伤4攻速5基地爆炸6赏金塔7低血量敌人8a核9赏金邻近
35	11361 35132	   	254.06	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6a核7挖尘8攻速9赏金塔
36	21126 43343	   	254.06	橙橙1易伤1伤害1暴击	1伤害28挖尘3易伤4基地爆炸5低血量敌人6最后敌人79核a暴击
37	21442 11132	   	253.96	橙橙1易伤1伤害1攻速	1伤害23挖尘4赏金邻近5易伤6a核7双倍秒伤8攻速9赏金塔
38	24552 11132	   	253.96	橙橙1易伤1伤害1攻速	1伤害2技能点3赏金邻近4掉矿5易伤6a核7双倍秒伤8攻速9赏金塔
