0	Index      	 *	Score 	Summary	Detail	
1	62533 35133	 * 	413.69	橙3易伤1双倍秒伤2时间1等级	1随机技能27时间346易伤5平台8等级9核a双倍秒伤
2	62533 36133	   	401.13	橙3易伤1双倍秒伤1等级1时间	1随机技能2时间346易伤5平台7毒气减费8等级9核a双倍秒伤
3	42313 61125	 * 	397.87	橙2双倍秒伤1易伤3时间1暴击	1基地爆炸2易伤379时间4技能点5暴击6核8a双倍秒伤
4	42331 61125	   	397.87	橙2双倍秒伤1易伤3时间1暴击	1基地爆炸2易伤379时间4暴击5掉矿6核8a双倍秒伤
5	42354 11322	 * 	391.36	橙2易伤1双倍秒伤2暴击1伤害1时间	17基地爆炸27易伤3时间4随机矿5敌人爆炸67暴击7序列升级8伤害9核a双倍秒伤
6	11452 22622	   	391.26	橙2易伤1双倍秒伤2暴击1伤害1时间	1随机矿28暴击38敌人爆炸4时间5雷电减费6伤害78易伤8序列升级9核a双倍秒伤
7	11552 22622	   	391.26	橙2易伤1双倍秒伤2暴击1伤害1时间	1随机矿28暴击38最后敌人4时间5雷电减费6伤害78易伤8序列升级9核a双倍秒伤
8	11652 22622	   	391.26	橙2易伤1双倍秒伤2暴击1伤害1时间	1随机矿28暴击38基地爆炸4时间5雷电减费6伤害78易伤8序列升级9核a双倍秒伤
9	12432 22622	   	391.26	橙2易伤1双倍秒伤1暴击2时间1伤害	1随机矿28最后敌人38时间4暴击5雷电减费6伤害78易伤8序列升级9核a双倍秒伤
10	62531 23121	   	387.48	橙3易伤1双倍秒伤2时间	157随机技能26时间346易伤6序列升级8核9双倍秒伤a头目
11	62531 23122	   	387.48	橙3易伤1双倍秒伤2时间	157随机技能26时间346易伤6序列升级8核9双倍秒伤a立即金币
12	62531 23123	   	387.48	橙3易伤1双倍秒伤2时间1挖怪	157随机技能26时间346易伤6序列升级8核9双倍秒伤a挖怪
13	62531 23124	   	387.48	橙3易伤1双倍秒伤2时间	157随机技能26时间346易伤6序列升级8核9双倍秒伤a随机矿
14	62531 23125	   	387.48	橙3易伤1双倍秒伤2时间	157随机技能26时间346易伤6序列升级8核9双倍秒伤a平台
15	62531 23126	   	387.48	橙3易伤1双倍秒伤2时间	157随机技能26时间346易伤6序列升级8核9双倍秒伤a最后敌人
