0	Index      	 *	Score 	Summary	Detail	
1	32125 31432	 * 	370.37	橙2双倍秒伤2易伤2时间	16时间2攻速3赏金邻近4随机矿59易伤7核8a双倍秒伤
2	55343 12132	 * 	362.53	紫3易伤1双倍秒伤1暴击1时间	17矿等2双倍物品37基地爆炸467易伤5核7序列升级8暴击9时间a双倍秒伤
3	12132 53332	 * 	358.44	橙2易伤1双倍秒伤1暴击1时间	1基地爆炸2攻速3赏金邻近4平台5时间6核7暴击89易伤a双倍秒伤
4	36531 36232	   	358.44	橙2易伤1双倍秒伤1暴击1时间	1时间2掉矿37易伤4暴击5最后敌人6喷火对愈8矿等9核a双倍秒伤
5	36235 22612	   	351.31	橙2易伤1双倍秒伤1伤害1时间	1时间29掉矿3随机技能4伤害59最后敌人6矿等79易伤8核9序列升级a双倍秒伤
6	36361 12612	   	351.31	橙2易伤1双倍秒伤1伤害1时间	1时间29掉矿3矿等4伤害59随机技能6最后敌人79易伤8核9序列升级a双倍秒伤
7	34432 11321	 * 	347.64	橙1双倍秒伤1易伤3时间1等级1伤害	156时间2暴雪减费3等级4伤害7核8易伤9策反a双倍秒伤
8	34532 11331	   	347.64	橙1双倍秒伤1易伤3时间1等级1伤害	156时间2暴雪减费3随机矿4伤害7核8易伤9等级a双倍秒伤
9	34432 11351	   	347.54	橙1双倍秒伤1易伤3时间1等级1伤害	156时间2暴雪减费3等级4伤害7核8易伤9攻速a双倍秒伤
10	34421 16121	 * 	344.12	紫2双倍秒伤1易伤1等级1时间	1时间2暴雪减费3等级4核5易伤6策反79双倍秒伤8技能a金币生成
11	34421 16122	   	344.12	紫2双倍秒伤1易伤1等级1时间	1时间2暴雪减费3等级4核5易伤6策反79双倍秒伤8技能a随机技能
12	34421 16123	   	344.12	紫2双倍秒伤1易伤1等级1时间	1时间2暴雪减费3等级4核5易伤6策反79双倍秒伤8技能a基地爆炸
13	33615 51121	   	343.60	橙2易伤1双倍秒伤2时间	13时间2基地爆炸45易伤6赏金塔7核8最后敌人9策反a双倍秒伤
14	32125 31254	   	343.50	橙2易伤1双倍秒伤2时间	16时间2攻速3赏金邻近4随机矿59易伤7核8雷电a双倍秒伤
15	32145 61121	   	343.50	橙2易伤1双倍秒伤2时间	16时间2攻速3赏金邻近4掉矿56易伤6序列升级7核8低血量敌人9策反a双倍秒伤
16	33615 51131	   	343.50	橙2易伤1双倍秒伤2时间	13时间2基地爆炸45易伤6赏金塔7核8最后敌人9技能点a双倍秒伤
17	35461 22232	   	343.45	橙2易伤1双倍秒伤2时间1卖塔	14时间2卖塔34易伤4序列升级5多重对甲6最后敌人7金币生成8矿等9核a双倍秒伤
18	32125 31356	   	343.40	橙2易伤1双倍秒伤2时间	16时间2攻速3赏金邻近4随机矿58易伤7核9火球减费a双倍秒伤
19	32145 61131	   	343.40	橙2易伤1双倍秒伤2时间	16时间2攻速3赏金邻近4掉矿56易伤6序列升级7核8低血量敌人9技能点a双倍秒伤
20	35461 21332	   	343.35	橙2易伤1双倍秒伤2时间1卖塔	14时间2卖塔34易伤4序列升级5多重对甲6最后敌人7暴雪减费8敌人爆炸9核a双倍秒伤
21	55242 22231	 * 	341.55	橙4易伤1暴击1时间	15矿等2双倍物品3457易伤5序列升级6最后敌人8时间9暴击a核
22	32513 12245	   	341.35	橙4易伤1暴击1时间	1时间2攻速359a易伤4低血量敌人6暴击7赏金塔8核
