0	Index      	 *	Score 	Summary	Detail	
1	36642 32131	 * 	310.30	DCR|3VULN|3MLV|1TLV|1AAC	1RPLT|2AAC|379MLV|479VULN|5AART|6RCR|79BPWR|8BBNT|aTLV
2	33313 63737	 * 	303.54	DCR|DCR|3ASPD|1VULN|1MLV|1AAC	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aAAC
3	33316 13737	   	303.54	DCR|DCR|3ASPD|1VULN|1MLV|1AAC	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aAAC
4	11433 41341	 * 	298.82	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	1CDMG|2aVULN|3LWND|4DUR|5BBNT|6aDMG|7TLV|8aMLV|9RCR|aBPWR
5	36325 23412	 * 	297.66	DCR|3VULN|2DMG|1TLV|2ASPD|1AAC	1RPLT|2AAC|37ASPD|47DMG|567VULN|7BPWR|8BBNT|9TLV|aRCR
6	35411 24531	 * 	295.69	DCR|DCR|2TLV|1VULN|3CDMG	1RPLT|236CDMG|36BPWR|46TLV|5MBVNT|79RCR|8VULN|aRAT
7	36642 32333	   	294.36	DCR|3VULN|3MLV|1AAC|1ASPD	1RPLT|2AAC|378MLV|479VULN|5AART|6RCR|79BPWR|aASPD
8	33313 63731	   	293.59	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aRAT
9	33316 13731	   	293.59	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aRAT
10	36642 32332	 * 	293.21	DCR|3VULN|3MLV|2AAC	1RPLT|2aAAC|378MLV|479VULN|5AART|6RCR|79BPWR
11	35411 24532	   	288.76	DCR|DCR|2TLV|1VULN|3CDMG	1RPLT|236CDMG|36BPWR|46TLV|5MBVNT|79RCR|8VULN|aRMIN
12	35411 24533	   	288.66	DCR|DCR|2TLV|1VULN|3CDMG	1RPLT|236CDMG|36BPWR|46TLV|5MBVNT|79RCR|8VULN|aDUST
13	35411 24534	   	288.66	DCR|DCR|2TLV|1VULN|3CDMG	1RPLT|236CDMG|36BPWR|46TLV|5MBVNT|79RCR|8VULN|aAEPOI
14	33313 63433	 * 	288.52	DCR|DCR|2VULN|3ASPD	1RPLT|235ASPD|3BPWR|4MBVNT|6aVULN|79RCR|8RMIN
15	33316 13433	   	288.52	DCR|DCR|2VULN|3ASPD	1RPLT|236ASPD|3BPWR|4MBVNT|5aVULN|79RCR|8RMIN
16	36642 32222	   	287.77	DCR|3VULN|2MLV|1TLV|1AAC	1RPLT|2AAC|37MLV|478VULN|5AART|6RCR|7BPWR|9LHND|aTLV
17	36642 32232	   	287.77	DCR|3VULN|2MLV|1TLV|1AAC	1RPLT|2AAC|37MLV|478VULN|5AART|6RCR|7BPWR|9LWND|aTLV
18	36642 32321	   	286.74	DCR|3MLV|2VULN|1TLV|1AAC	1RPLT|2AAC|378MLV|47VULN|5AART|6RCR|7BPWR|9BBNT|aTLV
19	33313 63732	   	286.65	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aRMIN
20	33313 63735	   	286.65	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aBBNT
21	33316 13732	   	286.65	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aRMIN
22	33316 13735	   	286.65	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aBBNT
23	33313 63733	   	286.55	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aDUST
24	33313 63734	   	286.55	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aAEPOI
25	33313 63738	   	286.55	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|235ASPD|3BPWR|4MBVNT|6VULN|79RCR|8MLV|aBEXP
26	33316 13733	   	286.55	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aDUST
27	33316 13734	   	286.55	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aAEPOI
28	33316 13738	   	286.55	DCR|DCR|3ASPD|1VULN|1MLV	1RPLT|236ASPD|3BPWR|4MBVNT|5VULN|79RCR|8MLV|aBEXP
29	36642 32133	   	285.15	DCR|3VULN|3MLV|1AAC	1RPLT|2AAC|379MLV|479VULN|5AART|6RCR|79BPWR|8BBNT|aRAT
30	13162 21341	 * 	284.30	DCR|3DMG|2MLV|1VULN|1TLV|2CDMG	1aCDMG|2TBNT|36aDMG|4MDPS|5VULN|7TLV|8aMLV|9RCR|aBPWR
31	21162 21341	   	284.30	DCR|3DMG|2MLV|1VULN|1TLV|2CDMG	1BBNT|2aCDMG|36aDMG|4MDPS|5VULN|7TLV|8aMLV|9RCR|aBPWR
32	11243 51341	   	284.27	DCR|2VULN|2MLV|1TLV|2CDMG|1AAC	1aCDMG|2aVULN|3AAC|4BBNT|5DUR|6LEGI|7TLV|8aMLV|9RCR|aBPWR
33	11253 51341	   	284.27	DCR|2VULN|2MLV|1TLV|2CDMG|1AAC	1aCDMG|2aVULN|3AAC|4TBNT|5DUR|6LEGI|7TLV|8aMLV|9RCR|aBPWR
34	16611 32418	 * 	283.09	DCR|DCR|2MLV|2CDMG|1ASPD|2DUR	1aCDMG|2aDUR|3ASPD|4MBVNT|5LHND|6TBNT|78RCR|9aMLV|aBPWR
35	33366 23632	 * 	283.07	DCR|2VULN|2MLV|3ASPD|1TLV	1RPLT|237ASPD|37BPWR|4MDPS|57MLV|67VULN|8TLV|9AEFRZ|aRCR
36	13125 41312	 * 	282.15	ACR|DCR|2DMG|1VULN|1MLV|1AAC|1CDMG	1CDMG|2TBNT|34DMG|58RCR|6MLV|7DUR|9VULN|aAAC
37	21125 41312	   	282.15	ACR|DCR|2DMG|1VULN|1MLV|1AAC|1CDMG	1BBNT|2CDMG|34DMG|58RCR|6MLV|7DUR|9VULN|aAAC
38	35411 44531	   	281.42	DCR|DCR|1VULN|1TLV|3CDMG	1RPLT|236CDMG|3BPWR|4TLV|5MBVNT|79RCR|8VULN|aRAT
39	13125 41351	 * 	280.91	ACR|DCR|3DMG|1VULN|1MLV|1CDMG	1CDMG|2TBNT|349DMG|58RCR|6MLV|7DUR|aVULN
40	21125 41351	   	280.91	ACR|DCR|3DMG|1VULN|1MLV|1CDMG	1BBNT|2CDMG|349DMG|58RCR|6MLV|7DUR|aVULN
41	16611 32411	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUR|3ASPD|4MBVNT|5LHND|6TBNT|78RCR|9MLV|aVULN
42	16641 12411	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUR|3ASPD|4BBNT|5MBVNT|6LWND|78RCR|9MLV|aVULN
43	16641 32411	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUR|3ASPD|4BBNT|5MBVNT|6FEWX|78RCR|9MLV|aVULN
44	16651 12411	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUR|3ASPD|4TBNT|5MBVNT|6LWND|78RCR|9MLV|aVULN
45	16651 32411	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUR|3ASPD|4TBNT|5MBVNT|6FEWX|78RCR|9MLV|aVULN
46	33525 23412	   	280.77	DCR|3VULN|2DMG|1TLV|2ASPD	1RPLT|27ASPD|3RMIN|47DMG|567VULN|7BPWR|8BBNT|9TLV|aRCR
