0	Index      	 *	Score 	Summary	Detail	
1	35213 34131	 * 	320.11	DCR|2VULN|2MLV|2TLV|2DMG|1ASPD|1CDMG	1aMLV|23TLV|4aDMG|5ASPD|6MBVNT|7CDMG|8aVULN|9RCR|aBPWR
2	11523 12651	 * 	313.57	DCR|DCR|2MLV|1VULN|1TLV|2RAT	14RAT|24MLV|3LEGI|4BPWR|5ERES|6aRCR|7VULN|8TLV|9FEWX
3	11223 12651	   	307.06	DCR|DCR|2MLV|1VULN|1TLV	1RAT|24MLV|34LHND|4BPWR|5ERES|6aRCR|7VULN|8TLV|9FEWX
4	15523 12631	   	306.96	DCR|DCR|2MLV|1VULN|1TLV	1RAT|24FEWX|34MLV|4BPWR|5ERES|6aRCR|7VULN|8TLV|9LEGI
5	35552 34131	 * 	306.16	DCR|2VULN|3TLV|2MLV|2ASPD|1CDMG	1aMLV|24aTLV|34ASPD|4aBPWR|5RMIN|6MBVNT|7CDMG|8aVULN|9RCR
6	16233 15611	 * 	299.50	ACR|DCR|2VULN|2TLV|1MLV|2RAT	18RAT|2DUST|38VULN|4aRCR|5DUR|6ERES|78TLV|8BPWR|9MLV
7	35343 32211	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8BEXP|aDUR
8	35343 32511	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8AETHUN|aDUR
9	35343 52211	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6BBNT|79RCR|8BEXP|aDUR
10	35343 32212	   	297.40	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8BEXP|aRAT
11	35343 32512	   	297.40	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8AETHUN|aRAT
12	35343 52212	   	297.40	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6BBNT|79RCR|8BEXP|aRAT
13	33141 43632	 * 	296.79	DCR|DCR|2VULN|1MLV|1DMG	1MLV|27CGEN|3RPLT|4DUR|58VULN|6aRCR|9DMG
14	35242 13631	 * 	295.32	DCR|DCR|2TLV|1VULN|1MLV	1MLV|23TLV|4RAT|5LHND|6aRCR|7RMIN|8VULN|9BEXP
15	35212 34131	   	295.29	DCR|2VULN|3TLV|2MLV|1DMG|1CDMG	1aMLV|23aTLV|4DMG|5RMIN|6MBVNT|7CDMG|8aVULN|9RCR|aBPWR
16	16132 25214	   	294.80	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1RAT|2DUST|3FEWX|4CGEN|5CDMG|67RCR|8MLV|9VULN|aTLV
17	35121 42531	 * 	293.86	DCR|4VULN|2MLV|2TLV	1aMLV|2aTLV|3RPLT|4MBVNT|568aVULN|7RCVC|9RCR|aBPWR
18	23323 52385	 * 	293.78	DCR|DCR|2VULN|1TLV|1CDMG	1BELT|2TLV|3AART|4MBVNT|5CDMG|6aVULN|7BBNT|89RCR
19	23323 54385	   	293.78	DCR|DCR|2VULN|1TLV|1CDMG	1BELT|2TLV|3AART|4MBVNT|5CDMG|6aVULN|7TBNT|89RCR
20	35343 32213	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8BEXP|aRPLT
21	35343 32216	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8BEXP|aBELT
22	35343 32513	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8AETHUN|aRPLT
23	35343 52213	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6BBNT|79RCR|8BEXP|aRPLT
24	35343 32214	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8BEXP|aSNIFST
25	35343 32215	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2TLV|3ZMB|4VULN|5ASPD|6TBNT|79RCR|8BEXP|aLEGI
