0	Index      	 *	Score 	Summary	Detail	
1	54111 13163	 * 	308.69	DCR|DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|2aVULN|3ASPD|4LIT|5RPLT|69RCR|7MDPS|8aDMG|aBPWR
2	62515 13123	 * 	295.85	DCR|DCR|1VULN|1MLV|1AAC|1ASPD|1CDMG	1AEFRZ|2VULN|3RAT|4ASPD|5LHND|6MLV|78RCR|9AAC|aCDMG
3	64315 13123	   	295.85	DCR|DCR|1VULN|1MLV|1AAC|1ASPD|1CDMG	1AEFRZ|2RAT|3ASPD|4VULN|5LHND|6MLV|78RCR|9AAC|aCDMG
4	15221 22313	 * 	294.27	DCR|DCR|1VULN|1TLV|1MLV|1DMG	18LHND|2BBNT|3DMG|4TLV|5VULN|6AEWIND|7aRCR|9MLV
5	15221 22413	   	294.27	DCR|DCR|1VULN|1TLV|1MLV|1DMG	19LHND|2BBNT|3DMG|4TLV|5VULN|6AEWIND|7aRCR|8MLV
6	15221 22443	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LHND|2BBNT|3DMG|4TLV|5VULN|6AEWIND|7aRCR|8MLV|9AEFRZ
7	11212 63146	 * 	293.92	DCR|DCR|2VULN|1TLV|2DUR	1aLHND|2ZMB|3RCVC|4aVULN|5TLV|6RAT|78RCR|9aDUR|aBPWR
8	14111 13163	   	293.83	DCR|DCR|2VULN|2DMG|1ASPD	1aLHND|2aVULN|3ASPD|4LIT|5RPLT|69RCR|7MDPS|8aDMG|aBPWR
9	11213 13164	 * 	291.86	DCR|DCR|2MLV|1VULN|1AAC	1LHND|2ZMB|3RCVC|4VULN|5RAT|69MLV|78RCR|aAAC
10	11413 13164	   	291.86	DCR|DCR|2MLV|1VULN|1AAC	13LHND|2ZMB|4VULN|5RAT|69MLV|78RCR|aAAC
11	11213 13146	 * 	290.41	DCR|DCR|2VULN|1MLV|2DUR	1aLHND|2ZMB|3RCVC|4aVULN|5RAT|6MLV|78RCR|9aDUR|aBPWR
12	11413 13146	   	290.41	DCR|DCR|2VULN|1MLV|2DUR	13aLHND|2ZMB|4aVULN|5RAT|6MLV|78RCR|9aDUR|aBPWR
13	62311 22166	 * 	290.28	ACR|DCR|2VULN|1TLV|1MLV|1DMG	1AEFRZ|2aVULN|38RCR|4TLV|5RAT|6DUST|7DMG|9MLV
14	11212 63164	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9MLV|aDUR
15	11213 13166	   	288.61	DCR|DCR|2MLV|1VULN|1CDMG	1LHND|2ZMB|3RCVC|4VULN|5RAT|69MLV|78RCR|aCDMG
16	11413 13166	   	288.61	DCR|DCR|2MLV|1VULN|1CDMG	13LHND|2ZMB|4VULN|5RAT|69MLV|78RCR|aCDMG
17	11212 63141	   	287.17	DCR|DCR|2VULN|1TLV	1LHND|2ZMB|3RCVC|4aVULN|5TLV|6RAT|78RCR|9DUR
18	11412 63141	   	287.17	DCR|DCR|2VULN|1TLV	13LHND|2ZMB|4aVULN|5TLV|6RAT|78RCR|9DUR
19	11213 13141	   	283.67	DCR|DCR|2VULN|1MLV	1LHND|2ZMB|3RCVC|4aVULN|5RAT|6MLV|78RCR|9DUR
20	11413 13141	   	283.67	DCR|DCR|2VULN|1MLV	13LHND|2ZMB|4aVULN|5RAT|6MLV|78RCR|9DUR
21	36213 13141	   	283.57	DCR|DCR|2VULN|1MLV	1ZMB|2AETHUN|3RCVC|4aVULN|5RAT|6MLV|78RCR|9DUR
22	11213 13161	   	283.27	DCR|DCR|2MLV|1VULN	1LHND|2ZMB|3RCVC|4VULN|5RAT|69MLV|78RCR|aDUR
23	11413 13161	   	283.27	DCR|DCR|2MLV|1VULN	13LHND|2ZMB|4VULN|5RAT|69MLV|78RCR|aDUR
24	11212 63123	   	283.20	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9AAC|aCDMG
25	11412 63123	   	283.20	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	13LHND|2ZMB|4VULN|5TLV|6RAT|78RCR|9AAC|aCDMG
26	62515 13121	   	282.20	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AEFRZ|2VULN|3RAT|4ASPD|5LHND|6MLV|78RCR|9AAC|aRCVC
27	64315 13121	   	282.20	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AEFRZ|2RAT|3ASPD|4VULN|5LHND|6MLV|78RCR|9AAC|aRCVC
28	62515 13122	   	282.10	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AEFRZ|2VULN|3RAT|4ASPD|5LHND|6MLV|78RCR|9AAC|aMDPS
29	64315 13122	   	282.10	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AEFRZ|2RAT|3ASPD|4VULN|5LHND|6MLV|78RCR|9AAC|aMDPS
30	11213 13163	   	281.58	DCR|DCR|2MLV|1VULN|2RAT	1LHND|2ZMB|3RCVC|4VULN|5aRAT|69MLV|78RCR
31	11413 13163	   	281.58	DCR|DCR|2MLV|1VULN|2RAT	13LHND|2ZMB|4VULN|5aRAT|69MLV|78RCR
32	11212 63161	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9MLV|aBELT
33	11212 63162	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9MLV|aLWND
34	11212 63163	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9MLV|aLIT
35	11212 63165	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9MLV|aFEWX
36	11412 63161	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	13LHND|2ZMB|4VULN|5TLV|6RAT|78RCR|9MLV|aBELT
37	11412 63162	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	13LHND|2ZMB|4VULN|5TLV|6RAT|78RCR|9MLV|aLWND
38	11412 63163	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	13LHND|2ZMB|4VULN|5TLV|6RAT|78RCR|9MLV|aLIT
39	11212 63166	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1LHND|2ZMB|3RCVC|4VULN|5TLV|6RAT|78RCR|9MLV|aLEGI
40	11213 13123	   	279.70	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1LHND|2ZMB|3RCVC|4VULN|5RAT|6MLV|78RCR|9AAC|aCDMG
41	11413 13123	   	279.70	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	13LHND|2ZMB|4VULN|5RAT|6MLV|78RCR|9AAC|aCDMG
42	36213 13123	   	279.60	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1ZMB|2AETHUN|3RCVC|4VULN|5RAT|6MLV|78RCR|9AAC|aCDMG
43	64215 13123	   	279.60	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2RAT|3ZMB|4VULN|5LHND|6MLV|78RCR|9AAC|aCDMG
44	62515 13133	   	278.96	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AEFRZ|2VULN|3RAT|4ASPD|5LHND|6MLV|78RCR|9RMIN|aCDMG
45	64315 13133	   	278.96	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AEFRZ|2RAT|3ASPD|4VULN|5LHND|6MLV|78RCR|9RMIN|aCDMG
46	14532 14331	 * 	278.76	DCR|DCR|3VULN|1AAC	19LHND|269VULN|3MDPS|469FRZFST|5AAC|69BPWR|7aRCR|8RCVC
