0	Index      	 *	Score 	Summary	Detail	
1	62331 32647	 * 	266.08	DCR|3VULN|2MLV|2DMG	139VULN|25RMIN|4BBNT|69DMG|7MBVNT|89MLV|9BPWR|aRCR
2	42321 43783	 * 	265.58	DCR|DCR|1VULN|1TLV|1DMG	1FEWX|2RMIN|3VULN|4ERES|5MBVNT|6RPLT|7DMG|8TLV|9aRCR
3	52321 43783	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1BEXP|2RMIN|3VULN|4ERES|5MBVNT|6RPLT|7DMG|8TLV|9aRCR
4	12311 28638	 * 	263.87	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3VULN|4MLV|5MBVNT|6ERES|7CDMG|8DUR|9aRCR
5	12321 48638	   	263.87	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3VULN|4ERES|5MBVNT|6MLV|7CDMG|8DUR|9aRCR
6	42321 43483	 * 	262.08	DCR|DCR|1VULN|1MLV|1DMG	1FEWX|2RMIN|3VULN|4ERES|5MBVNT|6RPLT|7DMG|8MLV|9aRCR
7	62421 43483	   	262.08	DCR|DCR|1VULN|1MLV|1DMG	1VULN|2RMIN|3FEWX|4ERES|5MBVNT|6RPLT|7DMG|8MLV|9aRCR
8	52321 43483	   	261.98	DCR|DCR|1VULN|1MLV|1DMG	1BEXP|2RMIN|3VULN|4ERES|5MBVNT|6RPLT|7DMG|8MLV|9aRCR
9	53621 43483	   	261.98	DCR|DCR|1VULN|1MLV|1DMG	1BEXP|2VULN|3RMIN|4ERES|5MBVNT|6RPLT|7DMG|8MLV|9aRCR
10	63331 32624	 * 	259.53	DCR|4VULN|2TLV|2CDMG	126aVULN|34FEWX|5BBNT|7aCDMG|8RCR|9aTLV|aBPWR
11	63211 32624	   	259.33	DCR|4VULN|2TLV|2CDMG	126aVULN|34DUST|5BBNT|7aCDMG|8RCR|9aTLV|aBPWR
12	23333 64121	 * 	259.08	DCR|2VULN|2MLV|2ASPD|2RAT	1LIT|29ASPD|3DUR|46VULN|59RAT|7LWND|89MLV|9BPWR|aRCR
13	62333 14223	 * 	257.74	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	13VULN|2RMIN|4BBNT|5AART|6TLV|7AAC|8DMG|9RCR|aMLV
14	23333 23261	 * 	256.06	DCR|1VULN|1TLV|2ASPD|1MLV|1AAC|2RAT	17LIT|27ASPD|3DUR|4VULN|57RAT|6AAC|7BPWR|8TLV|9MLV|aRCR
15	11611 28238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LHND|3RMIN|4MLV|5MBVNT|6ERES|7CDMG|8VULN|9aRCR
16	12111 28238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3LWND|4MLV|5MBVNT|6ERES|7CDMG|8VULN|9aRCR
17	12111 72738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3LWND|4MLV|5MBVNT|6VULN|7CDMG|8ERES|9aRCR
18	12112 38238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3LWND|4MLV|5ERES|6MBVNT|7CDMG|8VULN|9aRCR
19	12211 28238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3LHND|4MLV|5MBVNT|6ERES|7CDMG|8VULN|9aRCR
20	12211 72738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3LHND|4MLV|5MBVNT|6VULN|7CDMG|8ERES|9aRCR
21	12311 42738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2RMIN|3VULN|4MLV|5MBVNT|6LHND|7CDMG|8ERES|9aRCR
22	13611 42738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2VULN|3RMIN|4MLV|5MBVNT|6LHND|7CDMG|8ERES|9aRCR
23	52111 28238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2RMIN|3LWND|4MLV|5MBVNT|6ERES|7CDMG|8VULN|9aRCR
24	52112 38238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2RMIN|3LWND|4MLV|5ERES|6MBVNT|7CDMG|8VULN|9aRCR
25	52211 28238	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2RMIN|3LHND|4MLV|5MBVNT|6ERES|7CDMG|8VULN|9aRCR
26	52311 42738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2RMIN|3VULN|4MLV|5MBVNT|6LHND|7CDMG|8ERES|9aRCR
27	62111 42738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2RMIN|3LWND|4MLV|5MBVNT|6BEXP|7CDMG|8ERES|9aRCR
28	62211 42738	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2RMIN|3LHND|4MLV|5MBVNT|6BEXP|7CDMG|8ERES|9aRCR
29	23535 13231	   	255.27	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3AME|4RCVC|5RAT|6MLV|79RCR|8CDMG|aDUR
30	23635 13231	   	255.27	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3RCVC|4CGEN|5RAT|6MLV|79RCR|8CDMG|aDUR
31	23263 62261	 * 	255.23	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1LIT|2ASPD|3TLV|47MLV|5DUST|6DMG|8VULN|9RAT|aRCR
32	31611 34226	 * 	254.73	DCR|2MLV|2TLV|1VULN|1DMG	1TBNT|27CGEN|3AART|4BEXP|57TLV|67MLV|7BPWR|8DMG|9RCR|aVULN
33	61321 22543	 * 	254.05	DCR|4VULN|3ASPD|1AAC	1578VULN|2LHND|378BEXP|4AAC|678ASPD|78BPWR|9MDPS|aRCR
34	13156 23532	 * 	253.75	DCR|2VULN|2TLV|1MLV|2RAT|1CDMG	1DUST|26VULN|3CDMG|48RAT|56TLV|6BPWR|7ERES|9RCR|aMLV
35	63111 42838	 * 	253.28	DCR|DCR|2VULN|1CDMG	12VULN|3LWND|4DUST|5MBVNT|6LHND|7CDMG|8RMIN|9aRCR
36	63231 32624	   	252.92	DCR|4VULN|2TLV|1CDMG	126aVULN|3aDUST|4AEPOI|5BBNT|7CDMG|8RCR|9aTLV|aBPWR
37	63322 26521	   	252.36	DCR|3VULN|2MLV|1AAC	129VULN|3FEWX|4AAC|59MLV|6RAT|7LIT|89LHND|9BPWR|aRCR
38	23243 33311	   	252.01	DCR|2TLV|1VULN|1MLV|1DMG|1ASPD	1LIT|2ASPD|37TLV|4DUR|5RAT|6MLV|8DMG|9VULN|aRCR
39	62333 14226	 * 	251.29	DCR|3VULN|1TLV|1DMG|1AAC	13aVULN|2RMIN|4BBNT|5AART|6TLV|7AAC|8DMG|9RCR
40	23433 64121	   	250.68	DCR|2VULN|2MLV|2ASPD|2RAT	1LIT|29ASPD|3BEXP|46VULN|59RAT|7LWND|89MLV|9BPWR|aRCR
41	13321 15165	   	249.33	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|25VULN|3FEWX|4AAC|6MLV|7TLV|8LIT|9RCR|aDMG
42	13321 15635	   	249.33	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|25VULN|3FEWX|4AAC|6MLV|7TLV|8LWND|9DMG|aRCR
43	13324 36215	 * 	249.02	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	1DUST|2VULN|3FEWX|4AAC|5DUR|69DMG|7MLV|8TLV|aRCR
44	36621 31336	 * 	248.70	DCR|3MLV|1TLV|1DMG|1AAC	1TBNT|2DMG|3AART|489MLV|5AEFBLL|6AAC|7TLV|aRCR
45	23563 62213	   	248.30	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1LIT|2ASPD|3AME|47MLV|5DUST|6DMG|8VULN|9TLV|aRCR
46	23263 62353	   	248.20	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	1LIT|2ASPD|3TLV|47MLV|5DUST|6DMG|8ERES|9VULN|aRCR
47	33324 14113	   	248.14	DCR|DCR|2VULN	1TBNT|2FEWX|39VULN|4BELT|5LIT|6DUR|7CGEN|8aRCR
48	32324 14113	   	248.04	DCR|DCR|2VULN	1TBNT|2DUST|39VULN|4BELT|5LIT|6DUR|7CGEN|8aRCR
49	35324 14113	   	248.04	DCR|DCR|2VULN	1TBNT|2BEXP|39VULN|4BELT|5LIT|6DUR|7CGEN|8aRCR
50	32325 12113	   	247.94	DCR|DCR|2VULN	1TBNT|2DUST|39VULN|4BELT|5ERES|6DUR|7LIT|8aRCR
51	32326 12113	   	247.94	DCR|DCR|2VULN	1TBNT|2DUST|39VULN|4BELT|5DUR|6ERES|7LIT|8aRCR
52	36622 32622	   	247.40	DCR|2VULN|1TLV|1MLV|1DMG|2AART	1TBNT|2DMG|3aAART|4MLV|56VULN|7AME|8TLV|9RCR
53	13156 23332	   	247.04	DCR|2VULN|2TLV|1MLV|1CDMG	1DUST|26VULN|3CDMG|4RAT|56TLV|6BPWR|78ERES|9RCR|aMLV
54	36524 12313	   	246.98	DCR|DCR|1MLV|1DMG|1AAC	1TBNT|2DMG|3ZMB|4MLV|5AAC|6LHND|7aRCR|8AEFBLL|9RPLT
55	23535 13236	   	246.96	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3AME|4RCVC|5RAT|6MLV|79RCR|8CDMG|aBBNT
56	23635 13236	   	246.96	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3RCVC|4CGEN|5RAT|6MLV|79RCR|8CDMG|aTBNT
57	23535 13232	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3AME|4RCVC|5RAT|6MLV|79RCR|8CDMG|aMSLFST
58	23535 13233	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3AME|4RCVC|5RAT|6MLV|79RCR|8CDMG|aAEWIND
59	23535 13234	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3AME|4RCVC|5RAT|6MLV|79RCR|8CDMG|aERES
60	23535 13235	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3AME|4RCVC|5RAT|6MLV|79RCR|8CDMG|aBEXP
61	23635 13232	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3RCVC|4CGEN|5RAT|6MLV|79RCR|8CDMG|aMSLFST
62	23635 13233	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3RCVC|4CGEN|5RAT|6MLV|79RCR|8CDMG|aAETHUN
63	23635 13234	   	246.86	DCR|DCR|1MLV|1ASPD|1CDMG	1LIT|2ASPD|3RCVC|4CGEN|5RAT|6MLV|79RCR|8CDMG|aERES
