0	Index      	 *	Score 	Summary	Detail	
1	14116 14234	 * 	296.18	DCR|DCR|2VULN|1TLV|1ASPD	1DUR|28VULN|3BEXP|4ASPD|5TLV|6ERES|7aRCR|9MBVNT
2	14453 22213	 * 	292.28	DCR|3VULN|3MLV|1TLV	1DUR|248VULN|34aMLV|4BPWR|5DUST|6FEWX|7RCR|9TLV
3	14351 13243	 * 	287.50	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9TLV|aCDMG
4	14351 13341	 * 	287.34	DCR|DCR|1VULN|1TLV|1DMG|2DUR|1SELL	18DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|9RAT|aTLV
5	14351 13612	 * 	286.59	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8BBNT|9ASPD|aMLV
6	14513 24234	 * 	286.43	DCR|DCR|3VULN|1ASPD	1DUR|258VULN|3LHND|4ASPD|6FEWX|7aRCR|9MBVNT
7	14513 32544	   	286.43	DCR|DCR|3VULN|1ASPD	1DUR|258VULN|3LHND|4ASPD|6LWND|7MBVNT|9aRCR
8	14532 24234	   	286.43	DCR|DCR|3VULN|1ASPD	1DUR|248VULN|3LHND|5ASPD|6FEWX|7aRCR|9MBVNT
9	14532 32544	   	286.43	DCR|DCR|3VULN|1ASPD	1DUR|248VULN|3LHND|5ASPD|6LWND|7MBVNT|9aRCR
10	14351 11123	 * 	285.55	DCR|DCR|2VULN|2DMG|1SELL	1DUR|28VULN|3TBNT|4SELL|59DMG|6aRCR|7BELT
11	11213 14262	   	284.59	DCR|DCR|2VULN|1ASPD|2DUR|1CDMG	16DUR|2FEWX|3LHND|4ASPD|58VULN|79RCR|aCDMG
12	11235 14262	   	284.59	DCR|DCR|2VULN|1ASPD|2DUR|1CDMG	16DUR|2FEWX|3LHND|48VULN|5ASPD|79RCR|aCDMG
13	14111 14262	   	284.49	DCR|DCR|2VULN|1ASPD|2DUR|1CDMG	16DUR|28VULN|3BEXP|4ASPD|5LHND|79RCR|aCDMG
14	14351 13613	 * 	284.21	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1DUR|2aVULN|3TBNT|4SELL|5DMG|67RCR|8BBNT|9ASPD
15	14351 13233	 * 	283.99	DCR|DCR|1VULN|1MLV|1DMG|1CDMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9MLV|aCDMG
