0	Index      	 *	Score 	Summary	Detail	
1	24431 16321	 * 	294.75	DCR|DCR|3DMG|3CDMG|1AAC	189ZMB|2DUR|3AART|489CDMG|589DMG|6aRCR|7AAC|89BPWR
2	43342 33315	 * 	286.01	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DMG|2VULN|3MULHEA|4AAC|5MLV|6RAT|7aRCR|8TBNT|9CGEN
3	43343 33325	   	285.91	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DMG|2VULN|3MULHEA|4AAC|5ERES|6RAT|7aRCR|8TBNT|9MLV
4	42335 12335	 * 	283.37	DCR|DCR|2DMG|1VULN|1TLV	19DMG|2TLV|3RCVC|4RPLT|5VULN|6BBNT|7LWND|8aRCR
5	42135 12335	   	283.27	DCR|DCR|2DMG|1VULN|1TLV	19DMG|2TLV|3AEWIND|4RPLT|5VULN|6BBNT|7LWND|8aRCR
6	42235 12335	   	283.27	DCR|DCR|2DMG|1VULN|1TLV	19DMG|2TLV|3AEFBLL|4RPLT|5VULN|6BBNT|7LWND|8aRCR
7	43332 15523	 * 	277.15	DCR|2VULN|2MLV|2ASPD|1DMG|2CDMG	1DMG|2aVULN|3MULHEA|45MLV|6aASPD|7LIT|8aCDMG|9RCR|aBPWR
8	16353 32351	 * 	273.77	ACR|ACR|3VULN|1TLV|1MLV|1AAC	1CGEN|24RCR|3AAC|5TLV|6DUR|789VULN|aMLV
9	36523 22161	 * 	273.15	DCR|2VULN|2MLV|3DMG|1CDMG	1aBEXP|2CDMG|358DMG|4RCVC|6RCR|7aVULN|9aMLV|aBPWR
10	41623 22161	   	273.15	DCR|2VULN|2MLV|3DMG|1CDMG	158DMG|2aBEXP|3CDMG|4RCVC|6RCR|7aVULN|9aMLV|aBPWR
11	61623 22161	   	273.15	DCR|2VULN|2MLV|3DMG|1CDMG	1RCVC|258DMG|3aBEXP|4CDMG|6RCR|7aVULN|9aMLV|aBPWR
12	21631 63231	   	271.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|2SELL	1ZMB|2BEXP|34SELL|5CDMG|6aRCR|7ASPD|8VULN|9MLV
13	43245 21222	 * 	269.38	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1DMG|26VULN|3RAT|4LHND|5CDMG|7RCR|8MLV|9ASPD|aTLV
14	52322 22135	 * 	268.23	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1ERES|2TLV|3RCVC|4CDMG|5MLV|6RCR|79aVULN|8DMG
15	52122 22135	   	268.13	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1ERES|2TLV|3AEWIND|4CDMG|5MLV|6RCR|79aVULN|8DMG
16	52222 22135	   	268.13	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1ERES|2TLV|3AEFRZ|4CDMG|5MLV|6RCR|79aVULN|8DMG
17	36311 34215	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2CDMG|3LIT|4VULN|5TLV|6DUR|7LHND|8FEWX|9aRCR
18	23614 23121	 * 	267.04	DCR|2VULN|2DMG|1TLV|1AAC|2DUR|1CDMG	1ZMB|2aVULN|3BEXP|4TLV|5aDUR|6RCR|7CDMG|8aDMG|9AAC|aBPWR
19	61243 72262	 * 	266.65	DCR|2VULN|2TLV|2DMG|2ASPD	1RCVC|28DMG|3MBVNT|45TLV|68VULN|78ASPD|8BPWR|9RCR|aTBNT
20	61243 72263	   	266.65	DCR|2VULN|2TLV|2DMG|2ASPD	1RCVC|28DMG|3MBVNT|45TLV|68VULN|78ASPD|8BPWR|9RCR|aBBNT
21	61243 72264	   	266.65	DCR|2VULN|2TLV|2DMG|2ASPD	1RCVC|28DMG|3MBVNT|45TLV|68VULN|78ASPD|8BPWR|9RCR|aAME
22	36611 33221	 * 	266.63	DCR|DCR|1TLV|2CDMG|1AAC|1ASPD	1BEXP|25CDMG|3TLV|4LHND|6aRCR|7AAC|8RPLT|9ASPD
23	36661 33221	   	266.63	DCR|DCR|1TLV|2CDMG|1AAC|1ASPD	1BEXP|25CDMG|3TLV|4FEWX|6aRCR|7AAC|8RPLT|9ASPD
24	61243 72261	   	266.55	DCR|2VULN|2TLV|2DMG|2ASPD	1RCVC|28DMG|3MBVNT|45TLV|68VULN|78ASPD|8BPWR|9RCR|aDUST
25	42335 12315	   	265.78	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2TLV|3RCVC|4RPLT|5VULN|6BBNT|79LWND|8aRCR
26	42135 12315	   	265.68	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2TLV|3AEWIND|4RPLT|5VULN|6BBNT|79LWND|8aRCR
27	42235 12315	   	265.68	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2TLV|3AEFBLL|4RPLT|5VULN|6BBNT|79LWND|8aRCR
28	23333 63355	   	265.21	DCR|DCR|1VULN|1MLV|1ASPD	1ZMB|2VULN|3MULHEA|4MLV|5RAT|6aRCR|7ERES|8TBNT|9ASPD
29	52322 22235	   	265.06	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1ERES|2TLV|3RCVC|4CDMG|5MLV|6RCR|79aVULN|8AAC
30	52122 22235	   	264.96	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1ERES|2TLV|3AEWIND|4CDMG|5MLV|6RCR|79aVULN|8AAC
31	52222 22235	   	264.96	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1ERES|2TLV|3AEFRZ|4CDMG|5MLV|6RCR|79aVULN|8AAC
