0	Index      	 *	Score 	Summary	Detail	
1	15425 21232	 * 	293.48	DCR|2VULN|2MLV|2TLV|2AAC	1MDPS|27AAC|3aMLV|4DUST|5aVULN|6aTLV|8AART|9RCR|aBPWR
2	52362 31432	 * 	283.52	DCR|2VULN|2MLV|2DMG|1AAC|1CDMG	19DMG|2AAC|39MLV|4AETHUN|5AART|6RCR|7BBNT|89VULN|9BPWR|aCDMG
3	52362 32432	   	283.52	DCR|2VULN|2MLV|2DMG|1AAC|1CDMG	19DMG|2AAC|39MLV|4AETHUN|5AART|6RCR|7TBNT|89VULN|9BPWR|aCDMG
4	52262 31432	 * 	279.39	DCR|2VULN|2TLV|2DMG|1AAC|1CDMG	19DMG|2AAC|39TLV|4AETHUN|5AART|6RCR|7BBNT|89VULN|9BPWR|aCDMG
5	52262 32432	   	279.39	DCR|2VULN|2TLV|2DMG|1AAC|1CDMG	19DMG|2AAC|39TLV|4AETHUN|5AART|6RCR|7TBNT|89VULN|9BPWR|aCDMG
6	12413 34325	 * 	279.11	DCR|3VULN|3MLV|3CDMG	1MDPS|279MLV|36RMIN|479CDMG|579VULN|79BPWR|8BBNT|aRCR
7	61311 61361	 * 	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1TBNT|2MDPS|3ASPD|4ERES|5VULN|69RCR|7TLV|8CDMG|aFEWX
8	61311 61363	   	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1TBNT|2MDPS|3ASPD|4ERES|5VULN|69RCR|7TLV|8CDMG|aLIT
9	61311 61362	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1TBNT|2MDPS|3ASPD|4ERES|5VULN|69RCR|7TLV|8CDMG|aDUST
10	52362 31433	   	278.17	DCR|2VULN|2MLV|2DMG|1AAC	19DMG|2AAC|39MLV|4AETHUN|5AART|6RCR|7BBNT|89VULN|9BPWR|aDUR
11	52362 32433	   	278.17	DCR|2VULN|2MLV|2DMG|1AAC	19DMG|2AAC|39MLV|4AETHUN|5AART|6RCR|7TBNT|89VULN|9BPWR|aDUR
12	52262 31433	   	274.05	DCR|2VULN|2TLV|2DMG|1AAC	19DMG|2AAC|39TLV|4AETHUN|5AART|6RCR|7BBNT|89VULN|9BPWR|aDUR
13	52262 32433	   	274.05	DCR|2VULN|2TLV|2DMG|1AAC	19DMG|2AAC|39TLV|4AETHUN|5AART|6RCR|7TBNT|89VULN|9BPWR|aDUR
14	52362 31431	   	269.87	DCR|2VULN|2MLV|2DMG|1AAC	19DMG|2AAC|39MLV|4AETHUN|5AART|6RCR|7BBNT|89VULN|9BPWR|aCGEN
15	52362 32431	   	269.87	DCR|2VULN|2MLV|2DMG|1AAC	19DMG|2AAC|39MLV|4AETHUN|5AART|6RCR|7TBNT|89VULN|9BPWR|aCGEN
16	12156 61232	   	269.22	DCR|2VULN|2MLV|2DMG|1ASPD	1MDPS|2aMLV|3aLHND|4ASPD|56DMG|7aVULN|8AART|9RCR|aBPWR
17	52262 31431	   	265.74	DCR|2VULN|2TLV|2DMG|1AAC	19DMG|2AAC|39TLV|4AETHUN|5AART|6RCR|7BBNT|89VULN|9BPWR|aCGEN
18	52262 32431	   	265.74	DCR|2VULN|2TLV|2DMG|1AAC	19DMG|2AAC|39TLV|4AETHUN|5AART|6RCR|7TBNT|89VULN|9BPWR|aCGEN
19	52354 11131	   	265.73	DCR|2VULN|2MLV|1DMG|1AAC|1CDMG	1DMG|2AAC|36MLV|46BEXP|5AART|6BPWR|78VULN|9RCR|aCDMG
20	11234 24136	   	264.48	DCR|DCR|1VULN|1TLV|1ASPD|1SELL	1MDPS|2SELL|3BELT|4VULN|5ASPD|6BBNT|7ZMB|8TLV|9aRCR
21	53324 11131	   	263.89	DCR|2VULN|2MLV|1DMG|2DUR|1CDMG	1DMG|26DUR|3RMIN|46MLV|5AART|6BPWR|78VULN|9RCR|aCDMG
