0	Index      	 *	Score 	Summary	Detail	
1	15133 34533	 * 	304.10	橙3等级3易伤2伤害1暴击1挖怪	1挖青259等级389易伤4挖怪6暴击79伤害9序列升级a核
2	42163 25321	 * 	302.22	橙橙1等级1易伤1伤害1烈焰减费	1策反2时间3易伤4最后敌人5等级6敌人爆炸7伤害89核a烈焰减费
3	42163 25323	   	295.80	橙橙1等级1易伤1伤害1攻速	1策反2时间3易伤4最后敌人5等级6敌人爆炸7伤害89核a攻速
4	15316 22533	 * 	289.02	橙2等级2易伤1火球减费2时间1暴击	1挖青29等级39时间4随机技能5雷电减费6火球减费79易伤8核9序列升级a暴击
5	15313 63513	   	286.67	橙2等级2易伤2时间1暴击2随机技能1全技能	1挖青28等级35时间48随机技能6核78易伤8序列升级9暴击a全技能
6	31156 43321	 * 	284.81	紫橙2易伤1等级	1掉矿2最后敌人36易伤4低血量敌人59核7加一8时间a等级
7	42162 25321	   	282.15	橙橙1等级1易伤1伤害	1策反2时间3易伤4最后敌人5金币生成6敌人爆炸7伤害89核a等级
8	42163 25322	   	282.05	橙橙1等级1易伤1伤害	1策反2时间3易伤4最后敌人5等级6敌人爆炸7伤害89核a挖尘
9	32146 15321	   	282.05	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4策反5敌人爆炸6低血量敌人7伤害89核a等级
10	15313 63521	   	281.98	橙2等级2易伤1火球减费2时间2随机技能	1挖青28等级35时间48随机技能6核78易伤8序列升级9掉矿a火球减费
11	15316 22532	   	281.98	橙2等级2易伤1火球减费2时间2随机技能	1挖青29等级39时间4a随机技能5雷电减费6火球减费79易伤8核9序列升级
12	42152 15321	   	281.95	橙橙1等级1易伤1伤害	1策反2时间3易伤4掉矿5挖尘6低血量敌人7伤害89核a等级
13	31142 55321	   	281.95	橙橙1等级1易伤1伤害	1掉矿2最后敌人3易伤4策反5挖尘6时间7伤害89核a等级
14	32142 15321	   	281.95	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4策反5挖尘6低血量敌人7伤害89核a等级
15	32116 61162	   	281.85	橙橙1等级1易伤1烈焰减费	1掉矿2时间3易伤4随机技能5烈焰减费6a核7雷电减费8狙击对直升9等级
16	32142 45321	   	281.85	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4策反5挖尘6雷电减费7伤害89核a等级
17	32422 63162	   	281.85	橙橙1等级1易伤1毒气减费	1掉矿2时间3毒气减费4雷电减费5随机技能6a核7易伤8狙击对直升9等级
18	15156 22231	 * 	281.05	紫橙2等级1易伤	1挖青2a等级3易伤4低血量敌人58核6防空对直升7双倍秒伤9时间
19	15166 22231	   	281.05	紫橙2等级1易伤	1挖青2a等级3易伤4最后敌人58核6防空对直升7双倍秒伤9时间
20	11221 53363	   	279.70	紫橙1等级1易伤1暴击1全技能	1挖青27核3雷电4暴击5最后敌人6全技能8时间9等级a易伤
21	23132 22242	   	279.00	紫橙1等级1易伤1火球减费1暴击	1立即金币2等级3掉矿47核5敌人爆炸6加农对毒8暴击9易伤a火球减费
