0	Index      	 *	Score 	Summary	Detail	
1	31441 22211	 * 	285.19	橙橙2伤害1易伤1矿等1全技能	1赏金邻近2矿等3全技能4易伤58伤害6狙击对毒7a核9挖尘
2	15311 24511	 * 	284.13	橙橙2易伤1攻速1暴击	1时间24易伤3暴击5随机矿6敌人爆炸79核8加一a攻速
3	22311 24517	 * 	282.24	橙橙2易伤1伤害1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a伤害
4	23311 24517	   	282.14	橙橙2易伤1伤害1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a伤害
5	22311 24511	   	275.83	橙橙2易伤1攻速1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a攻速
6	22316 24511	   	275.83	橙橙2易伤1攻速1暴击	14易伤2基地爆炸3暴击5等级6低血量敌人79核8加一a攻速
7	23311 24511	   	275.73	橙橙2易伤1攻速1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a攻速
8	23316 24511	   	275.73	橙橙2易伤1攻速1暴击	14易伤2挖尘3暴击5等级6低血量敌人79核8加一a攻速
9	31443 22311	   	275.72	橙橙2易伤1矿等1全技能	1赏金邻近2矿等3全技能49易伤5技能6狙击对毒7a核8最后敌人
10	15311 24512	   	270.48	橙橙2易伤1暴击	1时间24易伤3暴击5随机矿6敌人爆炸79核8加一a低血量敌人
11	15311 24513	   	270.48	橙橙2易伤1暴击	1时间24易伤3暴击5随机矿6敌人爆炸79核8加一a雷电
12	15311 24514	   	270.48	橙橙2易伤1暴击	1时间24易伤3暴击5随机矿6a敌人爆炸79核8加一
13	22311 24518	 * 	268.49	橙橙2易伤2暴击	14易伤2基地爆炸3a暴击5随机矿6敌人爆炸79核8加一
14	23311 24518	   	268.39	橙橙2易伤2暴击	14易伤2挖尘3a暴击5随机矿6敌人爆炸79核8加一
15	35441 22211	   	267.56	橙橙2伤害1易伤1全技能	1赏金邻近2技能点3全技能4易伤58伤害6狙击对毒7a核9挖尘
16	22165 22263	 * 	267.23	紫橙2易伤2伤害1平台	1a易伤2a基地爆炸37敌人爆炸4等级56核8平台9a伤害a序列升级
17	23165 22263	   	267.03	紫橙2易伤2伤害1平台	1a易伤2a挖尘37敌人爆炸4等级56核8平台9a伤害a序列升级
18	22311 24512	   	262.18	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a低血量敌人
19	22311 24513	   	262.18	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a雷电
20	22311 24514	   	262.18	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6a敌人爆炸79核8加一
21	22316 24512	   	262.18	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5等级6a低血量敌人79核8加一
22	22316 24513	   	262.18	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5等级6低血量敌人79核8加一a最后敌人
23	22316 24514	   	262.18	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5等级6低血量敌人79核8加一a技能
24	22311 24516	   	262.08	橙橙2易伤1暴击	14易伤2基地爆炸3暴击5随机矿6敌人爆炸79核8加一a掉矿
25	23311 24512	   	262.08	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a低血量敌人
26	23311 24513	   	262.08	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a雷电
27	23311 24514	   	262.08	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6a敌人爆炸79核8加一
28	23316 24512	   	262.08	橙橙2易伤1暴击	14易伤2挖尘3暴击5等级6a低血量敌人79核8加一
29	23316 24513	   	262.08	橙橙2易伤1暴击	14易伤2挖尘3暴击5等级6低血量敌人79核8加一a最后敌人
30	23316 24514	   	262.08	橙橙2易伤1暴击	14易伤2挖尘3暴击5等级6低血量敌人79核8加一a技能
31	23311 24516	   	261.98	橙橙2易伤1暴击	14易伤2挖尘3暴击5随机矿6敌人爆炸79核8加一a掉矿
32	21531 32461	   	258.09	橙橙2易伤1全技能	14易伤2立即金币346掉矿4序列升级5赏金塔7全技能8a核9基地爆炸
33	35443 22311	   	258.09	橙橙2易伤1全技能	1赏金邻近2技能点3全技能49易伤5技能6狙击对毒7a核8最后敌人
34	34512 11241	   	257.65	紫橙2易伤1伤害1全技能	1赏金邻近2伤害35易伤4a核6时间7寒冰对甲8掉矿9全技能
35	22165 22213	 * 	255.69	紫橙2易伤2攻速1平台	1a易伤2a基地爆炸37敌人爆炸4等级56核8平台9a攻速a序列升级
36	22665 23213	   	255.59	紫橙2易伤2攻速1平台	1a易伤2a基地爆炸3挖尘4等级56核7立即金币8平台9a攻速a序列升级
37	23165 22213	   	255.49	紫橙2易伤2攻速1平台	1a易伤2a挖尘37敌人爆炸4等级56核8平台9a攻速a序列升级
38	21565 23213	   	255.39	紫橙2易伤2攻速1平台	1a易伤27立即金币3a掉矿4双倍秒伤56核8平台9a攻速a序列升级
