0	Index      	 *	Score 	Summary	Detail	
1	21112 52532	 * 	286.41	橙橙1易伤1伤害1矿等2时间1攻速1策反	1矿等2金币生成3a时间4伤害5攻速6策反7易伤89核
2	22121 34311	 * 	284.13	橙橙2易伤1矿等1平台	1矿等2时间34易伤5最后敌人6平台7额外掉落8敌人爆炸9a核
3	22223 22311	   	284.13	橙橙2易伤1矿等1平台	1矿等2时间3最后敌人47易伤5额外掉落6平台8敌人爆炸9a核
4	32156 32532	 * 	283.45	橙橙2易伤1伤害2时间	1技能2低血量敌人35易伤4伤害6a时间7核弹89核
5	23624 23325	   	281.21	橙橙1易伤1伤害1矿等1暴击1平台1卖塔	1矿等2雷电3易伤4卖塔5平台69核7赏金塔8暴击a伤害
6	21112 52531	   	279.86	橙橙1易伤1伤害1矿等1攻速1策反	1矿等2金币生成3时间4伤害5攻速6策反7易伤89核a基地爆炸
7	21112 52533	   	279.76	橙橙1易伤1伤害1矿等1攻速1策反	1矿等2金币生成3时间4伤害5攻速6策反7易伤89核a加农对甲
8	21112 52535	   	279.76	橙橙1易伤1伤害1矿等1攻速1策反	1矿等2金币生成3时间4伤害5攻速6策反7易伤89核a掉矿
9	21112 52536	   	279.76	橙橙1易伤1伤害1矿等1攻速2策反	1矿等2金币生成3时间4伤害5攻速6a策反7易伤89核
10	32156 22532	   	276.90	橙橙2易伤1伤害	1技能2低血量敌人35易伤4伤害6敌人爆炸7核弹89核a时间
11	32156 32531	   	276.90	橙橙2易伤1伤害	1技能2低血量敌人35易伤4伤害6时间7核弹89核a基地爆炸
12	32156 32533	   	276.80	橙橙2易伤1伤害	1技能2低血量敌人35易伤4伤害6时间7核弹89核a基础对冰
13	36112 63532	   	272.23	橙橙1易伤1伤害1攻速1全技能	1技能2金币生成3时间4伤害5攻速6易伤7随机矿89核a全技能
14	23624 23324	   	270.81	橙橙1易伤1矿等1暴击1全技能1平台1卖塔	1矿等2雷电3易伤4卖塔5平台69核7赏金塔8暴击a全技能
15	12121 65335	 * 	270.14	橙橙1易伤3时间1伤害1全技能	1敌人爆炸2伤害3易伤4最后敌人589时间6全技能7a核
16	41112 52532	   	268.77	橙橙1易伤1伤害2时间1攻速1策反	1技能点2金币生成3a时间4伤害5攻速6策反7易伤89核
17	32156 22531	   	268.59	橙橙2易伤1伤害	1技能2低血量敌人35易伤4伤害6敌人爆炸7核弹89核a基地爆炸
18	32156 22533	   	268.49	橙橙2易伤1伤害	1技能2低血量敌人35易伤4伤害6敌人爆炸7核弹89核a挖尘
19	42121 34311	   	266.49	橙橙2易伤1平台	1技能点2时间34易伤5最后敌人6平台7额外掉落8敌人爆炸9a核
20	42223 22311	   	266.49	橙橙2易伤1平台	1技能点2时间3最后敌人47易伤5额外掉落6平台8敌人爆炸9a核
21	23624 23323	   	266.34	橙橙1易伤1矿等2平台1暴击1卖塔	1矿等2雷电3易伤4卖塔5a平台69核7赏金塔8暴击
22	25312 45311	   	265.35	橙橙1伤害1矿等2时间1攻速1暴击	1矿等2伤害3赏金塔47时间5攻速6暴击8额外掉落9a核
23	12332 13532	   	263.92	橙橙1易伤1伤害1攻速1全技能	1敌人爆炸2伤害3等级4技能5攻速6易伤7随机矿89核a全技能
24	52332 13532	   	263.82	橙橙1易伤1伤害1攻速1全技能	1挖尘2伤害3等级4技能5攻速6易伤7随机矿89核a全技能
25	31111 33534	 * 	262.74	橙橙2伤害1矿等1攻速	1技能2攻速3时间47伤害5最后敌人6敌人爆炸89核a矿等
26	31112 15534	   	262.74	橙橙2伤害1矿等1攻速	1技能2攻速3时间45伤害6最后敌人7敌人爆炸89核a矿等
27	22462 35133	 * 	262.71	橙橙2矿等2攻速1全技能	19矿等2时间3双倍秒伤4立即金币58攻速6全技能7a核
28	22223 21211	   	262.60	橙橙1易伤1矿等2时间1平台	1矿等28时间3最后敌人4易伤5额外掉落6平台7低血量敌人9a核
29	36112 63531	   	262.57	橙橙1易伤1伤害1攻速	1技能2金币生成3时间4伤害5攻速6易伤7随机矿89核a基地爆炸
30	36112 63533	   	262.57	橙橙1易伤1伤害1攻速	1技能2金币生成3时间4伤害5攻速6易伤7随机矿89核a低血量敌人
31	12142 22532	   	262.57	橙橙1易伤1伤害1攻速	1敌人爆炸2伤害3易伤4技能56基地爆炸7攻速89核a时间
32	12332 52532	   	262.57	橙橙1易伤1伤害1攻速	1敌人爆炸2伤害3等级4技能5攻速6金币生成7易伤89核a时间
33	32312 13532	   	262.57	橙橙1易伤1伤害1攻速	1技能2低血量敌人3等级4伤害5攻速6易伤7随机矿89核a时间
34	32312 52532	   	262.57	橙橙1易伤1伤害1攻速	1技能2低血量敌人3等级4伤害5攻速6金币生成7易伤89核a时间
35	22223 23411	   	262.50	橙橙1易伤1矿等2时间1平台	1矿等28时间3最后敌人4易伤5额外掉落6平台7a核9挖尘
36	52332 52532	   	262.47	橙橙1易伤1伤害1攻速	1挖尘2伤害3等级4技能5攻速6金币生成7易伤89核a时间
37	41112 52531	   	262.23	橙橙1易伤1伤害1攻速1策反	1技能点2金币生成3时间4伤害5攻速6策反7易伤89核a基地爆炸
38	41112 52533	   	262.13	橙橙1易伤1伤害1攻速1策反	1技能点2金币生成3时间4伤害5攻速6策反7易伤89核a加农对甲
39	23624 23326	   	261.15	橙橙1易伤1矿等1暴击1平台1卖塔	1矿等2雷电3易伤4卖塔5平台69核7赏金塔8暴击a基地爆炸
40	23624 23321	   	261.05	橙橙1易伤1矿等1暴击1平台1卖塔	1矿等2雷电3易伤4卖塔5平台69核7赏金塔8暴击a掉矿
41	23624 23322	   	261.05	橙橙1易伤1矿等1暴击1平台1卖塔	1矿等2雷电3易伤4卖塔5平台69核7赏金塔8暴击a技能点
42	21135 23163	   	260.04	橙橙1易伤1矿等1暴击	1矿等2金币生成3时间4暴击5基地爆炸6赏金塔7a核8最后敌人9易伤
43	22335 23163	   	260.04	橙橙1易伤1矿等1暴击	1矿等2时间3等级4暴击5基地爆炸6赏金邻近7a核8最后敌人9易伤
44	24136 23163	   	260.04	橙橙1易伤1矿等1暴击	1矿等2随机矿3时间4暴击5基地爆炸6赏金邻近7a核8最后敌人9易伤
45	21135 23563	   	259.94	橙橙1易伤1矿等1暴击	1矿等2金币生成3时间4暴击5基地爆炸6赏金塔7a核8挖青9易伤
46	22335 23563	   	259.94	橙橙1易伤1矿等1暴击	1矿等2时间3等级4暴击5基地爆炸6赏金邻近7a核8挖青9易伤
47	25312 42311	   	258.80	橙橙1伤害1矿等1攻速1暴击	1矿等2伤害3赏金塔4时间5攻速6暴击7双倍矿8额外掉落9a核
48	12143 42532	   	258.48	橙橙1易伤1伤害1全技能	1敌人爆炸2伤害3易伤4技能5立即金币6时间7核弹89核a全技能
49	12643 12532	   	258.48	橙橙1易伤1伤害1全技能	13敌人爆炸2伤害4技能5时间6易伤7核弹89核a全技能
50	52143 32532	   	258.38	橙橙1易伤1伤害1全技能	1挖尘2伤害3易伤4技能5立即金币6时间7核弹89核a全技能
51	35353 12532	   	258.28	橙橙1易伤1伤害1全技能	1技能2激光减费3伤害4挖尘5时间6易伤7核弹89核a全技能
52	31111 15534	 * 	257.71	橙橙2攻速1伤害1矿等	1技能26攻速3时间4伤害56最后敌人6序列升级7敌人爆炸89核a矿等
53	31111 33535	 * 	257.66	橙橙2伤害2攻速	1技能2a攻速3时间47伤害5最后敌人6敌人爆炸89核
54	31112 15535	   	257.66	橙橙2伤害2攻速	1技能2a攻速3时间45伤害6最后敌人7敌人爆炸89核
