0	Index      	 *	Score 	Summary	Detail	
1	12523 11121	 * 	280.50	橙橙3易伤	1赏金塔2技能357易伤45最后敌人5序列升级6时间8a核9金币生成
2	53245 21111	   	279.51	橙橙2易伤1矿等1攻速	1挖青2攻速3双倍秒伤47易伤5挖尘6最后敌人8a核9矿等
3	15336 11121	 * 	277.00	橙橙2易伤1伤害	1赏金塔2双倍矿3伤害4敌人爆炸57易伤6时间8a核9金币生成
4	15356 11121	   	277.00	橙橙2易伤1伤害	1赏金塔2双倍矿3伤害4基地爆炸57易伤6时间8a核9金币生成
5	22544 85244	   	274.74	橙橙1易伤1矿等1暴击3策反1全技能	125策反3加一4全技能5序列升级6暴击7易伤8矿等9a核
6	13323 31121	 * 	274.73	橙橙2易伤2攻速	1赏金塔2低血量敌人36攻速4最后敌人57易伤8a核9金币生成
7	53133 31121	   	274.63	橙橙2易伤2攻速	1挖青26攻速3赏金塔4低血量敌人57易伤8a核9金币生成
8	53226 62111	   	272.29	橙橙1易伤2攻速1矿等	1挖青24攻速3双倍秒伤5时间6易伤7最后敌人8a核9矿等
9	53226 63111	   	272.29	橙橙1易伤2攻速1矿等	1挖青24攻速3双倍秒伤5时间6易伤7基地爆炸8a核9矿等
10	13336 11121	   	270.58	橙橙2易伤1攻速	1赏金塔24低血量敌人3攻速57易伤6时间8a核9金币生成
11	15346 12121	   	268.69	橙橙2易伤1伤害	1赏金塔2双倍矿3伤害45易伤6敌人爆炸7低血量敌人8a核9金币生成
12	33163 51531	   	267.57	橙橙1易伤1伤害1攻速1暴击1策反	1电塔对甲2暴击3敌人爆炸4攻速5易伤6额外掉落7策反8a核9伤害
13	52232 25111	   	266.25	橙橙1易伤1伤害1矿等	1挖青2低血量敌人3敌人爆炸4挖尘5时间6易伤7伤害8a核9矿等
14	54233 25111	   	266.25	橙橙1易伤1伤害1矿等	1挖青2时间3敌人爆炸4挖尘5最后敌人6易伤7伤害8a核9矿等
15	24621 11234	   	265.47	橙橙1易伤1矿等1全技能1平台1策反	1策反2敌人爆炸3平台4赏金塔5时间6矿等7易伤8全技能9a核
16	53221 65111	   	263.89	橙橙1易伤2攻速1矿等	1挖青24攻速3双倍秒伤5最后敌人6易伤7挖尘8a核9矿等
17	53245 22111	   	263.89	橙橙1易伤2攻速1矿等	1挖青27攻速3双倍秒伤4易伤5挖尘6最后敌人8a核9矿等
18	23122 14553	 * 	263.75	橙橙3攻速1矿等1暴击1全技能1策反	1策反268攻速3暴击4全技能5低血量敌人7矿等9a核
